Vj,Vk,xi(Vk/Vj),dxi(Vk/Vj),Vi,xi(Vj/Vi),dxi(Vj/Vi),Vk/Vi,xi(Vk/Vi),dxi(Vk/Vi)
20.587,20.587,1.0,0.0131,16.724,1.4225,0.0166,1.231,1.4225,0.025
20.587,20.211,0.972,0.0196,16.724,1.4225,0.0166,1.2085,1.3827,0.0322
20.587,19.088,0.8835,0.017,16.724,1.4225,0.0166,1.1414,1.2568,0.0283
20.587,18.724,0.85,0.0207,16.724,1.4225,0.0166,1.1196,1.2091,0.0327
20.587,18.066,0.804,0.0206,16.724,1.4225,0.0166,1.0802,1.1437,0.0322
20.587,17.604,0.785,0.0187,16.724,1.4225,0.0166,1.0526,1.1167,0.0296
20.587,17.332,0.7585,0.0217,16.724,1.4225,0.0166,1.0364,1.079,0.0333
20.211,20.587,1.015,0.0243,16.724,1.3805,0.0182,1.231,1.4012,0.0383
20.211,20.211,1.0,0.0168,16.724,1.3805,0.0182,1.2085,1.3805,0.0295
20.211,19.088,0.9025,0.0173,16.724,1.3805,0.0182,1.1414,1.2459,0.029
20.211,18.724,0.8755,0.0199,16.724,1.3805,0.0182,1.1196,1.2086,0.0318
20.211,18.066,0.822,0.0216,16.724,1.3805,0.0182,1.0802,1.1348,0.0334
20.211,17.604,0.799,0.0185,16.724,1.3805,0.0182,1.0526,1.103,0.0294
20.211,17.332,0.782,0.0204,16.724,1.3805,0.0182,1.0364,1.0796,0.0316
19.088,20.587,1.1255,0.0183,16.724,1.253,0.0167,1.231,1.4103,0.0296
19.088,20.211,1.1075,0.0183,16.724,1.253,0.0167,1.2085,1.3877,0.0295
19.088,19.088,1.0,0.0149,16.724,1.253,0.0167,1.1414,1.253,0.025
19.088,18.724,0.9635,0.0206,16.724,1.253,0.0167,1.1196,1.2073,0.0304
19.088,18.066,0.9125,0.0199,16.724,1.253,0.0167,1.0802,1.1434,0.0292
19.088,17.604,0.892,0.018,16.724,1.253,0.0167,1.0526,1.1177,0.027
19.088,17.332,0.858,0.0212,16.724,1.253,0.0167,1.0364,1.0751,0.0302
18.724,20.587,1.1805,0.0188,16.724,1.209,0.0197,1.231,1.4272,0.0325
18.724,20.211,1.1435,0.0177,16.724,1.209,0.0197,1.2085,1.3825,0.0311
18.724,19.088,1.0355,0.0169,16.724,1.209,0.0197,1.1414,1.2519,0.0289
18.724,18.724,1.0,0.0184,16.724,1.209,0.0197,1.1196,1.209,0.0297
18.724,18.066,0.954,0.0194,16.724,1.209,0.0197,1.0802,1.1534,0.0301
18.724,17.604,0.923,0.0179,16.724,1.209,0.0197,1.0526,1.1159,0.0283
18.724,17.332,0.9035,0.021,16.724,1.209,0.0197,1.0364,1.0923,0.031
18.066,20.587,1.2325,0.0176,16.724,1.152,0.0188,1.231,1.4198,0.0308
18.066,20.211,1.1995,0.0189,16.724,1.152,0.0188,1.2085,1.3818,0.0313
18.066,19.088,1.096,0.0173,16.724,1.152,0.0188,1.1414,1.2626,0.0287
18.066,18.724,1.048,0.0208,16.724,1.152,0.0188,1.1196,1.2073,0.031
18.066,18.066,1.0,0.0171,16.724,1.152,0.0188,1.0802,1.152,0.0272
18.066,17.604,0.9735,0.0186,16.724,1.152,0.0188,1.0526,1.1215,0.0282
18.066,17.332,0.939,0.0208,16.724,1.152,0.0188,1.0364,1.0817,0.0298
17.604,20.587,1.276,0.0162,16.724,1.116,0.019,1.231,1.424,0.0302
17.604,20.211,1.2375,0.0191,16.724,1.116,0.019,1.2085,1.381,0.0317
17.604,19.088,1.127,0.0164,16.724,1.116,0.019,1.1414,1.2577,0.0282
17.604,18.724,1.084,0.0209,16.724,1.116,0.019,1.1196,1.2097,0.0311
17.604,18.066,1.0315,0.0195,16.724,1.116,0.019,1.0802,1.1512,0.0293
17.604,17.604,1.0,0.016,16.724,1.116,0.019,1.0526,1.116,0.0261
17.604,17.332,0.976,0.0199,16.724,1.116,0.019,1.0364,1.0892,0.0289
17.332,20.587,1.3135,0.0161,16.724,1.0825,0.02,1.231,1.4219,0.0315
17.332,20.211,1.277,0.0187,16.724,1.0825,0.02,1.2085,1.3824,0.0326
17.332,19.088,1.155,0.0164,16.724,1.0825,0.02,1.1414,1.2503,0.0291
17.332,18.724,1.11,0.0219,16.724,1.0825,0.02,1.1196,1.2016,0.0325
17.332,18.066,1.064,0.0195,16.724,1.0825,0.02,1.0802,1.1518,0.03
17.332,17.604,1.025,0.0191,16.724,1.0825,0.02,1.0526,1.1096,0.0291
17.332,17.332,1.0,0.0178,16.724,1.0825,0.02,1.0364,1.0825,0.0278
16.724,20.587,1.4225,0.0166,16.724,1.0,0.0169,1.231,1.4225,0.0292
16.724,20.211,1.3805,0.0182,16.724,1.0,0.0169,1.2085,1.3805,0.0296
16.724,19.088,1.253,0.0167,16.724,1.0,0.0169,1.1414,1.253,0.027
16.724,18.724,1.209,0.0197,16.724,1.0,0.0169,1.1196,1.209,0.0284
16.724,18.066,1.152,0.0188,16.724,1.0,0.0169,1.0802,1.152,0.0271
16.724,17.604,1.116,0.019,16.724,1.0,0.0169,1.0526,1.116,0.0268
16.724,17.332,1.0825,0.02,16.724,1.0,0.0169,1.0364,1.0825,0.0271
