Fit results
,Chi^2,(11) zero-pressure volume (A^3),(12) bulk modulus (GPa),(13) pressure deriv. of bulk mod.
value,1.020E+00, 2.25051E+01, 1.57529E+02, 5.60707E+00
error,9.543E-02, 3.98763E-02, 3.77371E+00, 1.00093E-01

Correlation matrix
,(11) zero-pressure volume (A^3),(12) bulk modulus (GPa),(13) pressure deriv. of bulk mod.
(11) zero-pressure volume (A^3), 1.00000E+00,-9.83031E-01, 9.30112E-01
(12) bulk modulus (GPa),-9.83031E-01, 1.00000E+00,-9.79100E-01
(13) pressure deriv. of bulk mod., 9.30112E-01,-9.79100E-01, 1.00000E+00

Iteration history
Chi^2,Quality,(11) zero-pressure volume (A^3),,(12) bulk modulus (GPa),,(13) pressure deriv. of bulk mod.,,
1.021E+00, 3.032E-04, 2.250E+01,  , 1.575E+02,  , 5.610E+00,  
  1.02,, 2.251E+01,  , 1.575E+02,  , 5.607E+00,  
