,extrapeak Peak 0 Intensity,bcc FeNi Peak 0 Intensity,extrapeak Peak Width,bcc FeNi Peak Width,extrapeak Peak Shape,bcc FeNi Peak Shape,extrapeak a,bcc FeNi a,Background 0,Background 1,Background 2
extrapeak Peak 0 Intensity,0.7524640256308568,-0.07402906878765375,-0.029991931189887716,0.00029033562817584133,-0.3067740295114743,0.025878359560024794,-5.776690240259589e-06,1.8126623868409607e-06,-5.009665593088646,0.43708519193460765,-0.009418286001319326
bcc FeNi Peak 0 Intensity,-0.07402906878765379,0.646816759284603,0.0030564493236041185,-0.0038332065775346104,0.029877300335521356,-0.2375848060578697,-4.673794642066701e-06,-2.2048717951035632e-07,-4.817009214388294,0.3903412435936256,-0.007866275345478986
extrapeak Peak Width,-0.029991931189887716,0.003056449323604116,0.0014000913477282624,-6.045516109294566e-06,0.012657078089073398,-0.0010258326005668722,9.54380665797645e-07,-3.879485765670447e-08,0.09507220126151913,-0.009704711942518157,0.00023353216714778083
bcc FeNi Peak Width,0.00029033562817584117,-0.0038332065775346104,-6.045516109294555e-06,2.7638959661305085e-05,-9.994315341092592e-05,0.0014317329812562893,-4.139996260240466e-08,3.0184125637030373e-09,0.06871665935433124,-0.00562665988527895,0.00011468940976492345
extrapeak Peak Shape,-0.3067740295114743,0.029877300335521332,0.012657078089073398,-9.994315341092599e-05,0.12619628142785821,-0.01031955666328096,4.2043672473119565e-06,-6.473735870077269e-07,1.7885496069081122,-0.1595913599387337,0.0035002418211581973
bcc FeNi Peak Shape,0.02587835956002483,-0.23758480605786966,-0.0010258326005668729,0.0014317329812562893,-0.01031955666328097,0.08742963749955357,1.2033253915546303e-06,9.230774925845846e-08,2.057524562695522,-0.1671578451462077,0.003378172544124177
extrapeak a,-5.776690240259585e-06,-4.673794642066702e-06,9.54380665797645e-07,-4.139996260240466e-08,4.2043672473119565e-06,1.2033253915546324e-06,1.7631764812488664e-07,1.5847767398396437e-10,-0.004880631571716656,0.00039363255953023317,-7.928610077025176e-06
bcc FeNi a,1.812662386840961e-06,-2.204871795103563e-07,-3.879485765670447e-08,3.018412563703038e-09,-6.47373587007727e-07,9.230774925845842e-08,1.5847767398396432e-10,4.454845688345923e-09,2.9480684414625365e-05,-2.675463152993939e-06,5.986246602020432e-08
Background 0,-5.009665593088646,-4.817009214388294,0.09507220126151913,0.06871665935433124,1.7885496069081122,2.057524562695522,-0.004880631571716656,2.9480684414625365e-05,1978.6949379054029,-161.29484644546815,3.2815628086287876
Background 1,0.43708519193460754,0.39034124359362554,-0.009704711942518157,-0.00562665988527895,-0.15959135993873366,-0.16715784514620768,0.0003936325595302331,-2.6754631529939387e-06,-161.29484644546815,13.15502450113953,-0.26777340122510274
Background 2,-0.009418286001319326,-0.007866275345478986,0.00023353216714778083,0.00011468940976492345,0.0035002418211581973,0.0033781725441241763,-7.928610077025176e-06,5.986246602020432e-08,3.2815628086287876,-0.26777340122510274,0.0054531370935865
