Parameters,Values,Std
extrapeak Peak 0 Intensity,1.790486686604293,0.8674468431153904
bcc FeNi Peak 0 Intensity,3.285134000648602,0.804249189794185
extrapeak Peak Width,0.2249819792256889,0.037417794533193195
bcc FeNi Peak Width,0.1686906592472489,0.00525727682943414
extrapeak Peak Shape,0.44909272142650936,0.3552411595351223
bcc FeNi Peak Shape,0.9999999999997817,0.29568503090206233
extrapeak a,2.9858389001757257,0.00041990195060857556
bcc FeNi a,2.848826331321622,6.674463040834014e-05
Background 0,646.1005284435023,44.48252396060056
Background 1,-46.00209222723022,3.626985594283431
Background 2,1.10106057986886,0.07384535932329465
