2theta,Intensity,Model,Residual,Background,extrapeak,bcc FeNi
23.00152163,171.410553,171.0318508414184,0.3787021585816035,170.52052706685436,0.41058737850385885,0.10073639606016872
23.00880821,171.3149261,171.08178153727317,0.23314456272683515,170.55446845363133,0.4256868163451035,0.10162626729672665
23.01609479,171.349884,171.1325722162455,0.21731178375449645,170.58852676037532,0.4415174842786229,0.10252797159156739
23.02338138,171.2767029,171.1842567524636,0.0924461475364069,170.6227020340683,0.4581129976428147,0.10344172075247678
23.03066796,171.200058,171.23687001922912,-0.036812019229103043,170.65699418090708,0.4755081108055229,0.10436772751652922
23.03795454,171.141571,171.2904483637348,-0.14887736373481175,170.69140324771297,0.49373890282177463,0.1053062132000548
23.04524112,171.0864716,171.34502938174117,-0.2585577817411604,170.72592923448644,0.5128427444249787,0.10625740282974241
23.05252771,171.11599730000003,171.4006521314081,-0.28465483140806214,170.76057218885046,0.5328584147027522,0.10722152785489125
23.05981429,171.3306427,171.45735690391854,-0.12671420391853871,170.7953320157185,0.5538260672242418,0.1081988209758002
23.06710087,171.7008209,171.51518577150614,0.18563512849385688,170.83020876255387,0.5757874847269876,0.10918952422529078
23.07438746,171.9493561,171.57418247019785,0.3751736298021342,170.86520247746137,0.5987861075067203,0.11019388522977494
23.08167404,172.106308,171.63439227170545,0.47191572829456163,170.90031306439153,0.6228670541701647,0.11121215314377017
23.08896062,172.2595825,171.69586261026254,0.563719889737456,170.9355405712888,0.648077451896762,0.11224458707697102
23.0962472,172.1395874,171.75864292371367,0.380944476286345,170.97088499815334,0.6744664747979218,0.11329145076239938
23.10353379,172.1066284,171.82278501112327,0.28384338887673266,171.00634639373186,0.7020856018311983,0.1143530155602277
23.11082037,171.9820557,171.88834289584003,0.09371280415996353,171.0419246606914,0.7309886803651706,0.11542955478346689
23.11810695,172.1147461,171.95537360286517,0.15937249713482515,171.07761984761783,0.7612324026296785,0.11652135261764929
23.12539354,172.43699650000002,172.02393718959553,0.41305931040449195,171.11343200373983,0.7928764858263266,0.11762870002937317
23.13268012,172.8261414,172.0940967811097,0.7320446188903134,171.14936103076127,0.8259838600444027,0.11875189030401866
23.1399667,172.7993622,172.16591950724717,0.6334426927528227,171.18540697774972,0.8606213011366042,0.11989122836083091
23.14725328,172.7897949,172.2394765525381,0.5503183474619107,171.22156984470564,0.8968596829324685,0.12104702489998996
23.15453987,172.62675480000001,172.31484383558245,0.3119109644175637,171.25784968149867,0.9347745543403424,0.12221959974343248
23.16182645,172.54269409999998,172.39210213867025,0.15059196132972374,171.29424638854937,0.9744464745277462,0.12340927559314051
23.16911303,172.5675659,172.47133834545542,0.09622755454458343,171.3307600155672,1.015961941976869,0.12461638791135565
23.17639961,172.7513428,172.55264572642722,0.19869707357278799,171.36739056255215,1.0594138851345656,0.12584127874049233
23.1836862,172.931839,172.63612494172287,0.2957140582771274,171.4041380800163,1.1049025614459866,0.12708430026056636
23.19097278,172.4414825,172.72188446167075,-0.2804019616707478,171.44100246709615,1.1525361863841777,0.1283458081904208
23.19825936,172.1842499,172.8100422428732,-0.6257923428732113,171.47798377414335,1.2024322964491618,0.12962617228069578
23.20554595,172.2070618,172.9007265059612,-0.6936647059611971,171.51508205215066,1.2547186822306329,0.13092577157988958
23.21283253,172.55630490000001,172.99407658279415,-0.4377716827941356,171.55229719929275,1.3095343942574764,0.13224498924392727
23.22011911,172.5670166,173.09024503841144,-0.5232284384114507,171.58962926640174,1.3670315484865947,0.1335842235230895
23.22740569,172.8824005,173.189398703947,-0.3069982039470176,171.62707825347798,1.4273765695176395,0.13494388095139756
23.23469228,172.9509125,173.29172063155727,-0.3408081315572815,171.66464421215676,1.4907520390674338,0.1363243803330783
23.24197886,173.3181763,173.39741139039356,-0.07923509039355281,171.70232703932777,1.5573582056119046,0.13772614545389503
23.24926544,173.4442749,173.5066919509953,-0.062417050995293266,171.74012678646625,1.627415547751787,0.13914961677727997
23.25655203,173.65417480000002,173.61980551331663,0.034369286683386235,171.7780435056883,1.7011667613922008,0.1405952462361545
23.26383861,173.50225830000002,173.73701943007984,-0.2347611300798178,171.81607709292143,1.7788788456575604,0.14206349150085826
23.27112519,173.5166626,173.8586287246028,-0.3419661246028056,171.8542276001217,1.8608462962323338,0.14355482824875965
23.27841177,173.87338259999999,173.98495821838247,-0.11157561838248853,171.89249502728944,1.9473934484532047,0.14506974263981967
23.28569836,174.1103363,174.11636573040778,-0.006029430407778591,171.9308794271824,2.0388775674170003,0.1466087358083829
23.29298494,173.8478241,174.25324427292983,-0.405420172929837,171.9693806944448,2.135691262694212,0.14817231579083345
23.30027152,173.7837524,174.39602602773562,-0.6122736277356182,172.00799888167455,2.2382661354398206,0.14976101062124866
23.3075581,173.8171234,174.54518436516747,-0.7280609651674581,172.0467339888712,2.347075015939296,0.15137536035696372
23.31484469,174.2967072,174.70123661894266,-0.4045294189426727,172.08558606943552,2.462634627606732,0.1530159219004022
23.32213127,174.35154719999997,174.86474497506626,-0.5131977750662884,172.1245550167272,2.585506697907781,0.15468326043129058
23.32941785,174.2651062,175.03631851228275,-0.7712123122827563,172.16364088398586,2.716299664890499,0.1563779634063785
23.33670444,173.9110107,175.21661185722687,-1.3056011572268744,172.20284372509354,2.855667497648442,0.1581006344848758
23.34399102,173.752243,175.40632144411646,-1.6540784441164647,172.24216343244746,3.004306124871558,0.15985188679745654
23.3512776,174.1162872,175.60618094288324,-1.489893742883254,172.28160005976815,3.162948525434048,0.16163235768104836
