,hcp FeNiSi Peak 0 Intensity,hcp FeNiSi Peak 1 Intensity,hcp FeNiSi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNiSi Peak Width,extrapeak Peak Width,hcp FeNiSi Peak Shape,extrapeak Peak Shape,hcp FeNiSi a,hcp FeNiSi c,extrapeak a,Background 0,Background 1,Background 2
hcp FeNiSi Peak 0 Intensity,0.6289487573001298,0.12185445156925141,0.7063128434692039,0.17663533246806476,-0.0033875471583303973,0.0002650063051360075,-0.006164373089836848,-8.3386617142045e-05,-4.2311319130239076e-05,0.0003507540112372623,1.6615430864146122e-05,-3.718232590776249,0.25661059386728485,-0.004325537388404866
hcp FeNiSi Peak 1 Intensity,0.12185445156925141,0.18161137530055804,0.11924819560077456,0.006681808084286855,-0.00014022387415281277,0.0002347191946133916,-0.0008763934083991819,0.00012233716356433116,-1.0942895552934095e-05,0.00014225154963424386,9.374115860962902e-06,4.015824287052969,-0.32888002647543096,0.006633423660817601
hcp FeNiSi Peak 2 Intensity,0.7063128434692038,0.11924819560077456,1.2593956905603239,0.2031313375090498,-0.005539532915125428,-0.00013252123452331022,-0.009843106703130199,-0.0002853771642578159,-6.37588740385093e-05,0.00041216872870205944,-4.000526294154909e-05,-1.614354946337822,0.12687252652512632,-0.0023833987705541336
extrapeak Peak 0 Intensity,0.17663533246806476,0.006681808084286855,0.2031313375090498,3.5971174606002028,-0.0006996215664617537,-0.006870388295097779,-0.0016553612892192405,-0.010754166982475994,0.00013552036763627326,-0.0006219569201836292,1.4879114848853529e-05,9.68467614658432,-0.7223588282895161,0.013465417339901472
hcp FeNiSi Peak Width,-0.003387547158330397,-0.00014022387415281277,-0.005539532915125429,-0.0006996215664617537,4.278977425909153e-05,-3.025265025204595e-06,4.717091553234985e-05,-5.115363529098115e-07,7.045027781313354e-07,-4.342966508046603e-06,5.384438181648817e-07,0.04059641306165963,-0.003076650756540369,5.693409792040394e-05
extrapeak Peak Width,0.0002650063051360076,0.00023471919461339169,-0.00013252123452331011,-0.0068703882950977785,-3.0252650252045955e-06,2.64901630174669e-05,4.579116708936285e-07,2.202380411074922e-05,-9.78500539171824e-07,4.95152222116732e-06,-2.2825604469351933e-08,-0.07844767219549316,0.00579716818266222,-0.00010685838315372573
hcp FeNiSi Peak Shape,-0.006164373089836847,-0.0008763934083991819,-0.009843106703130199,-0.0016553612892192405,4.717091553234985e-05,4.5791167089363037e-07,8.634603624552113e-05,1.948800854584764e-06,5.324590384697608e-07,-3.7139202272796652e-06,2.8632262134374806e-07,0.027519023910757532,-0.002069416966091262,3.76389958121481e-05
extrapeak Peak Shape,-8.3386617142045e-05,0.00012233716356433116,-0.0002853771642578158,-0.010754166982475994,-5.115363529098115e-07,2.2023804110749224e-05,1.948800854584762e-06,3.659018848164711e-05,-6.185635371413693e-07,3.063331139537152e-06,-1.9660242454912517e-08,-0.05272107684549627,0.0039010345093086866,-7.204562187625084e-05
hcp FeNiSi a,-4.2311319130239076e-05,-1.0942895552934097e-05,-6.37588740385093e-05,0.00013552036763627326,7.045027781313354e-07,-9.78500539171824e-07,5.324590384697611e-07,-6.185635371413693e-07,2.7141577877922903e-07,-1.2938447913721884e-06,4.85759139987137e-08,0.003077543472875028,-0.00022654468328018248,4.1455285095106435e-06
hcp FeNiSi c,0.0003507540112372623,0.00014225154963424386,0.00041216872870205944,-0.0006219569201836292,-4.342966508046603e-06,4.95152222116732e-06,-3.7139202272796652e-06,3.063331139537152e-06,-1.2938447913721884e-06,1.0491250883787745e-05,-2.3632078379266976e-07,-0.007067760782686048,0.0004542124733548953,-6.9833326248154084e-06
extrapeak a,1.6615430864146122e-05,9.374115860962905e-06,-4.000526294154909e-05,1.4879114848853524e-05,5.384438181648818e-07,-2.2825604469351903e-08,2.863226213437481e-07,-1.9660242454912524e-08,4.857591399871369e-08,-2.3632078379266976e-07,1.5422967180347007e-07,-0.0013381801283704716,9.885251074037001e-05,-1.8391318640979501e-06
Background 0,-3.7182325907762492,4.01582428705297,-1.614354946337822,9.68467614658432,0.04059641306165963,-0.07844767219549316,0.027519023910757532,-0.05272107684549627,0.003077543472875028,-0.007067760782686048,-0.0013381801283704716,1397.2448904375842,-107.36948502092346,2.0547010236531182
Background 1,0.2566105938672849,-0.32888002647543096,0.12687252652512632,-0.7223588282895163,-0.003076650756540369,0.00579716818266222,-0.002069416966091262,0.0039010345093086866,-0.00022654468328018248,0.0004542124733548954,9.885251074037001e-05,-107.36948502092346,8.262180898167289,-0.15832200568937285
Background 2,-0.004325537388404866,0.006633423660817603,-0.0023833987705541336,0.013465417339901474,5.693409792040394e-05,-0.00010685838315372572,3.76389958121481e-05,-7.204562187625084e-05,4.1455285095106435e-06,-6.9833326248154084e-06,-1.8391318640979503e-06,2.0547010236531182,-0.15832200568937282,0.0030377396490950635
