Parameters,Values,Std
hcp FeNiSi Peak 0 Intensity,18.098702068882993,0.7930628961817151
hcp FeNiSi Peak 1 Intensity,3.688137685126659,0.4261588615769453
hcp FeNiSi Peak 2 Intensity,29.174248810069553,1.1222280029300302
extrapeak Peak 0 Intensity,32.58591604178541,1.896606828153954
hcp FeNiSi Peak Width,0.255597125233086,0.006541389321779551
extrapeak Peak Width,0.13891086147942508,0.0051468595296031636
hcp FeNiSi Peak Shape,0.027659963642335073,0.00929225678968899
extrapeak Peak Shape,2.1402531450498462e-40,0.006048982433570717
hcp FeNiSi a,2.3725391231229285,0.0005209757948112648
hcp FeNiSi c,3.935734160877837,0.0032390200499206154
extrapeak a,2.977659135085511,0.000392720857357322
Background 0,4146.725980331459,37.37973903650993
Background 1,-190.9307427662533,2.8744009633604164
Background 2,2.9226199459713627,0.05511569331048158
