E,DOS,dDOS,Velocity,dVelocity
0.24770599999999998,0.00252447,0.00576356,4821.194262891354,3669.0539163087988
0.49541199999999996,0.0103558,0.0173668,4780.831985758176,2672.5053555653813
0.7431180000000001,0.024471700000000002,0.026349200000000003,4703.316004489032,1688.055437249758
0.9908239999999999,0.0459229,0.0331302,4619.286808064875,1110.8349991071668
1.23853,0.0756324,0.0412184,4538.950132724257,824.5545322838165
1.48624,0.116888,0.046400300000000005,4433.257995530486,586.6192924909767
1.73394,0.173441,0.0535362,4307.505151806286,443.2068788500781
1.98165,0.240157,0.0645979,4224.479782839911,378.7766987639331
2.22935,0.309068,0.075431,4201.017673903599,341.77393946414617
2.47706,0.380412,0.07734060000000001,4205.264332886007,284.99654335694987
2.72477,0.45223599999999997,0.0798075,4230.1120738660275,248.84451136889953
2.97247,0.506025,0.08575930000000001,4317.920882598114,243.94006860249655
3.22018,0.522913,0.10042899999999999,4505.026024930324,288.4175493619238
3.46788,0.535216,0.10336500000000001,4696.633767977265,302.36089335235425
3.71559,0.611561,0.12261199999999998,4703.9093932636,314.3731948735331
3.9633,0.7311880000000001,0.14586,4626.81318644457,307.66821581468673
4.211,0.805663,0.144759,4664.366914396262,279.37131448787693
4.45871,0.852518,0.149653,4755.088999517879,278.2520273708797
4.70641,0.955183,0.182315,4746.2578544898215,301.9826722131824
4.95412,1.1427399999999999,0.21192600000000003,4626.460831611023,286.0102085883279
5.20183,1.3825,0.236673,4485.416141210906,255.967670791787
5.44953,1.56382,0.292919,4440.488970647386,277.2599061705972
5.69724,1.60202,0.295523,4537.403310245111,279.01448694026885
5.94494,1.55156,0.239952,4718.049327950551,243.23249481154733
6.19265,1.5533299999999999,0.262287,4846.372573186286,272.79046876794393
6.44036,1.6692,0.32807,4856.883155544514,318.20702098976835
6.688060000000001,1.85258,0.340517,4810.5507595743475,294.74929159350876
6.93577,2.06397,0.33100999999999997,4754.253628890721,254.1684706453624
7.18347,2.25335,0.34834299999999996,4726.434626398963,243.56530657106612
7.43118,2.42881,0.43389700000000003,4715.137459324216,280.79193124763503
7.678889999999999,2.57226,0.45592,4728.038754872374,279.3523057449477
7.926589999999999,2.58058,0.43618900000000005,4823.980081448267,271.80798061401197
8.1743,2.67519,0.531369,4865.220437310025,322.13487579913385
8.422,3.10636,0.575638,4721.861538241528,291.68008531865013
8.66971,3.57286,0.555009,4594.639046344967,237.9241498753922
8.91742,3.87037,0.6177779999999999,4558.573951912679,242.5553013342758
9.16512,4.13891,0.7031350000000001,4539.943635546278,257.1001344056576
9.41283,4.35654,0.727001,4543.110077821394,252.7239564722156
9.66053,4.45596,0.752648,4587.829039643957,258.3195047736667
9.90824,4.45553,0.754741,4666.073468493851,263.481040829535
10.1559,4.41169,0.759795,4759.1672377298955,273.2253363992695
10.4037,4.4434,0.7965810000000001,4824.738299952578,288.3270087835932
10.6514,4.476430000000001,0.696318,4888.934460360269,253.508820056475
10.8991,4.467219999999999,0.703842,4967.848343817527,260.9207313844253
11.1468,4.83408,0.8524719999999999,4911.896567679502,288.7441186732769
11.3945,5.6248,0.9059879999999999,4738.943218705664,254.44754450060825
11.6422,6.23038,0.9724709999999999,4646.281767450448,241.7522559435867
11.8899,6.42632,0.9734649999999999,4663.56860933034,235.49447453727336
12.1376,6.6847,1.0911899999999999,4666.396006413371,253.92230327469443
12.3853,7.48601,1.15088,4554.505571570287,233.41270343322248
12.633,8.68135,1.3338700000000001,4392.673530277577,224.98771571448978
12.8807,9.371139999999999,1.43753,4337.929801534112,221.8251230645467
13.1284,9.13092,1.25889,4431.560737267193,203.67588636607928
13.3761,8.788960000000001,1.36191,4544.584611006979,234.75147814610781
13.6238,8.771469999999999,1.34675,4603.573312782598,235.62064549218957
13.8715,8.5751,1.32954,4694.5024630931275,242.63585525520557
14.1192,8.23899,1.43885,4813.95936142278,280.2476505903551
14.3669,8.42797,1.3347200000000001,4833.422252052612,255.16676197901683
14.6147,9.376619999999999,1.5577299999999998,4718.0751000852315,261.2827615019504
14.8624,10.7611,1.65383,4557.158070361921,233.4704492365693
15.1101,11.8033,1.80076,4467.83811483053,227.22379725669614
15.3578,12.1299,1.7996900000000002,4475.627666285911,221.36037200881836
15.6055,12.3693,1.77053,4494.248711916893,214.44834501721468
15.8532,12.994,1.7640099999999999,4467.700205995542,202.18681803704936
16.1009,13.8559,1.96907,4418.506924262703,209.3195541656462
16.3486,14.7622,2.28178,4370.425304002595,225.19032642186923
16.5963,15.1961,2.01125,4372.036930191835,192.89902415981118
16.844,14.9496,2.0146,4439.567354168754,199.43942502293166
17.0917,14.8727,2.15576,4490.698725412234,216.98575795490368
17.3394,15.5295,2.3105599999999997,4469.139429701823,221.6608403832038
17.5871,16.5494,2.5011200000000002,4416.949384607102,222.525187042828
17.8348,17.4784,2.50877,4377.894475969687,209.4747756276008
18.0825,17.8285,2.46714,4389.223869219764,202.47721414221115
18.3302,17.4964,2.2035400000000003,4457.064520310637,187.12721632764635
18.5779,17.2811,2.48391,4515.726574581125,216.37112442538952
18.8257,17.9381,2.60798,4499.479668480482,218.07036901295936
19.0734,19.4461,2.91387,4418.365011822702,220.700932765307
19.3211,21.9844,3.15252,4277.9599194743105,204.4971549422434
19.5688,24.6294,3.02776,4154.115212173649,170.24085245809016
19.8165,24.9598,3.07268,4170.530346215094,171.15320740457003
20.0642,23.0045,2.88786,4321.129855263009,180.83258572527953
20.3119,21.7351,2.8578900000000003,4439.835068309329,194.60923306558755
20.5596,22.8828,3.27027,4399.740584705834,209.60857038455475
20.8073,25.1994,3.08946,4294.712577019924,175.52715928450021
21.055,27.3232,3.5073800000000004,4213.535542760002,180.30689412281436
21.3027,28.3775,3.5288199999999996,4193.262738995616,173.829787308653
21.5504,28.4252,3.55211,4223.340193312455,175.9362464825007
21.7981,29.4113,3.4702900000000003,4207.537915956503,165.50097006407222
22.0458,31.3738,3.594,4149.048891010448,158.44663865724468
22.2935,33.461,4.09475,4091.2832758010363,166.90371948659038
22.5412,37.1172,4.68734,3981.499242757326,167.6152321875745
22.7889,41.7917,4.93671,3855.1319514582606,151.8125541536598
23.0367,44.3393,4.7783,3807.187376891918,136.77860792225496
23.2844,43.9619,4.96743,3845.37089139704,144.8499368640992
23.5321,43.4791,4.669980000000001,3886.8754682488766,139.17614001048784
23.7798,46.1653,5.40624,3836.665433328972,149.78046934499145
24.0275,50.7975,5.492430000000001,3742.070476183094,134.88484813569087
24.2752,53.1795,5.29131,3710.628530200707,123.08483288094715
24.5229,52.8587,5.39348,3743.3698980720396,127.33580213325662
24.7706,52.4425,5.53227,3778.478077509572,132.8826987840385
25.0183,54.7212,6.0788199999999994,3750.0783772933173,138.8770182036153
25.266,59.0365,5.9394800000000005,3680.4801405966023,123.44374968200813
25.5137,62.1383,5.8156099999999995,3641.8008433030614,113.6312888912842
25.7614,65.2384,6.50657,3606.3307791958578,119.90911216032025
26.0091,71.1831,6.652810000000001,3525.4259913638307,109.84640460124095
26.2568,78.2679,6.7765,3437.3228241728566,99.21999911086243
26.5045,82.458,6.964510000000001,3399.2974081775324,95.72118167220982
26.7522,84.2657,7.19694,3395.8075975831784,96.69397821900063
27.0,87.6417,7.64297,3372.2978836845805,98.04677339758908
27.2477,93.884,8.02355,3315.963356332471,94.4808739453052
27.4954,100.21700000000001,8.28594,3264.223699936583,89.9797962790455
27.7431,103.719,7.91018,3246.4164934334417,82.5490446616916
27.9908,106.07700000000001,8.43425,3241.3317456308655,85.9251734328487
28.2385,110.566,9.22158,3215.690440930897,89.41722669918668
28.4862,116.11399999999999,9.46438,3182.1098571893745,86.47487515997338
28.7339,116.446,8.60645,3197.485207305538,78.7942146770633
28.9816,111.022,8.77459,3267.3744456178515,86.09729569408222
29.2293,109.499,9.285169999999999,3301.129617540588,93.3260214287664
29.477,114.169,9.44617,3273.857761642019,90.30919084885954
29.7247,117.264,9.139660000000001,3262.950135058809,84.79129088584034
29.9724,115.206,9.04214,3300.4741237160183,86.36675356807946
30.2201,110.314,8.84571,3366.9815672487557,90.01459607947845
30.4678,108.061,9.02174,3408.7207283674275,94.88024500967883
30.7155,110.96799999999999,9.27004,3396.978709033909,94.61056231147579
30.9632,113.90299999999999,9.70985,3385.6276223569853,96.22239351174954
31.211,111.11,9.64456,3431.9511022896772,99.3178021243506
31.4587,104.21700000000001,9.124789999999999,3524.5310724525343,102.88239243173997
31.7064,98.1259,8.74261,3614.8511873513203,107.37437501544413
31.9541,94.2891,8.31122,3682.2865483235682,108.21195574812343
32.2018,94.5048,9.63598,3698.473358655563,125.71867294766348
32.4495,95.7417,8.83409,3701.3371503395438,113.85893036559749
