Fit results
,Deviator,norm,background
value,4.819E-02, 5.66938E+00, 4.86865E-01
error,0.000E+00, 2.63707E-01, 2.69516E-02

Correlation matrix
,norm,background
norm, 1.00000E+00,-7.36338E-01
background,-7.36338E-01, 1.00000E+00

Iteration history
Deviator,Quality,norm,,background,,
1.596E+02, 3.854E+01, 6.000E+00,  , 3.000E+00,  
1.240E+02, 4.107E+01, 6.700E+00, L, 2.687E+00,  
8.696E+01, 3.541E+01, 7.068E+00,  , 2.318E+00, L
5.495E+01, 2.523E+01, 6.261E+00,  , 1.986E+00, L
3.273E+01, 1.732E+01, 5.535E+00, L, 1.688E+00,  
1.773E+01, 1.140E+01, 4.882E+00,  , 1.419E+00, L
8.224E+00, 6.523E+00, 4.294E+00, L, 1.177E+00,  
3.096E+00, 2.919E+00, 3.986E+00,  , 9.592E-01, L
9.235E-01, 1.218E+00, 4.354E+00,  , 7.633E-01, L
1.539E-01, 8.387E-02, 4.890E+00, L, 5.920E-01,  
8.889E-02, 6.317E-02, 5.100E+00,  , 5.504E-01,  
5.029E-02, 3.195E-03, 5.534E+00,  , 5.010E-01,  
4.830E-02, 2.423E-04, 5.638E+00,  , 4.902E-01,  
4.819E-02, 6.641E-07, 5.671E+00,  , 4.867E-01,  
4.819E-02,, 5.669E+00,  , 4.869E-01,  
