Parameters,Values,Std
hcp FeNiSi Peak 0 Intensity,7.144331942725348,0.7240439487463608
hcp FeNiSi Peak 1 Intensity,3.1970527818185968,0.4276549179393656
hcp FeNiSi Peak 2 Intensity,21.944170847022775,1.9542743156188138
extrapeak Peak 0 Intensity,9.89250740738145,2.5703451834284845
hcp FeNiSi Peak Width,0.3416853829872449,0.022474567680769497
extrapeak Peak Width,0.26445606920554515,0.012732202291919924
hcp FeNiSi Peak Shape,0.22258222726855273,0.05735304153599319
extrapeak Peak Shape,0.9999999999999999,0.3408326021305412
hcp FeNiSi a,2.330683564129813,0.0005428017041430067
hcp FeNiSi c,3.668510225481923,0.0026134178483702944
extrapeak a,2.9822079133196335,0.00017103132580413455
Background 0,4464.264113358744,45.85021690660933
Background 1,-156.08723827522547,3.55576030528368
Background 2,1.910130693394791,0.06906982326535849
