Folder,Index,Phase,V,dV,P,dP,KE,dKE,Cvib,dCvib,gamma_vib,dgamma_vib,gamma_D,dgamma_D,Pvib,dPvib
2014Feb_DAC13_P1,FeNiSi_DAC13_P1,hcp,19.901,0.034,27.89,0.25,14.707,0.1045,2.6167,0.013999999999999999,1.76,0.09,1.58,0.09,2.49,0.12
2014Feb_DAC13_P2,FeNiSi_DAC13_P2,hcp,19.305,0.046,37.13,0.63,14.8264,0.1058,2.5907,0.0138,1.71,0.08,1.53,0.08,2.52,0.13
2015Mar_DAC13_P3,FeNiSi_DAC13_P3,hcp,19.087,0.055,40.97,0.99,14.9405,0.1067,2.5655,0.0142,1.69,0.08,1.51,0.08,2.54,0.13
2015Mar_DAC13_P4,FeNiSi_DAC13_P4,hcp,18.397,0.046,54.92,1.09,15.1787,0.1537,2.5224,0.0157,1.63,0.08,1.46,0.08,2.58,0.13
2015Mar_DAC13_P5,FeNiSi_DAC13_P5,hcp,17.829,0.035,68.87,0.9,15.3129,0.1841,2.4953,0.0161,1.58,0.08,1.41,0.08,2.61,0.13
2015Mar_DAC13_P6,FeNiSi_DAC13_P6,hcp,17.258,0.059,85.61,3.54,15.6418,0.1884,2.4354,0.0217,1.53,0.08,1.37,0.08,2.66,0.14
