#,,Density in kg/m^3,,,velocity in km/s,
P,T,rho,KS,mu,vP,vS
360,0,13310,1567,497,13.94,6.11
360,5500,12861,1543,279,12.2,4.66
360,6500,12626,1495,229,11.94,4.25
