#,,Density in kg/m^3,,,velocity in km/s,
P,T,rho,KS,mu,vP,vS
360,0,13733,1596,597,13.2,6.6
360,2000,13689,1617,508,12.95,6.09
360,4000,13489,1569,387,12.43,5.35
360,5500,13310,1550,319,12.18,4.89
360,6400,13164,1527,232,11.81,4.2
360,6900,13101,1531,202,11.72,3.93
360,7200,13096,1526,195,11.67,3.85
360,7350,13090,1514,193,11.64,3.84
