#,,Density in kg/m^3,,,velocity in km/s,
P,T,rho,KS,mu,vP,vS
360,0,14185,1590,655,13.18,6.8
360,2000,14138,1622,554,12.92,6.26
360,4000,13880,1566,423,12.39,5.52
360,5500,13739,1546,341,12.07,4.98
360,6600,13628,1560,284,11.93,4.57
360,7000,13529,1489,250,11.6,4.29
360,7250,13495,1488,198,11.39,3.82
360,7340,13482,1454,180,11.21,3.65
