17.7,20.592,300,0.586,0.00586,0
19.9,20.402,300,0.586,0.00586,0
21.4,20.296,300,0.586,0.00586,0
24.1,20.084,300,0.586,0.00586,0
27.3,19.872,300,0.586,0.00586,0
30.4,19.682,300,0.586,0.00586,0
36.1,19.348,300,0.586,0.00586,0
33.6,19.484,300,0.586,0.00586,0
17.8,20.564,300,0.586,0.00586,0
22.9,20.172,300,0.586,0.00586,0
30.3,19.668,300,0.586,0.00586,0
38,19.186,300,0.586,0.00586,0
42.9,18.928,300,0.586,0.00586,0
47.2,18.712,300,0.586,0.00586,0
36.3,19.304,300,0.586,0.00586,0
47.5,18.732,300,0.586,0.00586,0
56.3,18.31,300,0.586,0.00586,0
65,17.926,300,0.586,0.00586,0
71.2,17.708,300,0.586,0.00586,0
76.7,17.504,300,0.586,0.00586,0
82.4,17.318,300,0.586,0.00586,0
88.9,17.106,300,0.586,0.00586,0
99.5,16.802,300,0.586,0.00586,0
115,16.428,300,0.586,0.00586,0
124,16.188,300,0.586,0.00586,0
28.1,19.76,300,0.586,0.00586,0
55.2,18.321,300,0.586,0.00586,0
78.4,17.48,300,0.586,0.00586,0
105,16.651,300,0.586,0.00586,0
122,16.219,300,0.586,0.00586,0
136,15.897,300,0.586,0.00586,0
146,15.687,300,0.586,0.00586,0
157,15.461,300,0.586,0.00586,0
167,15.321,300,0.586,0.00586,0
176,15.139,300,0.586,0.00586,0
188,14.895,300,0.586,0.00586,0
197,14.781,300,0.586,0.00586,0
