,hcp FeNi Peak 0 Intensity,hcp FeNi Peak 1 Intensity,hcp FeNi Peak 2 Intensity,hcp FeNi Peak Width,hcp FeNi Peak Shape,hcp FeNi a,hcp FeNi c,Background 0,Background 1,Background 2,Background 3
hcp FeNi Peak 0 Intensity,0.8489207976530102,0.03357547114020622,0.6652836337393584,-0.0013761230793741881,-0.002681092515357564,6.96076990821157e-07,1.1687598719555721e-06,6.3285501685907395,-0.7290444815695928,0.027781424913624373,-0.0003490419067495104
hcp FeNi Peak 1 Intensity,0.03357547114020622,0.11669398518589524,0.056910275190725924,-2.7617650576434813e-05,-0.00013859116389358593,-9.6648962685684e-07,1.9099763896459907e-05,-29.985949253190395,3.50012455991529,-0.13564382096049343,0.0017447856137449815
hcp FeNi Peak 2 Intensity,0.6652836337393584,0.056910275190725924,0.7296254249852889,-0.0012371049078160167,-0.002409738457749835,5.24416145703862e-07,-2.2359723713734163e-06,-42.319330230361295,4.826445214140567,-0.18269563870795827,0.0022963342545778516
hcp FeNi Peak Width,-0.0013761230793741881,-2.7617650576434823e-05,-0.0012371049078160167,3.896394462188573e-06,4.571801597389359e-06,-4.130405095071114e-09,-3.3934421721137283e-09,0.07342176578615933,-0.008346126407431969,0.000315220094809865,-3.960560925885594e-06
hcp FeNi Peak Shape,-0.002681092515357564,-0.00013859116389358593,-0.002409738457749835,4.571801597389359e-06,9.668149549353698e-06,-3.098376857112854e-09,-1.8120729990803547e-09,0.0748552078391756,-0.008516363819898117,0.0003218840077434152,-4.0469711720532695e-06
hcp FeNi a,6.960769908211571e-07,-9.6648962685684e-07,5.244161457038617e-07,-4.130405095071114e-09,-3.098376857112855e-09,1.649795909805785e-08,-7.809671846676649e-08,0.00025385941170020956,-3.366096902605559e-05,1.4516625683007352e-06,-2.0443421933493913e-08
hcp FeNi c,1.1687598719555713e-06,1.90997638964599e-05,-2.235972371373418e-06,-3.393442172113738e-09,-1.8120729990803483e-09,-7.809671846676649e-08,1.2542511509691444e-06,-0.023270675283136127,0.002756691399350714,-0.00010845857519373594,1.4169777190792593e-06
Background 0,6.328550168590741,-29.985949253190395,-42.3193302303613,0.07342176578615935,0.0748552078391756,0.00025385941170020956,-0.02327067528313613,66900.60940751572,-7699.490216569062,294.378504648714,-3.7391822704429805
Background 1,-0.7290444815695928,3.5001245599152897,4.826445214140567,-0.008346126407431969,-0.008516363819898117,-3.3660969026055584e-05,0.002756691399350714,-7699.490216569061,886.4457607915,-33.90429110869587,0.43080670837409346
Background 2,0.027781424913624373,-0.1356438209604934,-0.18269563870795827,0.00031522009480986494,0.00032188400774341516,1.4516625683007354e-06,-0.00010845857519373593,294.37850464871394,-33.904291108695865,1.2972277329042912,-0.016489311425404173
Background 3,-0.0003490419067495104,0.0017447856137449813,0.0022963342545778516,-3.960560925885594e-06,-4.0469711720532695e-06,-2.0443421933493913e-08,1.4169777190792593e-06,-3.7391822704429805,0.4308067083740935,-0.016489311425404173,0.00020967535620419975
