,hcp FeNi Peak 0 Intensity,hcp FeNi Peak 1 Intensity,hcp FeNi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNi Peak Width,extrapeak Peak Width,hcp FeNi Peak Shape,extrapeak Peak Shape,hcp FeNi a,hcp FeNi c,extrapeak a,Background 0,Background 1,Background 2
hcp FeNi Peak 0 Intensity,0.029423530562567586,0.0540572422919649,0.10261049972906255,0.00018147806385432303,-0.0015283962027696774,-1.129187792745982e-05,-0.029357626508629647,-2.4425377727257168e-05,8.174665255211932e-07,-2.899488228557375e-06,-4.810938348936645e-07,-0.06803684549547723,0.005255239529188809,-9.515754859905035e-05
hcp FeNi Peak 1 Intensity,0.0540572422919649,0.10667016812502383,0.20061371665751576,-0.03185566220892019,-0.0029769234978705775,0.00012453015685169228,-0.05729816294623662,0.00020367305684161613,3.397308871025106e-06,-7.666156592689828e-06,2.818618966148355e-06,0.040459731952019816,-0.0030825618936632924,6.923171626248178e-05
hcp FeNi Peak 2 Intensity,0.10261049972906258,0.20061371665751576,0.38223239868465,-0.05713877288073065,-0.005740210585009794,0.0002184241664779257,-0.10921169575388526,0.0003561054577680076,6.284476483162444e-06,-1.452075608511214e-05,5.78867787028796e-06,-0.11789885246869052,0.009863228283692824,-0.0001810086686631907
extrapeak Peak 0 Intensity,0.00018147806385432582,-0.03185566220892018,-0.05713877288073065,0.9782737125429748,0.0002619432973795886,-0.002704588832467499,0.014201856713754705,-0.006961490242696534,-1.1622544572264458e-05,1.304949818151732e-05,-1.7128127511893825e-05,-1.1246473587369836,0.09050531822602652,-0.0017954970880907138
hcp FeNi Peak Width,-0.0015283962027696774,-0.0029769234978705775,-0.005740210585009794,0.0002619432973795886,0.0001129543747533195,-1.1156567181281915e-06,0.0017206190313838248,-8.310562199901886e-07,-1.0377378717246273e-07,2.7917981930121484e-07,-1.6139058454166496e-07,0.02663677427606544,-0.00213001301950483,4.156438385277645e-05
extrapeak Peak Width,-1.129187792745982e-05,0.0001245301568516923,0.00021842416647792565,-0.002704588832467499,-1.1156567181281913e-06,1.0282353314475915e-05,-5.3908126382924355e-05,1.9529067240130255e-05,8.675032325344445e-08,-8.539728491685251e-08,8.016674602044838e-08,0.005093439027716141,-0.0004108190531441173,8.168035532580625e-06
hcp FeNi Peak Shape,-0.029357626508629647,-0.05729816294623662,-0.10921169575388526,0.014201856713754709,0.0017206190313838248,-5.3908126382924355e-05,0.03152007634998099,-8.491258897436967e-05,-1.8013635078154986e-06,4.3377936782067696e-06,-1.8958602688130246e-06,0.12789121001966308,-0.010302917563698458,0.00019803269197713394
extrapeak Peak Shape,-2.4425377727257188e-05,0.00020367305684161613,0.0003561054577680076,-0.006961490242696534,-8.310562199901872e-07,1.9529067240130255e-05,-8.491258897436967e-05,5.0971666548759164e-05,1.0639974455280573e-07,-1.1131878423339199e-07,1.316007741374509e-07,0.009227439170222703,-0.0007449917436702956,1.481531124492988e-05
hcp FeNi a,8.174665255211933e-07,3.3973088710251066e-06,6.284476483162444e-06,-1.162254457226446e-05,-1.0377378717246273e-07,8.675032325344445e-08,-1.801363507815499e-06,1.0639974455280573e-07,2.75290666100186e-08,-2.5722969898146603e-08,3.1891785490975736e-09,4.233819801007602e-05,-3.542066074681366e-06,7.328207830516589e-08
hcp FeNi c,-2.899488228557376e-06,-7.666156592689828e-06,-1.4520756085112137e-05,1.3049498181517323e-05,2.791798193012148e-07,-8.53972849168525e-08,4.3377936782067696e-06,-1.11318784233392e-07,-2.5722969898146603e-08,1.5158855586146826e-07,-3.350797184755142e-09,2.2411832267561237e-05,-1.9991129239924368e-06,4.2205238227059175e-08
extrapeak a,-4.810938348936645e-07,2.818618966148355e-06,5.78867787028796e-06,-1.7128127511893828e-05,-1.6139058454166496e-07,8.016674602044838e-08,-1.8958602688130246e-06,1.316007741374509e-07,3.1891785490975736e-09,-3.3507971847551428e-09,2.3683206758957985e-08,-7.64798295866163e-05,6.306425000994312e-06,-1.267245083128983e-07
Background 0,-0.06803684549547723,0.040459731952019816,-0.11789885246869052,-1.1246473587369836,0.026636774276065443,0.005093439027716141,0.12789121001966308,0.009227439170222704,4.233819801007602e-05,2.241183226756124e-05,-7.64798295866163e-05,72.26955915324496,-5.72134654680047,0.1120159893247505
Background 1,0.005255239529188809,-0.003082561893663293,0.009863228283692824,0.0905053182260265,-0.00213001301950483,-0.00041081905314411724,-0.010302917563698458,-0.0007449917436702956,-3.542066074681366e-06,-1.9991129239924368e-06,6.306425000994312e-06,-5.721346546800469,0.4533563541141006,-0.008883485415061636
Background 2,-9.515754859905035e-05,6.923171626248177e-05,-0.0001810086686631907,-0.0017954970880907138,4.156438385277645e-05,8.168035532580623e-06,0.00019803269197713394,1.481531124492988e-05,7.328207830516589e-08,4.2205238227059175e-08,-1.267245083128983e-07,0.11201598932475047,-0.008883485415061636,0.00017421022918792214
