File name,wR,Red. chi^2,Start,End,Wavelength,Bg num,a,c,V,c/a,NRIXS exp,da,dc,P
FeNiSi_DAC13_P1a_021,0.002517187680078371,0.08213066502407583,22,29.0,0.8602549999999999,3,2.432495964385597,3.893635951909757,19.95217438115197,1.6006751949096107,FeNiSi_DAC13_P1,0.00024114054369299464,0.0020194349495476125,27.181094088129875
FeNiSi_DAC13_P1b_020,0.0025542992551575825,0.08285723058672333,22,29.0,0.8602549999999999,3,2.4311421371886484,3.8781651751808286,19.85078269894521,1.5952029771757834,FeNiSi_DAC13_P1,0.0002640837508607662,0.0023936294683926363,28.613297996174495
FeNiSi_DAC13_P2a_032,0.0023225410013106643,0.06433318332352518,22,28.0,0.8602549999999999,3,2.4118376013843714,3.8462253293146436,19.375881897637946,1.5947281554558017,FeNiSi_DAC13_P2,0.0003702373005110712,0.0019301339915222984,35.94885379006972
FeNiSi_DAC13_P2b_031,0.002117325056001435,0.06933353910017256,22,28.5,0.8602549999999999,4,2.403350508574324,3.8452488272778838,19.234872299186524,1.5999534040329804,FeNiSi_DAC13_P2,0.0005859950459753928,0.003564949023174789,38.34132537541477
FeNiSi_DAC13_P3a_008,0.0018740931000095805,0.06534084150199247,23,28.5,0.8602549999999999,3,2.3725391231229285,3.935734160877837,19.18594315380884,1.6588700782717989,FeNiSi_DAC13_P3,0.0005209757948112649,0.003239020049920616,39.19604758672954
FeNiSi_DAC13_P3b_004,0.0016879410211766536,0.05813216096594988,23,28.5,0.8602549999999999,3,2.384651355978912,3.8552892721350007,18.986170951326123,1.6167098232070003,FeNiSi_DAC13_P3,0.0006126326372741241,0.0037015267987968226,42.82249677077414
FeNiSi_DAC13_P4a_017,0.0014587410302468065,0.049583346557650135,23,28.5,0.8602549999999999,3,2.36788262497529,3.7981819074204237,18.4427947890842,1.6040414619200392,FeNiSi_DAC13_P4,0.00040610970472306466,0.0024294703776768928,53.895004247950396
FeNiSi_DAC13_P4b_016,0.0014196842614621536,0.04905024759482895,23,28.5,0.8602549999999999,3,2.3633191904223416,3.7939213598619133,18.351168348182007,1.6053359932239677,FeNiSi_DAC13_P4,0.0005576365605732952,0.003484133313662509,55.952222535729746
FeNiSi_DAC13_P5a_023,0.0014534370927274645,0.0642020861087767,23,28.8,0.8602549999999999,3,2.3477144185889767,3.741992428942232,17.86175263443893,1.5938873992992917,FeNiSi_DAC13_P5,0.0003745036711200676,0.002210841482772913,67.98799047698871
FeNiSi_DAC13_P5b_022,0.001412150115375595,0.05849599868065879,23,28.8,0.8602549999999999,3,2.344754581999429,3.737565983817496,17.795667663509604,1.5940115918785762,FeNiSi_DAC13_P5,0.00040632871171892405,0.00238961110350652,69.75808594672019
FeNiSi_DAC13_P6a_026,0.0013246738804795894,0.055634699056132726,23,28.8,0.8602549999999999,3,2.330683564129813,3.6685102254819233,17.25786203421817,1.5740061336261246,FeNiSi_DAC13_P6,0.0005428017041430067,0.0026134178483702944,85.60717500120124
