File name,wR,Red. chi^2,Start,End,Wavelength,Bg num,a,V,NRIXS exp,da,P
FeNi_Ambient_010,0.033951023456002344,1.4546098689998757,23,26,0.8602549999999999,3,2.879004414703412,23.86310721484345,FeNi_Ambient,2.5771399057010284e-05,-1.3662119754628637
FeNi_Ambient_019,0.003402271130355841,0.11551767892616105,22,26,0.8602549999999999,3,2.8683509040925865,23.599176096319976,FeNi_Ambient,3.6479955179272274e-05,0.22360985917273465
FeNi_DAC11_P1a_006,0.004113386199571617,0.0567180182803262,23,26,0.8602549999999999,3,2.848826331321622,23.120537404472227,FeNi_DAC11_P1,6.674463040834014e-05,3.464054776961796
FeNi_DAC11_P1b_003,0.003043200377642405,0.052157060602287315,23,26,0.8602549999999999,3,2.8458340104006297,23.047758565397526,FeNi_DAC11_P1,5.9322856011974024e-05,4.000331922109409
FeNi_DAC11_P1b_004,0.0033701131472374016,0.04808974168766828,23,26,0.8602549999999999,3,2.8442068047125533,23.00824606691158,FeNi_DAC11_P1,5.657951300931959e-05,4.296572629258717
FeNi_DAC11_P1b_005,0.004506068619320758,0.06064987091536767,23,26,0.8602549999999999,3,2.8494137591118465,23.13484271340659,FeNi_DAC11_P1,7.03952112937154e-05,3.3600568026360618
FeNi_DAC11_P2a_011,0.0026452982514716407,0.04200641251723631,23,26,0.8602549999999999,3,2.823220683936268,22.5026922881423,FeNi_DAC11_P2,4.1711247556444136e-05,8.422312932517539
FeNi_DAC11_P2a_012,0.0029897837595192424,0.04173735957451041,23,26,0.8602549999999999,3,2.8220028809049125,22.47358507591933,FeNi_DAC11_P2,4.966961030490282e-05,8.679858939381514
FeNi_DAC11_P2b_009,0.0026248399009687826,0.04077318076794875,23,26,0.8602549999999999,3,2.8278720762623,22.61409844832062,FeNi_DAC11_P2,3.7303742651031375e-05,7.45745457822413
FeNi_DAC11_P2b_010,0.002987107508702101,0.04085993994444589,23,26,0.8602549999999999,3,2.8263701322151,22.57808507159736,FeNi_DAC11_P2,4.030790111683573e-05,7.765770404735577
FeNi_DAC14_P1a_003,0.004554329318509608,0.10388120324127773,23,26,0.8602549999999999,3,2.859241488889017,23.37504798352294,FeNi_DAC14_P1,4.15083322714589e-05,1.680974990254452
FeNi_DAC14_P1b_002,0.004958997324520255,0.08636072522461521,23,26,0.8602549999999999,3,2.8592534241731884,23.375340706966405,FeNi_DAC14_P1,4.1288038379763175e-05,1.6790043183953318
FeNi_DAC14_P2a_005,0.00480831198528628,0.11381810262741465,23,26,0.8602549999999999,3,2.8429615508833015,22.97803880746475,FeNi_DAC14_P2,4.281835548167576e-05,4.525496931355926
FeNi_DAC14_P2b_004,0.004786204656816317,0.1113701773806882,23,26,0.8602549999999999,3,2.8430353678051903,22.97982871433457,FeNi_DAC14_P2,4.0545098598432776e-05,4.511872685500672
