NRIXS exp,a,da,c,dc,V range,P range,V,dV,rho,drho,P,dP
FeNiSi_DAC13_P1,2.43182,0.00072,3.8859,0.00626,0.101,1.43,19.901,0.034,9.05,0.016,27.89,0.25
FeNiSi_DAC13_P2,2.40759,0.00139,3.84574,0.00811,0.141,2.39,19.305,0.046,9.329,0.022,37.13,0.63
FeNiSi_DAC13_P3,2.3786,0.00161,3.89551,0.00984,0.2,3.63,19.087,0.055,9.436,0.027,40.97,0.99
FeNiSi_DAC13_P4,2.3656,0.00138,3.79605,0.0085,0.092,2.06,18.397,0.046,9.79,0.025,54.92,1.09
FeNiSi_DAC13_P5,2.34623,0.00111,3.73978,0.00651,0.066,1.77,17.829,0.035,10.102,0.02,68.87,0.9
FeNiSi_DAC13_P6,2.33068,0.00217,3.66851,0.01045,0.0,0.0,17.258,0.059,10.436,0.036,85.61,3.54
