NRIXS exp,a,da,c,dc,V range,P range,V,dV,rho,drho,P,dP
FeNi_DAC11_P14,2.29882,0.00103,3.65436,0.00896,0.0,0.0,16.724,0.044,11.339,0.03,104.1,2.66
FeNi_DAC11_P3,2.45382,0.00084,3.94803,0.00219,0.002,0.03,20.587,0.018,9.211,0.008,17.96,0.06
FeNi_DAC11_P4,2.43844,0.00114,3.92492,0.00446,0.009,0.13,20.211,0.03,9.383,0.014,22.79,0.17
FeNi_DAC11_P5,2.39868,0.00191,3.83085,0.01015,0.132,2.46,19.088,0.059,9.934,0.031,40.74,1.23
FeNi_DAC11_P6,2.38894,0.00114,3.78846,0.00655,0.017,0.35,18.724,0.037,10.128,0.02,47.92,0.6
FeNi_DAC11_P7,2.35904,0.00104,3.74846,0.00641,0.022,0.56,18.066,0.035,10.497,0.02,62.96,0.78
FeNi_DAC11_P8,2.34146,0.00068,3.70775,0.00417,0.013,0.38,17.604,0.022,10.772,0.014,75.34,0.43
FeNi_DAC11_P9,2.32995,0.00085,3.68658,0.00534,0.015,0.48,17.332,0.028,10.941,0.018,83.46,0.78
