Bg num,End,File name,NRIXS exp,Red. chi^2,Start,Wavelength,bcc Fe Vol,bcc Fe a,bcc Fe da,bcc FeNi Vol,bcc FeNi a,bcc FeNi da,bcc FeNiSi Vol,bcc FeNiSi a,bcc FeNiSi da,hcp FeNi Vol,hcp FeNi a,hcp FeNi c,hcp FeNi c/a,hcp FeNi da,hcp FeNi dc,hcp FeNiSi Vol,hcp FeNiSi a,hcp FeNiSi c,hcp FeNiSi c/a,hcp FeNiSi da,hcp FeNiSi dc,wR
3,26.0,Fe_Ambient_020,Fe_Ambient,0.40627211299153343,23.0,0.8602549999999999,23.456036137472505,2.8625398460019413,1.0798631076581516e-05,,,,,,,,,,,,,,,,,,,0.02923522434830266
3,26.0,FeNi_Ambient_010,FeNi_Ambient,1.4546098689998757,23.0,0.8602549999999999,,,,23.86310721484345,2.879004414703412,2.5771399057010284e-05,,,,,,,,,,,,,,,,0.033951023456002344
3,26.0,FeNi_Ambient_019,FeNi_Ambient,0.11551767892616105,22.0,0.8602549999999999,,,,23.599176096319976,2.8683509040925865,3.6479955179272274e-05,,,,,,,,,,,,,,,,0.003402271130355841
4,29.5,FeNi_DAC11_P14a_006,FeNi_DAC11_P14,0.06125269395429848,23.0,0.8602549999999999,,,,,,,,,,16.724394879333964,2.298815881011043,3.6543606346481936,1.5896708670034798,0.00012844438134094403,0.0011199335475684013,,,,,,,0.0016491265390560525
3,26.0,FeNi_DAC11_P1a_006,FeNi_DAC11_P1,0.0567180182803262,23.0,0.8602549999999999,,,,23.120537404472227,2.848826331321622,6.674463040834014e-05,,,,,,,,,,,,,,,,0.004113386199571617
3,26.0,FeNi_DAC11_P1b_003,FeNi_DAC11_P1,0.052157060602287315,23.0,0.8602549999999999,,,,23.047758565397526,2.8458340104006297,5.9322856011974024e-05,,,,,,,,,,,,,,,,0.003043200377642405
3,26.0,FeNi_DAC11_P1b_004,FeNi_DAC11_P1,0.04808974168766828,23.0,0.8602549999999999,,,,23.00824606691158,2.8442068047125533,5.657951300931959e-05,,,,,,,,,,,,,,,,0.0033701131472374016
3,26.0,FeNi_DAC11_P1b_005,FeNi_DAC11_P1,0.06064987091536767,23.0,0.8602549999999999,,,,23.13484271340659,2.8494137591118465,7.03952112937154e-05,,,,,,,,,,,,,,,,0.004506068619320758
3,26.0,FeNi_DAC11_P2a_011,FeNi_DAC11_P2,0.04200641251723631,23.0,0.8602549999999999,,,,22.5026922881423,2.823220683936268,4.1711247556444136e-05,,,,,,,,,,,,,,,,0.0026452982514716407
3,26.0,FeNi_DAC11_P2a_012,FeNi_DAC11_P2,0.04173735957451041,23.0,0.8602549999999999,,,,22.47358507591933,2.8220028809049125,4.966961030490282e-05,,,,,,,,,,,,,,,,0.0029897837595192424
3,26.0,FeNi_DAC11_P2b_009,FeNi_DAC11_P2,0.04077318076794875,23.0,0.8602549999999999,,,,22.61409844832062,2.8278720762623,3.7303742651031375e-05,,,,,,,,,,,,,,,,0.0026248399009687826
3,26.0,FeNi_DAC11_P2b_010,FeNi_DAC11_P2,0.04085993994444589,23.0,0.8602549999999999,,,,22.57808507159736,2.8263701322151,4.030790111683573e-05,,,,,,,,,,,,,,,,0.002987107508702101
3,29.0,FeNi_DAC11_P3a_015,FeNi_DAC11_P3,0.06469307487528418,22.0,0.8602549999999999,,,,,,,,,,20.585962457192462,2.453560788734064,3.9486341743575717,1.6093484182207305,0.00012951056449061026,0.00038663272170410076,,,,,,,0.0034696779314969052
3,29.0,FeNi_DAC11_P3b_014,FeNi_DAC11_P3,0.056277951008931085,22.0,0.8602549999999999,,,,,,,,,,20.58833829575456,2.454078128306296,3.947425063796975,1.6085164601182953,0.0001659188554987606,0.0003893437502535109,,,,,,,0.002967574218959921
3,29.0,FeNi_DAC11_P4a_017,FeNi_DAC11_P4,0.0586620670480445,22.0,0.8602549999999999,,,,,,,,,,20.215697999804632,2.4379137271115,3.927547479865837,1.6110280836390758,0.00020127524355875482,0.0008670097664721674,,,,,,,0.003039619334183021
3,29.0,FeNi_DAC11_P4b_016,FeNi_DAC11_P4,0.0815685621940935,22.0,0.8602549999999999,,,,,,,,,,20.206254979017785,2.438974431179512,3.9222990467922094,1.6081755497926022,0.00020084242493290715,0.0007022197120962776,,,,,,,0.0037815555397776304
3,29.0,FeNi_DAC11_P5a_021,FeNi_DAC11_P5,0.05467897109288418,22.0,0.8602549999999999,,,,,,,,,,19.02259099976793,2.3965839646163007,3.824315734633246,1.595736177449359,0.00029477702969181127,0.0015180251423739187,,,,,,,0.002789295300916587
3,29.0,FeNi_DAC11_P5b_020,FeNi_DAC11_P5,0.041796492919004544,22.0,0.8602549999999999,,,,,,,,,,19.154455061769053,2.400780531030509,3.8373750557074415,1.5983864439538291,0.00037522673113632985,0.0020341462340614327,,,,,,,0.00210832573123809
3,29.0,FeNi_DAC11_P6a_023,FeNi_DAC11_P6,0.034374774326832544,22.0,0.8602549999999999,,,,,,,,,,18.73263186692113,2.3886853436716504,3.790969384048189,1.5870526413583996,0.0002083774327834672,0.0011961937442117627,,,,,,,0.0017008147945046295
3,29.0,FeNi_DAC11_P6b_022,FeNi_DAC11_P6,0.03332674730399244,22.0,0.8602549999999999,,,,,,,,,,18.71591796690768,2.38920063935338,3.78595333568748,1.5846108833756725,0.0001947825738555396,0.0011192562216276619,,,,,,,0.0016591231526989904
3,29.0,FeNi_DAC11_P7a_027,FeNi_DAC11_P7,0.04311475599275946,22.0,0.8602549999999999,,,,,,,,,,18.054458381188237,2.3582415280452595,3.7486704861798135,1.5896041357931119,0.0002137523009325654,0.0013215356904547216,,,,,,,0.0020847517398422345
3,29.0,FeNi_DAC11_P7b_026,FeNi_DAC11_P7,0.04660828426131142,22.0,0.8602549999999999,,,,,,,,,,18.076956474852377,2.3598452142273922,3.7482421911640342,1.5883423915119794,0.0001480015596960975,0.000907764598943601,,,,,,,0.0023700176254013022
4,30.0,FeNi_DAC11_P8a_030,FeNi_DAC11_P8,0.04402366908197655,22.0,0.8602549999999999,,,,,,,,,,17.610735518373254,2.341631128192056,3.708599177835029,1.5837674573016085,0.00012100819103906756,0.0007418349512044884,,,,,,,0.002006154968217876
4,30.0,FeNi_DAC11_P8b_029,FeNi_DAC11_P8,0.045551994621118086,22.0,0.8602549999999999,,,,,,,,,,17.597589177391104,2.3412930302509944,3.706901093335206,1.5832708872574632,0.00012089008868515732,0.0007322198895602784,,,,,,,0.0020762951378712727
4,30.0,FeNi_DAC11_P9a_034,FeNi_DAC11_P9,0.04065365403644965,22.0,0.8602549999999999,,,,,,,,,,17.339592399230515,2.3287542744784515,3.691993455417794,1.5853941722746399,0.00010656585927224341,0.0007069482666549942,,,,,,,0.0018448042831379864
4,30.0,FeNi_DAC11_P9b_033,FeNi_DAC11_P9,0.06392267918008758,22.0,0.8602549999999999,,,,,,,,,,17.324186517165028,2.3311423640907774,3.6811594151827696,1.5791225245990257,0.00018389231590626144,0.001131002331070795,,,,,,,0.002816068230944752
