NRIXS exp,a,da,V range,P range,V,dV,rho,drho,P,dP
FeNi_Ambient,2.87368,0.00089,0.264,1.59,23.731,0.022,7.991,0.007,0.0,0.0
FeNi_DAC11_P1,2.84707,0.00127,0.127,0.94,23.078,0.031,8.217,0.011,3.78,0.05
FeNi_DAC11_P2,2.82487,0.00085,0.141,1.22,22.542,0.02,8.412,0.008,8.08,0.03
FeNi_DAC14_P1,2.85925,0.00117,0.0,0.0,23.375,0.029,8.113,0.01,1.68,0.04
FeNi_DAC14_P2,2.843,0.00118,0.002,0.01,22.979,0.029,8.252,0.01,4.52,0.05
