Index,a,da,V,dV,rho,drho,P,dP,KT,dKT,KTprime,dKTprime
FeNi_Ambient,2.874,0.001,23.73,0.02,7.99,0.01,0,0,147,3,6.4,0.6
FeNi_DAC11_P1,2.847,0.001,23.08,0.03,8.22,0.01,3.8,0.1,171,1,6.1,0.6
FeNi_DAC11_P2,2.825,0.001,22.54,0.02,8.41,0.01,8.1,0.1,196,2,5.9,0.5
FeNi_DAC14_P1,2.859,0.001,23.38,0.03,8.11,0.01,1.7,0.1,158,2,6.3,0.6
FeNi_DAC14_P2,2.843,0.001,22.98,0.03,8.25,0.01,4.5,0.1,175,1,6.1,0.5
