Index,a,da,c,dc,V,dV,rho,drho,P,dP,KT,dKT,KTprime,dKTprime,KS,dKS
FeNiSi_DAC13_P1,2.432,0.001,3.886,0.006,19.9,0.03,9.05,0.02,27.9,0.3,281,2,5.12,0.06,284,3
FeNiSi_DAC13_P2,2.408,0.001,3.846,0.008,19.31,0.05,9.33,0.02,37.1,0.6,327,2,4.94,0.06,330,2
FeNiSi_DAC13_P3,2.379,0.002,3.896,0.01,19.09,0.06,9.44,0.03,41,1,347,2,4.88,0.06,350,2
FeNiSi_DAC13_P4,2.366,0.001,3.796,0.009,18.4,0.05,9.79,0.03,54.9,1,413,1,4.7,0.06,416,1
FeNiSi_DAC13_P5,2.346,0.001,3.74,0.007,17.83,0.04,10.1,0.02,68.9,1,478,1,4.56,0.06,480,1
FeNiSi_DAC13_P6,2.331,0.002,3.669,0.01,17.26,0.06,10.44,0.04,85.6,3,553,2,4.43,0.05,555,2
