Index,a,da,c,dc,V,dV,rho,drho,P,dP,KT,dKT,KTprime,dKTprime,KS,dKS
FeNi_DAC11_P3,2.454,0.001,3.948,0.002,20.59,0.02,9.21,0.01,18,0.1,251,2,4.88,0.07,254,3
FeNi_DAC11_P4,2.438,0.001,3.925,0.004,20.21,0.03,9.38,0.01,22.8,0.2,274,2,4.77,0.07,278,2
FeNi_DAC11_P5,2.399,0.002,3.831,0.01,19.09,0.06,9.93,0.03,41,1,357,1,4.46,0.06,360,1
FeNi_DAC11_P6,2.389,0.001,3.788,0.007,18.72,0.04,10.13,0.02,48,1,388,1,4.37,0.06,391,1
FeNi_DAC11_P7,2.359,0.001,3.748,0.006,18.07,0.04,10.5,0.02,63,1,453,1,4.22,0.06,456,1
FeNi_DAC11_P8,2.341,0.001,3.708,0.004,17.6,0.02,10.77,0.01,75,1,504,2,4.12,0.05,507,2
FeNi_DAC11_P9,2.33,0.001,3.687,0.005,17.33,0.03,10.94,0.02,83,1,538,2,4.06,0.05,541,2
FeNi_DAC11_P14,2.299,0.001,3.654,0.009,16.72,0.04,11.34,0.03,104,3,620,3,3.94,0.05,623,3
