2theta,Intensity,Model,Residual,Background,hcp FeNiSi
22.00479612,1089.382446,1090.3054659074648,-0.9230199074647771,1089.4031432045958,0.9023227028690095
22.01216174,1089.4552,1090.1983062881382,-0.7431062881380512,1089.288054866041,0.9102514220972322
22.01952737,1089.165039,1090.0913229774415,-0.9262839774414715,1089.1730339353321,0.9182890421093782
22.02689299,1088.3948970000001,1089.984518286547,-1.5896212865468442,1089.0580807247877,0.92643756175925
22.03425861,1087.9526369999999,1089.8778941377984,-1.9252571377985532,1088.9431950782027,0.9346990595955854
22.04162423,1087.8474119999998,1089.7714526472544,-1.9240406472545146,1088.828376995577,0.9430756516774863
22.04898985,1087.930908,1089.6651959806798,-1.73428798067971,1088.7136264769108,0.9515695037688459
22.05635548,1088.142212,1089.5591262110647,-1.41691421106475,1088.5989433665495,0.9601828445152774
22.0637211,1088.380005,1089.4532458958472,-1.0732408958472206,1088.4843279758938,0.9689179199534356
22.07108672,1088.402954,1089.347557214362,-0.9446032143621323,1088.3697801491974,0.9777770651647028
22.07845234,1088.37793,1089.2420625456696,-0.8641325456694631,1088.2552998864605,0.9867626592091067
22.08581797,1087.79834,1089.1367641831914,-1.3384241831913641,1088.1408870323953,0.9958771507960799
22.09318359,1086.864136,1089.0316649079305,-2.1675289079305458,1088.0265418976692,1.0051230102613706
22.10054921,1086.041748,1088.9267671324142,-2.8850191324140724,1087.912264326902,1.0145028055122158
22.10791483,1085.8964839999999,1088.8220734745648,-2.9255894745649584,1087.7980543200945,1.0240191544703239
22.11528045,1086.056763,1088.7175866164257,-2.6608236164256596,1087.6839118772461,1.03367473917946
22.12264608,1085.600342,1088.6133091646166,-3.0129671646166116,1087.5698368435285,1.0434723210880423
22.1300117,1085.24292,1088.5092442182886,-3.2663242182886734,1087.4558295286909,1.053414689597705
22.13737732,1084.980957,1088.405394521695,-3.4244375216949265,1087.3418897778124,1.063504743882595
22.14474294,1085.31543,1088.3017630328573,-2.9863330328571465,1087.2280175908936,1.073745441963583
22.15210856,1084.9338380000002,1088.1983527840034,-3.2645147840032678,1087.1142129679342,1.084139816069261
22.15947419,1085.283569,1088.095166743864,-2.811597743864013,1087.000475754564,1.0946909893001204
22.16683981,1084.889038,1087.9922083800411,-3.1031703800410924,1086.8868062596148,1.1054021204264248
22.17420543,1084.944702,1087.889480820847,-2.9447788208469774,1086.7732043286253,1.1162764922217014
22.18157105,1084.907227,1087.7869874184514,-2.8797604184514967,1086.6596699615952,1.1273174568561675
22.18893668,1085.3551029999999,1087.6847314725362,-2.329628472536342,1086.546203004521,1.1385284680152008
22.1963023,1085.383057,1087.5827167879422,-2.1996597879422097,1086.4328037655014,1.1499130224408753
22.20366792,1085.130493,1087.4809468444398,-2.350453844439926,1086.3194720904412,1.1614747539985706
22.21103354,1084.34314,1087.3794253552192,-3.0362853552192064,1086.2062079793402,1.1732173758789162
22.21839916,1084.11499,1087.2781561308527,-3.1631661308526873,1086.0930114321989,1.1851446986538623
22.22576479,1083.634399,1087.1771429453868,-3.5427439453867464,1085.9798822954722,1.1972606499145952
22.23313041,1084.005981,1087.076390087731,-3.0704090877309227,1085.866820876341,1.209569211389827
22.24049603,1084.001343,1086.97590154209,-2.974558542090108,1085.7538270211696,1.2220745209203476
22.24786165,1084.013794,1086.8756815402899,-2.8618875402898993,1085.6409007299576,1.2347808103323226
22.25522727,1084.407349,1086.775734427997,-2.3683854279968273,1085.5280420027048,1.2476924252920991
22.2625929,1084.960083,1086.676064533257,-1.715981533257036,1085.4152506863256,1.2608138469312413
22.26995852,1085.686646,1086.5766767111918,-0.8900307111916845,1085.3025270870833,1.2741496241085895
22.27732414,1084.90332,1086.4775755360342,-1.574255536034343,1085.1898710518005,1.2877044842337586
22.28468976,1084.87793,1086.3787658468743,-1.5008358468742244,1085.0772825804772,1.3014832663970997
22.29205538,1084.481323,1086.280252616405,-1.7989296164050756,1084.9647616731131,1.315490943291927
22.29942101,1084.713745,1086.1820408222056,-1.4682958222056186,1084.852308177081,1.3297326451245712
22.30678663,1084.121826,1086.0841359842673,-1.9623099842672218,1084.7399223977277,1.34421358653957
22.31415225,1084.129883,1085.9865433697141,-1.8566603697140636,1084.6276041823335,1.3589391873806953
22.32151787,1083.349731,1085.8892685315186,-2.53953753151859,1084.515353530899,1.3739150006196894
22.3288835,1083.706299,1085.7923170486874,-2.0860180486874924,1084.4031702911632,1.3891467575242313
22.33624912,1083.3439939999998,1085.6956950576712,-2.3517010576713346,1084.291054767739,1.4046402899319907
22.34361474,1084.05249,1085.5994084681379,-1.5469184681378465,1084.1790068082742,1.4204016598637477
22.35098036,1084.090576,1085.5034634956985,-1.4128874956984419,1084.0670264127689,1.436437082929663
22.35834598,1084.295776,1085.4078665360537,-1.1120905360537563,1083.955113581223,1.4527529548306732
22.36571161,1084.260864,1085.3126240421689,-1.0517600421687803,1083.8432681618347,1.4693558803342435
22.37307723,1084.421021,1085.2177430475083,-0.7967220475081831,1083.731490458299,1.486252589209335
22.38044285,1084.060547,1085.1232303969316,-1.0626833969315612,1083.619780318723,1.5034500782085505
22.38780847,1084.388672,1085.029093271434,-0.6404212714339792,1083.5081377431065,1.5209555283274145
22.39517409,1084.483398,1084.9353390659085,-0.451941065908386,1083.3965627314492,1.5387763344592924
22.40253972,1084.5311279999999,1084.8419752702694,-0.3108472702695053,1083.2850551324082,1.5569201378612272
22.40990534,1084.055542,1084.7490099838708,-0.6934679838707325,1083.1736152487615,1.5753947351092497
