,hcp FeNiSi Peak 0 Intensity,hcp FeNiSi Peak 1 Intensity,hcp FeNiSi Peak 2 Intensity,hcp FeNiSi Peak Width,hcp FeNiSi Peak Shape,hcp FeNiSi a,hcp FeNiSi c,Background 0,Background 1,Background 2
hcp FeNiSi Peak 0 Intensity,0.8968882184889129,0.03359282590376434,0.8508701518420065,-0.012213655215532653,-0.14482992037499687,-5.641086033967569e-06,5.039461191305202e-05,2.3104721966450374,-0.18055037483572933,0.0035627574474925237
hcp FeNiSi Peak 1 Intensity,0.03359282590376435,0.013230543283286938,0.032866579383754396,-0.00018991243797752394,-0.004499612603558223,-1.794460538207946e-06,1.2374741928719945e-05,1.2590746501066674,-0.10027597285068476,0.0019697267507921834
hcp FeNiSi Peak 2 Intensity,0.8508701518420065,0.032866579383754396,0.8243616978395385,-0.01170567762233045,-0.13880315693771098,-6.856673963291761e-06,5.408816962246527e-05,2.6925633941548432,-0.20791689113773745,0.004042286438538432
hcp FeNiSi Peak Width,-0.012213655215532653,-0.0001899124379775239,-0.01170567762233045,0.00023237922303084944,0.002155744617732386,2.255097602836923e-08,-5.341198115893708e-08,0.02079091748855469,-0.0018228660345220526,3.691671723649498e-05
hcp FeNiSi Peak Shape,-0.14482992037499687,-0.004499612603558223,-0.13880315693771098,0.002155744617732386,0.024064863620117557,7.992316948293556e-07,-6.225150566447807e-06,-0.2169160611859195,0.016134550646831555,-0.0003117530047406102
hcp FeNiSi a,-5.641086033967569e-06,-1.794460538207946e-06,-6.856673963291761e-06,2.2550976028369218e-08,7.992316948293556e-07,5.814876181255307e-08,-3.2032364792152097e-07,-0.0006459629795460525,5.041521638812766e-05,-9.748878462452274e-07
hcp FeNiSi c,5.039461191305203e-05,1.2374741928719943e-05,5.4088169622465285e-05,-5.341198115893713e-08,-6.225150566447807e-06,-3.2032364792152097e-07,4.078117515454369e-06,0.005667330586173147,-0.0004489487710437903,8.810785149958682e-06
Background 0,2.3104721966450374,1.2590746501066672,2.6925633941548432,0.020790917488554685,-0.2169160611859195,-0.0006459629795460524,0.005667330586173146,391.4675108776638,-30.931473212007987,0.6049691950477256
Background 1,-0.18055037483572933,-0.10027597285068476,-0.20791689113773745,-0.0018228660345220526,0.016134550646831555,5.041521638812765e-05,-0.0004489487710437903,-30.931473212007987,2.446842443276871,-0.04790557618546695
Background 2,0.0035627574474925245,0.001969726750792183,0.004042286438538432,3.691671723649498e-05,-0.00031175300474061015,-9.748878462452272e-07,8.810785149958682e-06,0.6049691950477257,-0.04790557618546695,0.0009388341120410086
