Emin,Emax,M,N,chi2,AICc,Prob,V_D,dV_D
0.0,0.75,1,3,1.8646219402366393e-05,6.000018646219402,0.0497866041997276,5266.794804080687,5.854303755159148
0.0,1.0,1,4,8.571577489310768e-05,4.000085715774893,0.13532948317656623,5252.026824723842,8.515973571720954
0.0,1.25,1,5,0.0007213323581209232,3.334054665691454,0.18880749407856992,5216.7972269779275,16.421330485174646
0.0,1.5,1,6,0.00394740338321758,3.0039474033832176,0.2226902020896996,5159.438788553367,26.552252733300133
0.0,1.75,1,7,0.007590665462528092,2.807590665462528,0.2456628202273622,5112.122508373257,26.404753968910022
0.0,2.0,1,8,0.008219103673061712,2.674885770339728,0.2625160948358025,5090.986093431121,21.182132599807076
0.0,2.25,1,9,0.007484840448110077,2.578913411876681,0.275420376704535,5083.963495596255,15.848907899897197
0.0,2.5,1,10,0.006867020769388379,2.506867020769388,0.2855227665353275,5088.483860563322,12.551533910827752
0.0,2.75,1,11,0.01022863833505647,2.454673082779501,0.29307212454816056,5103.969492054491,13.193641575902952
0.0,3.0,1,12,0.027725092325761466,2.4277250923257614,0.2970477002530024,5128.845598897805,19.676964523896434
0.0,3.25,1,13,0.07384565174432024,2.437482015380684,0.29560209351097977,5164.179183849727,29.540244726617185
0.0,3.5,1,14,0.09026800795840033,2.4236013412917337,0.2976608074917317,5185.9578984025675,30.29323128564018
0.0,3.75,1,15,0.0870894633397622,2.3947817710320702,0.30198108817172464,5178.240783325772,27.78570358464183
0.0,4.0,1,16,0.10538510043499238,2.391099386149278,0.30253760563937276,5156.674652003145,28.260545106433455
0.0,4.25,1,17,0.09879865887529049,2.3654653255419573,0.3064401956811667,5156.720015431623,25.472719926490953
0.0,4.5,1,18,0.1430732678486015,2.3930732678486013,0.30223916621306357,5179.480333991633,29.199091135177824
0.0,4.75,1,19,0.17522874563097648,2.4105228632780356,0.29961366078317053,5195.272713721668,31.363429342066826
0.0,5.0,1,20,0.18046329674560185,2.4026855189678242,0.30079005193320507,5207.014793350133,30.372142437213466
0.0,5.25,1,21,0.1835573621514605,2.394083677940934,0.3020865120252235,5217.444075810633,29.2557343740535
0.0,5.5,1,22,0.20541580856712477,2.405415808567125,0.3003797101097519,5231.101271022871,29.969912058294852
0.0,5.75,1,23,0.23442405606923716,2.4249002465454277,0.2974675536597939,5245.6820369984,31.079865760047475
0.0,6.0,1,24,0.2442566885845666,2.4260748704027484,0.297292898710628,5256.0740412926425,30.809115847125973
0.0,6.25,1,25,0.234615956946434,2.4085290004246946,0.29991250399580927,5257.816841722756,29.264419167499653
0.0,6.5,1,26,0.22884926745630169,2.3955159341229684,0.30187025683049673,5253.145150133975,27.930923910953034
0.0,6.75,1,27,0.22025004723884228,2.3802500472388424,0.3041832316006934,5252.082486291394,26.52589146056578
0.0,7.0,1,28,0.219363386101613,2.3732095399477666,0.3052559206917422,5257.894359844539,25.749676597771153
0.0,7.25,1,29,0.22025984795887008,2.3684079961070186,0.30598965094174047,5263.616539617367,25.22407720270199
0.0,7.5,1,30,0.21507227229281736,2.35792941514996,0.3075970266837659,5266.848730316093,24.27113721926465
0.0,7.75,1,31,0.20882767770879154,2.34675871219155,0.30931987105860137,5268.691133954717,23.375742254596634
0.0,8.0,1,32,0.20211470299768586,2.335448036331019,0.3110741352608976,5268.993206024183,22.43743003201301
0.0,8.25,1,33,0.19625947460809112,2.325291732672607,0.3126578346796222,5267.761268180371,21.648474974851517
0.0,8.5,1,34,0.19034869767805146,2.3153486976780515,0.3142160888097485,5267.370193149827,20.745102683104015
0.0,8.75,1,35,0.1847626161141076,2.3059747373262285,0.31569227010281237,5267.173335557097,20.018981838831007
0.0,9.0,1,36,0.18172378039245082,2.2993708392159804,0.31673639276704985,5264.487926673957,19.42816439252064
0.0,9.25,1,37,0.1830547451237519,2.297340459409466,0.3170581036261591,5259.507184117562,18.985328969318466
0.0,9.5,1,38,0.18101680917320334,2.2921279202843143,0.31788552027826406,5256.656985014182,18.514046889917807
0.0,9.75,1,39,0.18072324211670196,2.28883135022481,0.31840991828247805,5252.920589303421,18.093110730591825
0.0,10.0,1,40,0.17653181784054567,2.2817949757352824,0.31953211689048605,5251.816384035864,17.529866869397523
0.0,10.25,1,41,0.17619859191942042,2.278762694483523,0.3200169399512753,5254.685523167502,17.257714312348675
0.0,10.5,1,42,0.17985826788119771,2.2798582678811976,0.3198416869331858,5258.342687650538,17.22327302528057
0.0,10.75,1,43,0.19132060440062917,2.2888815800103854,0.3184019215519368,5263.906453391526,17.5097110211504
0.0,11.0,1,44,0.20107726669434542,2.296315361932441,0.3172206530108904,5268.554619583176,17.7514237677621
0.0,11.25,1,45,0.20562421549718587,2.2986474713111393,0.31685097195693934,5272.364420840326,17.74256356893834
0.0,11.5,1,46,0.20729132730080477,2.2982004182098956,0.31692180447794166,5275.808277487409,17.566746732164912
0.0,11.75,1,47,0.20284216649349465,2.2917310553823835,0.317948605340034,5276.1225345035355,17.156637623491513
0.0,12.0,1,48,0.20522384680752015,2.2921803685466506,0.3178771841159886,5272.415292748304,16.995472272804406
0.0,12.25,1,49,0.20954493578784475,2.2946513187665682,0.3174846972707779,5268.010469109947,16.884161331043234
0.0,12.5,1,50,0.20625922097328914,2.2895925543066227,0.3182887538769076,5266.627202455176,16.506817841606395
0.0,12.75,1,51,0.20260644694818464,2.284239100009409,0.31914186729205535,5267.523793063502,16.147889005605318
0.0,13.0,1,52,0.20082880843842624,2.2808288084384265,0.31968651492188294,5269.361253911396,15.887403897737233
0.0,13.25,1,53,0.19698854371593047,2.2754199162649504,0.3205522600189426,5269.560816612342,15.513583418128453
0.0,13.5,1,54,0.19619128806142666,2.2731143649845036,0.32092199792719284,5267.421014944265,15.293518227544329
0.0,13.75,1,55,0.19562588525677335,2.271097583369981,0.32124577593970005,5265.272532291026,15.091940972930287
0.0,14.0,1,56,0.19283682173203437,2.266910895806108,0.3219189581422971,5264.227744558156,14.81669792073926
0.0,14.25,1,57,0.1894994522453032,2.262226724972576,0.3226738034505869,5264.631448114653,14.509976191268246
0.0,14.5,1,58,0.1865497709535658,2.2579783423821373,0.32335995283334196,5265.333297078985,14.246461296844593
0.0,14.75,1,59,0.1834147124748816,2.253590151071373,0.32407021440695805,5265.688301493395,13.951691695023202
0.0,15.0,1,60,0.18115283779511904,2.2501183550364985,0.32463325579948976,5264.676459435281,13.730886265047372
0.0,15.25,1,61,0.1818113028700424,2.249607913039534,0.32471611959701624,5262.411941811378,13.601372919021632
0.0,15.5,1,62,0.18211170220380274,2.2487783688704694,0.32485083071409687,5260.227723718147,13.452206207852758
0.0,15.75,1,63,0.1811025677318918,2.246676338223695,0.3251924333983748,5258.579185614282,13.260543185454361
0.0,16.0,1,64,0.17827805081465894,2.242794179846917,0.32582427068778674,5258.312955085517,13.003777855276173
0.0,16.25,1,65,0.17549506014940316,2.2389871236414667,0.32644507701728465,5258.255490616433,12.766403847932065
0.0,16.5,1,66,0.17279934221005822,2.235299342210058,0.3270475613509183,5258.180766621079,12.527904817791685
0.0,16.75,1,67,0.17018297794222187,2.2317214394806832,0.3276331571771651,5258.135404336718,12.314083973149964
0.0,17.0,1,68,0.16928183341580286,2.2298878940218634,0.3279336600462863,5256.756974445317,12.161599437123774
0.0,17.25,1,69,0.17107085560797014,2.2307723481452837,0.327788670968778,5254.3558745102755,12.086256516700827
0.0,17.5,1,70,0.17473872446007419,2.2335622538718387,0.32733173999633924,5251.718802970676,12.097301093436046
0.0,17.75,1,71,0.1818006773515554,2.2397716918443087,0.32631704291809627,5248.317883685291,12.211320484335538
