E,DOS,dDOS,Velocity,dVelocity
0.24729,0.0019336,0.00350007,5194.862944878264,3134.470678065108
0.49458100000000005,0.00773112,0.0113275,5195.6045007896155,2537.5139520881357
0.7418710000000001,0.017563299999999997,0.0184535,5178.955270712052,1813.8331386023078
0.9891610000000001,0.0315781,0.022638400000000003,5159.503700619939,1232.9758299458597
1.23645,0.050796,0.0240337,5109.751792115706,805.9134348128216
1.48374,0.076724,0.0263551,5029.058968185343,575.8832246514029
1.7310299999999998,0.10723599999999998,0.027632499999999997,4984.804511016483,428.22258833903476
1.97832,0.14023,0.030492599999999998,4982.829036826023,361.2408798510042
2.2256099999999996,0.176145,0.0307361,4995.372433653957,290.644888441518
2.4729,0.21421700000000002,0.033930400000000006,5020.4771595953125,265.1708672954157
2.72019,0.251693,0.0376361,5069.919351426018,252.81373605766495
2.96748,0.283682,0.0452741,5162.656269292022,274.7479862245283
3.21477,0.311791,0.048361699999999994,5276.800597817931,272.93647401343054
3.4620599999999997,0.369503,0.056186599999999996,5238.926925486406,265.6544449099047
3.70935,0.474296,0.07302789999999999,5047.472854407095,259.1605156234718
3.95664,0.571148,0.0778097,4952.905877130685,225.0347791173691
4.203930000000001,0.598164,0.0771632,5078.344555806102,218.49556281892725
4.451230000000001,0.583313,0.08211439999999999,5319.997260253195,249.75790948958812
4.698519999999999,0.632397,0.108247,5368.703130849711,306.42008511982874
4.94581,0.75133,0.101122,5245.335992666315,235.44976624538307
5.1931,0.828714,0.10751300000000001,5244.549257389037,226.93011439699723
5.44039,0.8549209999999999,0.12496900000000001,5353.896414089808,260.98834395195365
5.68768,0.9104629999999999,0.13311199999999998,5400.425001845631,263.30409501786096
5.93497,1.02223,0.147567,5345.496893242055,257.34072108671063
6.182259999999999,1.20203,0.167265,5204.172439680847,241.51080757090386
6.42955,1.37493,0.18048,5108.014556305552,223.62611198887956
6.676839999999999,1.44141,0.186059,5156.362081977176,221.9917024279984
6.92413,1.44525,0.191522,5278.223220572943,233.28174789644535
7.1714199999999995,1.5271,0.21702800000000003,5304.847250590978,251.42436728901768
7.418710000000001,1.69104,0.218908,5244.767489161282,226.44500231891567
7.666,1.82402,0.249335,5227.105690777779,238.2966291425067
7.913289999999999,1.98042,0.256242,5194.505656216497,224.16418719801695
8.16058,2.1496,0.295767,5159.251948158855,236.74393213185292
8.407869999999999,2.25433,0.264845,5180.163078503653,203.00183538658848
8.65516,2.3860099999999997,0.31412199999999996,5182.244717451858,227.54352360602516
8.90245,2.6106599999999998,0.332895,5124.461020394114,217.94231074177756
9.14974,2.81431,0.317587,5089.875128618587,191.6044462785875
9.39703,2.9403900000000003,0.377934,5106.037892419496,218.89074370012028
9.64432,3.12343,0.369963,5091.695447525738,201.1714090020343
9.89161,3.18476,0.386077,5144.908911993139,208.03610379522874
10.1389,3.1147400000000003,0.421555,5269.206633748059,237.84013686494947
10.3862,3.17042,0.458632,5323.012157224277,256.79347298950404
10.6335,3.23462,0.42249899999999996,5371.163071425198,233.98879566578887
10.8808,3.34959,0.488888,5390.990975876928,262.39875138151825
11.1281,3.5833800000000005,0.509214,5350.671987379906,253.57242778164354
11.3754,3.8207699999999996,0.492914,5314.789762932286,228.68454406516528
11.6226,4.24005,0.576625,5207.594247323536,236.19185120572163
11.8699,4.78015,0.60155,5074.299948776382,212.9852965494121
12.1172,5.01737,0.590472,5062.146909709233,198.7188772468113
12.3645,4.9886099999999995,0.611777,5140.63132719472,210.274857277171
12.6118,4.95541,0.626386,5220.556367139545,220.10006869054473
12.8591,5.0240599999999995,0.652561,5264.381814633219,228.05560619972294
13.1064,5.4278900000000005,0.6451600000000001,5196.016678830108,206.00709973135153
13.3537,5.95132,0.7640600000000001,5102.173775047235,218.4752900577851
13.601,6.19426,0.80091,5096.546845364027,219.78580774833372
13.8483,6.26515,0.815156,5138.611146330195,222.9878695271215
14.0955,6.26209,0.763562,5200.428852492323,211.5069610416964
14.3428,6.41984,0.831866,5217.628621183445,225.4917187314743
14.5901,6.71385,0.792439,5199.244461951411,204.6981329698727
14.8374,7.2125,0.963081,5133.755700885038,228.62615201072342
15.0847,7.673710000000001,0.9511850000000001,5084.49620687236,210.2126954933864
15.332,7.900189999999999,0.943641,5090.322504438886,202.80886022501315
15.5793,8.06785,0.960418,5109.0241872959205,202.86857710888177
15.8266,8.0488,0.9315190000000001,5167.018014373516,199.4766366645176
16.0739,8.262080000000001,0.993708,5175.388776936405,207.62550600656047
16.3212,8.52169,0.9879899999999999,5174.694923256709,200.125277554175
16.5684,8.7771,1.0845200000000002,5175.615069238123,213.3052865803731
16.8157,9.40473,1.15297,5108.026324275449,208.87298816087673
17.063,9.88936,1.11675,5072.314053798821,191.07379635469016
17.3103,10.3816,1.27036,5038.952170428959,205.66541810386278
17.5576,10.8708,1.27709,5009.351831580779,196.30158149853378
17.8049,11.2655,1.22912,4996.525852213094,181.86224919916873
18.0522,11.7184,1.34273,4976.8657024051745,190.22784348026423
18.2995,12.1427,1.38419,4963.023491251894,188.7243191452255
18.5468,12.4632,1.34804,4964.338742130273,179.13126233795256
18.7941,13.1187,1.4663700000000002,4923.523617884482,183.58736445983286
19.0414,14.3192,1.5517299999999998,4823.75160491323,174.388461425461
19.2886,15.3111,1.60188,4757.990937747731,166.07664878976132
19.5359,15.2621,1.53391,4803.702697850478,161.08497911490622
19.7832,14.7922,1.65733,4894.917477937649,182.95067511916503
20.0305,15.6319,1.59674,4845.618376637662,165.1398086207091
20.2778,17.392,1.79148,4714.720858518764,162.02867792394258
20.5251,18.4807,1.8464099999999999,4657.747974618382,155.26872788924226
20.7724,18.1166,1.7292299999999998,4726.331249529287,150.5353811171535
21.0197,17.9669,1.8544900000000002,4776.963199246573,164.50348235858405
21.267,18.9801,1.96648,4727.11961891716,163.40168486403388
21.5143,19.8995,2.0893599999999997,4689.1705516913935,164.25772441194223
21.7615,20.3456,1.99134,4690.231955703885,153.17402493232584
22.0088,21.3285,2.08407,4651.961106209647,151.67199790981778
22.2561,21.992,2.11536,4639.128517788578,148.89746842066148
22.5034,22.0767,2.2973,4667.446100705097,162.04229520001437
22.7507,21.9509,2.1238599999999996,4710.543321848018,152.07947997082826
22.998,22.8925,2.3559099999999997,4678.65378435333,160.64254266045594
23.2453,23.9029,2.3029,4644.780291250138,149.3205374431818
23.4926,23.6058,2.29815,4697.207567915193,152.58785531571857
23.7399,24.0927,2.3685099999999997,4698.032708584839,154.10539372907428
23.9872,26.2727,2.65497,4595.96527569713,154.96031674278666
24.2344,28.4798,2.67085,4504.720048833144,140.972767528864
24.4817,29.4398,2.6724099999999997,4485.470791403322,135.88237524007872
24.729,29.8058,2.6652099999999996,4497.067216913221,134.20305605481124
24.9763,31.8454,2.89893,4428.212317337833,134.52514534364227
25.2236,34.9371,2.94735,4321.830197671641,121.69689923960104
25.4709,37.749,2.99192,4239.223496385819,112.16977808840012
25.7182,40.5813,3.5039800000000003,4164.955171466129,120.02902406293039
25.9655,42.2808,3.3957900000000003,4134.680902684057,110.85805486657138
26.2128,43.2535,3.3949,4129.465045376009,108.20757383036697
26.4601,45.3554,3.5992800000000003,4090.1878772098876,108.3610617413981
26.7074,47.206,3.6628199999999995,4061.1336003081233,105.20576669321055
26.9546,47.4595,3.5495099999999997,4078.866378729234,101.86185683822367
27.2019,48.8763,3.7541,4063.7344696360483,104.21277808882427
27.4492,52.6303,3.99605,3988.7160074347285,101.11902126593098
27.6965,55.3559,3.99016,3945.6681735198763,94.97974232611601
27.9438,57.1179,4.25093,3927.879619297541,97.61220639436989
28.1911,59.4727,4.3402,3898.169625484408,94.99860648415076
28.4384,62.7791,4.50054,3850.8536528913837,92.19331576436728
28.6857,66.3715,4.51371,3801.96715527489,86.36615992491554
28.933,70.8808,4.72215,3740.9167599645566,83.25501018241077
29.1803,77.282,5.1227599999999995,3655.32211797402,80.9435018334809
29.4275,81.185,5.14939,3616.059635114912,76.636168714337
29.6748,82.2773,5.3501199999999995,3620.1268907694466,78.64573221232787
29.9221,84.1337,5.33735,3613.2387074961675,76.5896698286725
30.1694,87.2927,5.39755,3588.7544452401416,74.15405176771121
30.4167,92.6064,5.57578,3537.960657739691,71.19502246112116
30.664,98.8104,5.681430000000001,3481.0499514832663,66.91265447927154
30.9113,103.06299999999999,5.9762699999999995,3450.9276715469996,66.8936890691718
31.1586,104.34,6.09365,3455.0973098185036,67.45144383406036
31.4059,103.678,5.95496,3480.731810386831,66.83569836510267
31.6532,102.961,5.850569999999999,3507.0834571561654,66.62614111639837
31.9004,100.662,5.80486,3551.955403778208,68.47457452600761
32.1477,99.0177,5.73873,3589.9433610737433,69.55265244377959
32.395,100.07700000000001,6.00381,3595.5541499320443,72.09395583275435
32.6423,102.743,6.0597900000000005,3582.297835140101,70.62321264224825
32.8896,105.16799999999999,6.21528,3572.479892135615,70.57039084688144
33.1369,104.28200000000001,6.13012,3600.5048842798233,70.74756245877357
33.3842,103.97200000000001,6.24991,3621.9889402049885,72.7679669842936
33.6315,105.96799999999999,6.5336300000000005,3616.8557045634316,74.52287800376752
33.8788,102.573,6.14458,3674.229364103393,73.56464683317459
34.1261,95.4501,5.91897,3781.7334388233553,78.36583994357923
34.3733,90.8381,6.16167,3863.225644303028,87.53230647163234
34.6206,88.3433,5.88551,3917.9340778267992,87.19443683839366
34.8679,88.1393,6.0113900000000005,3939.604266073906,89.75030672612122
35.1152,89.2557,6.1266300000000005,3941.637801532301,90.37098671749938
35.3625,88.6846,6.078880000000001,3968.604678445142,90.86200370737538
35.6098,87.7479,5.8487599999999995,4001.2226262807458,89.09226831131409
35.8571,86.9646,6.14419,4031.7588126454757,95.13352366331961
36.1044,85.0155,6.02851,4080.9942902844386,96.64706347595502
36.3517,82.0482,5.79735,4148.445618604431,97.89547592815805
36.599,79.3794,5.73182,4213.427050155285,101.60180939585689
36.8463,75.3274,5.71437,4306.953671383952,109.09165271841573
37.0935,70.9837,5.40451,4412.69863442964,112.17669245407377
37.3408,70.4552,5.6397,4443.344624605455,118.7366880020798
37.5881,74.1669,6.1658,4387.213912375676,121.74539555551894
37.8354,75.0277,5.877680000000001,4389.5191257317165,114.80530479821546
38.0827,71.3875,5.58066,4482.321808787471,116.98495805785596
38.33,69.2796,5.91746,4546.906522732022,129.62791954337555
38.5773,69.0454,5.86615,4571.600159154413,129.6418893066993
38.8246,69.3746,5.64153,4583.843336545632,124.43366488746418
