rho,vP
8504.8,6988.5
8674.2,7185.2
8832.5,7381.9
9079.1,7691.0
9230.1,7878.4
9370.0,8047.0
9605.6,8346.7
9745.5,8506.0
10054.7,8899.4
10183.6,9039.9
10382.4,9292.8
10584.9,9526.9
10739.5,9733.0
10916.2,9948.5
11096.6,10173.3
11273.3,10388.7
11413.2,10557.3
11586.2,10782.1
11766.6,10997.6
11958.1,11222.4
12149.5,11484.7
12333.6,11690.7
12536.1,11943.6
12727.5,12187.2
12893.2,12383.9
13014.7,12533.7
13132.5,12674.2
13184.0,12739.8
