Phase,V,dV,rho,drho,P,dP,vD,dvD,vP,dvP,vS,dvS
bcc-Fe,23.46,0.03,7.91,0.01,0,,3.50,0.03,5.87,0.09,3.14,0.03
hcp-Fe,19.66,0.07,9.42,0.03,30,2,4.46,0.06,7.38,0.05,4,0.06
,18.47,0.03,10.05,0.01,53,2,4.65,0.04,8,0.03,4.16,0.04
,17.8,0.03,10.43,0.01,69,3,4.88,0.05,8.43,0.04,4.36,0.05
,17.5,0.07,10.59,0.02,77,3,4.99,0.02,8.61,0.02,4.45,0.02
,17.1,0.07,10.85,0.02,90,3,5.18,0.03,8.95,0.02,4.63,0.03
,16.61,0.07,11.16,0.05,106,3,5.26,0.03,9.22,0.03,4.7,0.03
,16.24,0.07,11.42,0.02,121,3,5.41,0.04,9.51,0.03,4.83,0.04
,15.97,0.07,11.61,0.02,133,4,5.45,0.08,9.68,0.05,4.87,0.07
,15.61,0.07,11.9,0.03,151,5,5.61,0.03,9.97,0.03,5.01,0.03
,15.21,0.07,12.19,0.03,171,5,5.74,0.07,10.27,0.04,5.12,0.06
bcc-FeNi,23.73,0.02,7.85,0.01,0,,3.3,0.02,5.51,0.04,2.95,0.02
,23.38,0.03,7.97,0.01,1.7,0.1,3.31,0.02,5.61,0.03,2.96,0.02
,23.08,0.03,8.07,0.01,3.8,0.1,3.34,0.02,5.74,0.02,2.98,0.02
,22.98,0.03,8.11,0.01,4.5,0.1,3.42,0.02,5.83,0.02,3.06,0.02
,22.54,0.02,8.26,0.01,8.1,0.1,3.49,0.01,6.06,0.02,3.12,0.01
hcp-FeNi,20.59,0.02,9.05,0.01,18,0.1,3.88,0.05,6.64,0.04,3.46,0.05
,20.21,0.03,9.22,0.01,22.8,0.2,3.97,0.03,6.85,0.03,3.55,0.03
,19.09,0.06,9.76,0.03,41,1,4.28,0.01,7.5,0.01,3.82,0.01
,18.72,0.04,9.95,0.02,48,1,4.4,0.04,7.74,0.02,3.92,0.03
,18.07,0.04,10.31,0.02,63,1,4.56,0.03,8.14,0.02,4.06,0.02
,17.6,0.02,10.58,0.01,75,1,4.64,0.02,8.41,0.01,4.13,0.02
,17.33,0.03,10.75,0.02,83,1,4.71,0.04,8.59,0.03,4.2,0.03
,16.72,0.04,11.14,0.03,104,3,5.02,0.04,9.09,0.03,4.47,0.03
bcc-FeNiSi,23.38,0.03,7.58,0.01,0,,3.23,0.01,5.63,0.09,2.89,0.01
,22.53,0.03,7.87,0.01,6.5,0.1,3.26,0.03,5.96,0.03,2.9,0.03
,22.46,0.02,7.89,0.01,7.1,0.1,3.28,0.03,6,0.03,2.92,0.03
hcp-FeNiSi,19.9,0.03,8.9,0.02,27.9,0.3,4,0.05,7,0.03,3.57,0.04
,19.31,0.05,9.18,0.02,37.1,0.6,4.19,0.04,7.38,0.03,3.73,0.03
,19.09,0.06,9.28,0.03,41,1,4.34,0.05,7.59,0.04,3.87,0.05
,18.4,0.05,9.63,0.02,55,1,4.41,0.04,7.98,0.03,3.93,0.04
,17.83,0.04,9.94,0.02,69,1,4.58,0.06,8.4,0.04,4.08,0.05
,17.26,0.06,10.27,0.04,86,3,4.72,0.04,8.81,0.03,4.2,0.04
