,extrapeak Peak 0 Intensity,hcp FeNiSi Peak 0 Intensity,hcp FeNiSi Peak 1 Intensity,hcp FeNiSi Peak 2 Intensity,extrapeak Peak Width,hcp FeNiSi Peak Width,extrapeak Peak Shape,hcp FeNiSi Peak Shape,extrapeak a,hcp FeNiSi a,hcp FeNiSi c,Background 0,Background 1,Background 2
extrapeak Peak 0 Intensity,3.5273709045551964,0.11808295347879931,-0.0032345791906244143,0.15716308039110372,-0.005793082332950725,-0.0004823771681150467,-0.00926199602506096,-0.0009923144392216634,2.9715602663255915e-05,0.000158187604705433,-0.0008681489168175436,6.871694470858232,-0.513989373492694,0.009610805760383706
hcp FeNiSi Peak 0 Intensity,0.11808295347879931,0.3088333983665113,-0.01153911167123038,0.4614986528002591,-7.394030980842436e-05,-0.0015848188222200726,-0.00014479064280675737,-0.0031646602018889024,3.929108484902237e-05,1.4895305656407232e-05,-6.200780309566024e-05,-2.506759443326918,0.1755543957425205,-0.0030087295292971702
hcp FeNiSi Peak 1 Intensity,-0.00323457919062442,-0.01153911167123038,0.12277872466000632,-0.04995962096342471,-3.92876413002016e-05,0.0005193597744280586,-2.3663597998466304e-05,0.0005138851039510879,-2.9181640283782644e-06,-1.733950498558494e-05,0.00013890824384371763,5.572327995229824,-0.43278331153749444,0.00832115941983689
hcp FeNiSi Peak 2 Intensity,0.15716308039110366,0.4614986528002591,-0.04995962096342471,1.2090833145131323,-0.0001912584098356392,-0.003881419936463597,-0.00018559187198419783,-0.007655068486862198,2.0792666997213683e-05,-2.88237972508152e-06,3.2685636844601566e-05,-1.0998227058264756,0.0791126471276691,-0.0013147556270297414
extrapeak Peak Width,-0.005793082332950725,-7.394030980842436e-05,-3.92876413002016e-05,-0.00019125840983563914,1.8402549222036073e-05,-1.1670144999117712e-06,1.5791479784226574e-05,8.400383799086619e-07,-1.175448160467589e-07,-1.0468104067334174e-06,5.813238751457019e-06,-0.04547406312853595,0.0033771431952359884,-6.253223925699721e-05
hcp FeNiSi Peak Width,-0.0004823771681150467,-0.0015848188222200728,0.0005193597744280586,-0.003881419936463597,-1.167014499911771e-06,2.0326868777120297e-05,-3.6035067308975947e-07,2.6596748879277788e-05,5.14180276929194e-09,1.640786524720455e-07,-9.841881438270573e-07,0.024112455319567457,-0.001776049212631303,3.1814024562753806e-05
extrapeak Peak Shape,-0.009261996025060958,-0.00014479064280675731,-2.366359799846632e-05,-0.00018559187198419783,1.5791479784226574e-05,-3.6035067308975947e-07,2.740635864401089e-05,9.166781168787429e-07,-8.758595929514775e-08,-6.818760580027767e-07,3.769974029040414e-06,-0.032813342323431395,0.00244060004680557,-4.5281987558858e-05
hcp FeNiSi Peak Shape,-0.0009923144392216632,-0.0031646602018889024,0.0005138851039510879,-0.0076550684868621965,8.400383799086619e-07,2.6596748879277788e-05,9.166781168787429e-07,5.259745105785782e-05,-1.6953278361319682e-07,-2.5623566132361894e-08,1.894021103152231e-08,0.019941111181292638,-0.0014556171871180827,2.5555525668898725e-05
extrapeak a,2.971560266325592e-05,3.929108484902237e-05,-2.9181640283782644e-06,2.0792666997213683e-05,-1.1754481604675895e-07,5.141802769291946e-09,-8.758595929514774e-08,-1.6953278361319684e-07,1.1735086543810326e-07,6.041750690320815e-08,-3.477584430765146e-07,-0.00148881506729197,0.00011309311779242879,-2.142103300133396e-06
hcp FeNiSi a,0.00015818760470543298,1.4895305656407232e-05,-1.733950498558494e-05,-2.88237972508152e-06,-1.0468104067334174e-06,1.640786524720455e-07,-6.818760580027767e-07,-2.5623566132361884e-08,6.041750690320815e-08,3.7531874825344847e-07,-2.1369288565238127e-06,-0.00031875313806706745,3.5258921036914454e-05,-8.650876182074827e-07
hcp FeNiSi c,-0.0008681489168175436,-6.200780309566021e-05,0.0001389082438437176,3.268563684460153e-05,5.813238751457021e-06,-9.841881438270577e-07,3.769974029040414e-06,1.8940211031522424e-08,-3.477584430765146e-07,-2.1369288565238127e-06,1.3701300642211057e-05,0.009755578661737128,-0.0008257070986235168,1.7166135650192916e-05
Background 0,6.871694470858232,-2.506759443326918,5.572327995229825,-1.0998227058264756,-0.045474063128535955,0.024112455319567457,-0.032813342323431395,0.01994111118129264,-0.00148881506729197,-0.00031875313806706745,0.00975557866173713,1139.944892959168,-87.73066522674591,1.6804725136345686
Background 1,-0.513989373492694,0.1755543957425205,-0.43278331153749444,0.0791126471276691,0.0033771431952359884,-0.001776049212631303,0.0024406000468055705,-0.001455617187118083,0.00011309311779242879,3.525892103691446e-05,-0.0008257070986235168,-87.73066522674591,6.75867502774064,-0.12959217031758302
Background 2,0.009610805760383706,-0.0030087295292971702,0.008321159419836893,-0.0013147556270297416,-6.253223925699721e-05,3.1814024562753806e-05,-4.5281987558858e-05,2.5555525668898725e-05,-2.142103300133396e-06,-8.650876182074827e-07,1.7166135650192916e-05,1.6804725136345686,-0.12959217031758302,0.002487352818373185
