# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 7.900e-05, 7.900e-05 m
# PONI: 1.411e-01, 1.028e-01 m
# Distance Sample to Detector: 0.252389920345 m
# Rotations: 0.001947 0.002954 0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 252.392 mm
# Center: x=1295.273, y=1795.185 pix
# Tilt: 0.203 deg  TiltPlanRot: 123.397 deg
# 
# Wavelength: 8.603e-11
# Polarization factor: 0.99
# Normalization factor: None
#
# 2th_deg	 I
4.994534203E+00  5.110745605E+03
5.004713334E+00  5.105194824E+03
5.014892465E+00  5.102694336E+03
5.025071595E+00  5.099889648E+03
5.035250726E+00  5.094246094E+03
5.045429857E+00  5.091502441E+03
5.055608987E+00  5.094401855E+03
5.065788118E+00  5.097976074E+03
5.075967248E+00  5.099064941E+03
5.086146379E+00  5.093135254E+03
5.096325510E+00  5.086636719E+03
5.106504640E+00  5.093587891E+03
5.116683771E+00  5.102104492E+03
5.126862901E+00  5.107902344E+03
5.137042032E+00  5.107673340E+03
5.147221163E+00  5.101980957E+03
5.157400293E+00  5.090524414E+03
5.167579424E+00  5.083378906E+03
5.177758555E+00  5.083479492E+03
5.187937685E+00  5.086846191E+03
5.198116816E+00  5.085228516E+03
5.208295946E+00  5.082862305E+03
5.218475077E+00  5.083045898E+03
5.228654208E+00  5.082171875E+03
5.238833338E+00  5.075000000E+03
5.249012469E+00  5.067955566E+03
5.259191600E+00  5.058080078E+03
5.269370730E+00  5.052181152E+03
5.279549861E+00  5.056126465E+03
5.289728991E+00  5.060558105E+03
5.299908122E+00  5.056692383E+03
5.310087253E+00  5.046667969E+03
5.320266383E+00  5.042871582E+03
5.330445514E+00  5.045210449E+03
5.340624644E+00  5.045907227E+03
5.350803775E+00  5.038489746E+03
5.360982906E+00  5.030952637E+03
5.371162036E+00  5.025098633E+03
5.381341167E+00  5.018727051E+03
5.391520298E+00  5.016310547E+03
5.401699428E+00  5.017103027E+03
5.411878559E+00  5.015292969E+03
5.422057689E+00  5.014409180E+03
5.432236820E+00  5.003488770E+03
5.442415951E+00  4.993854980E+03
5.452595081E+00  4.982986328E+03
5.462774212E+00  4.976060547E+03
5.472953343E+00  4.968702637E+03
5.483132473E+00  4.963823242E+03
5.493311604E+00  4.960368164E+03
5.503490734E+00  4.961390625E+03
5.513669865E+00  4.964288086E+03
5.523848996E+00  4.969035156E+03
5.534028126E+00  4.971014160E+03
5.544207257E+00  4.968074219E+03
5.554386387E+00  4.967084473E+03
5.564565518E+00  4.959477051E+03
5.574744649E+00  4.951550781E+03
5.584923779E+00  4.944601562E+03
5.595102910E+00  4.942384277E+03
5.605282041E+00  4.948134766E+03
5.615461171E+00  4.952991699E+03
5.625640302E+00  4.943221680E+03
5.635819432E+00  4.928045898E+03
5.645998563E+00  4.920898438E+03
5.656177694E+00  4.921418457E+03
5.666356824E+00  4.923197754E+03
5.676535955E+00  4.920301270E+03
5.686715086E+00  4.912223633E+03
5.696894216E+00  4.906648926E+03
5.707073347E+00  4.901521484E+03
5.717252477E+00  4.894750977E+03
5.727431608E+00  4.888351074E+03
5.737610739E+00  4.880000488E+03
5.747789869E+00  4.878859863E+03
5.757969000E+00  4.879339844E+03
5.768148130E+00  4.879801758E+03
5.778327261E+00  4.880243164E+03
5.788506392E+00  4.880201660E+03
5.798685522E+00  4.878925293E+03
5.808864653E+00  4.882509766E+03
5.819043784E+00  4.882564453E+03
5.829222914E+00  4.881322754E+03
5.839402045E+00  4.885461426E+03
5.849581175E+00  4.887886230E+03
5.859760306E+00  4.884949707E+03
5.869939437E+00  4.880702148E+03
5.880118567E+00  4.870108887E+03
5.890297698E+00  4.857946777E+03
5.900476829E+00  4.846266113E+03
5.910655959E+00  4.836649414E+03
5.920835090E+00  4.831608887E+03
5.931014220E+00  4.831928711E+03
5.941193351E+00  4.826531738E+03
5.951372482E+00  4.818132812E+03
5.961551612E+00  4.817979980E+03
5.971730743E+00  4.817724609E+03
5.981909873E+00  4.816636230E+03
5.992089004E+00  4.810946777E+03
6.002268135E+00  4.807436523E+03
6.012447265E+00  4.806743652E+03
6.022626396E+00  4.804478516E+03
6.032805527E+00  4.804271973E+03
6.042984657E+00  4.802031738E+03
6.053163788E+00  4.799923340E+03
6.063342918E+00  4.801065430E+03
6.073522049E+00  4.794976074E+03
6.083701180E+00  4.785213867E+03
6.093880310E+00  4.778635254E+03
6.104059441E+00  4.777099609E+03
6.114238572E+00  4.773424805E+03
6.124417702E+00  4.771753418E+03
6.134596833E+00  4.766104004E+03
6.144775963E+00  4.759881836E+03
6.154955094E+00  4.755086426E+03
6.165134225E+00  4.754079102E+03
6.175313355E+00  4.752422852E+03
6.185492486E+00  4.748195801E+03
6.195671616E+00  4.739172852E+03
6.205850747E+00  4.731129395E+03
6.216029878E+00  4.723289551E+03
6.226209008E+00  4.717077148E+03
6.236388139E+00  4.714139160E+03
6.246567270E+00  4.720812500E+03
6.256746400E+00  4.726972168E+03
6.266925531E+00  4.726956543E+03
6.277104661E+00  4.717633789E+03
6.287283792E+00  4.707836914E+03
6.297462923E+00  4.701454102E+03
6.307642053E+00  4.697485352E+03
6.317821184E+00  4.699943359E+03
6.328000315E+00  4.701382324E+03
6.338179445E+00  4.700403809E+03
6.348358576E+00  4.696838867E+03
6.358537706E+00  4.693110840E+03
6.368716837E+00  4.688600586E+03
6.378895968E+00  4.682529297E+03
6.389075098E+00  4.678096191E+03
6.399254229E+00  4.677023926E+03
6.409433359E+00  4.674937988E+03
6.419612490E+00  4.671114746E+03
6.429791621E+00  4.661685547E+03
6.439970751E+00  4.657458008E+03
6.450149882E+00  4.658818359E+03
6.460329013E+00  4.656842285E+03
6.470508143E+00  4.655856445E+03
6.480687274E+00  4.650596191E+03
6.490866404E+00  4.644991211E+03
6.501045535E+00  4.638666992E+03
6.511224666E+00  4.630312988E+03
6.521403796E+00  4.629568359E+03
6.531582927E+00  4.631285645E+03
6.541762058E+00  4.635456055E+03
6.551941188E+00  4.638200195E+03
6.562120319E+00  4.638767090E+03
6.572299449E+00  4.635251953E+03
6.582478580E+00  4.631319824E+03
6.592657711E+00  4.624686035E+03
6.602836841E+00  4.612928711E+03
6.613015972E+00  4.600200195E+03
6.623195102E+00  4.592779785E+03
6.633374233E+00  4.589589844E+03
6.643553364E+00  4.585807617E+03
6.653732494E+00  4.584634766E+03
6.663911625E+00  4.587537598E+03
6.674090756E+00  4.585896973E+03
6.684269886E+00  4.580483887E+03
6.694449017E+00  4.575135742E+03
6.704628147E+00  4.568317383E+03
6.714807278E+00  4.561494141E+03
6.724986409E+00  4.560769531E+03
