Parameters,Values,Std
extrapeak Peak 0 Intensity,29.58205268057843,1.8781296293267928
hcp FeNiSi Peak 0 Intensity,16.9863173868472,0.5557278096033267
hcp FeNiSi Peak 1 Intensity,5.784289052277497e-14,0.35039795184904593
hcp FeNiSi Peak 2 Intensity,41.57366474184873,1.099583245831407
extrapeak Peak Width,0.1126900085355663,0.004289819252839923
hcp FeNiSi Peak Width,0.25995075908119564,0.004508532885221122
extrapeak Peak Shape,1.6020708076100468e-20,0.00523510827433501
hcp FeNiSi Peak Shape,0.04646656340105202,0.007252410017218954
extrapeak a,2.9800868511851695,0.00034256512583464075
hcp FeNiSi a,2.384651355978912,0.0006126326372741241
hcp FeNiSi c,3.8552892721350007,0.003701526798796823
Background 0,3211.8416595944377,33.76306995756115
Background 1,-113.4181040965245,2.599745185155776
Background 2,1.2837545515216606,0.0498733678266586
