Index,a,da,c,dc,V,dV,rho,drho,P,dP,KT,dKT,KTprime,dKTprime,KS,dKS
FeNi_DAC11_P14,2.29882,0.00103,3.65436,0.00896,16.724,0.044,11.339,0.03,104.1,2.66,620.1,2.9,3.94,0.05,622.6,3
FeNi_DAC11_P3,2.45382,0.00084,3.94803,0.00219,20.587,0.018,9.211,0.008,17.96,0.06,251,2.4,4.88,0.07,254.4,2.6
FeNi_DAC11_P4,2.43844,0.00114,3.92492,0.00446,20.211,0.03,9.383,0.014,22.79,0.17,274.1,2.1,4.77,0.07,277.5,2.3
FeNi_DAC11_P5,2.39868,0.00191,3.83085,0.01015,19.088,0.059,9.934,0.031,40.74,1.23,356.5,1.2,4.46,0.06,359.6,1.3
FeNi_DAC11_P6,2.38894,0.00114,3.78846,0.00655,18.724,0.037,10.128,0.02,47.92,0.6,388.3,1,4.37,0.06,391.3,1.1
FeNi_DAC11_P7,2.35904,0.00104,3.74846,0.00641,18.066,0.035,10.497,0.02,62.96,0.78,453.1,1,4.22,0.06,455.9,1.1
FeNi_DAC11_P8,2.34146,0.00068,3.70775,0.00417,17.604,0.022,10.772,0.014,75.34,0.43,504.3,1.5,4.12,0.05,507,1.5
FeNi_DAC11_P9,2.32995,0.00085,3.68658,0.00534,17.332,0.028,10.941,0.018,83.46,0.78,537.8,1.9,4.06,0.05,540.5,1.9
