Index,a,da,V,dV,rho,drho,P,dP,KT,dKT,KTprime,dKTprime
FeNi_Ambient,2.87368,0.00089,23.731,0.022,7.991,0.007,0.0,0.0,146.7,3.1,6.42,0.6
FeNi_DAC11_P1,2.84707,0.00127,23.078,0.031,8.217,0.011,3.78,0.05,170.5,1.2,6.13,0.55
FeNi_DAC11_P2,2.82487,0.00085,22.542,0.02,8.412,0.008,8.08,0.03,196.3,1.7,5.88,0.51
FeNi_DAC14_P1,2.85925,0.00117,23.375,0.029,8.113,0.01,1.68,0.04,157.5,2.1,6.28,0.57
FeNi_DAC14_P2,2.843,0.00118,22.979,0.029,8.252,0.01,4.52,0.05,174.8,1.0,6.08,0.54
