Index,a,da,c,dc,V,dV,rho,drho,P,dP,KT,dKT,KTprime,dKTprime,KS,dKS
Fe_Murphy_P1,2.424,0.002,3.854,0.001,19.66,0.07,9.61,0.03,30,2,308.5,2.5,4.49,0.05,311.8,2.6
Fe_Murphy_P2,2.404,0.001,3.784,0.002,19.3,0.03,9.8,0.01,36,2,335.1,2.2,4.39,0.05,338.3,2.4
Fe_Murphy_P3,2.373,0.002,3.739,0.001,18.47,0.03,10.25,0.01,53,2,408,1.5,4.19,0.05,410.9,1.6
Fe_Murphy_P4,2.344,0.001,3.709,0.001,17.8,0.03,10.63,0.01,69,3,473.8,1.1,4.04,0.05,476.6,1.1
Fe_Murphy_P5,2.335,0.001,3.686,0.001,17.5,0.07,10.8,0.02,77,3,505.9,1.1,3.98,0.05,508.6,1.1
Fe_Murphy_P6,2.314,0.001,3.639,0.001,17.1,0.07,11.06,0.02,90,3,557.1,1.2,3.9,0.05,559.7,1.2
Fe_Murphy_P7,2.296,0.001,3.643,0.001,16.61,0.07,11.38,0.05,106,3,618.7,1.7,3.81,0.04,621.2,1.7
Fe_Murphy_P8,2.269,0.001,3.605,0.001,16.24,0.07,11.64,0.02,121,3,675.4,2.3,3.74,0.04,677.8,2.3
Fe_Murphy_P9,2.262,0.001,3.577,0.002,15.97,0.07,11.84,0.02,133,4,720,2.7,3.69,0.04,722.3,2.8
Fe_Murphy_P10,2.244,0.001,3.547,0.002,15.61,0.07,12.13,0.03,151,5,785.8,3.5,3.63,0.04,788.1,3.7
Fe_Murphy_P11,2.225,0.001,3.866,0.002,15.21,0.07,12.43,0.03,171,5,857.7,4.3,3.56,0.04,859.9,4.6
