,extrapeak Peak 0 Intensity,hcp FeNiSi Peak 0 Intensity,hcp FeNiSi Peak 1 Intensity,hcp FeNiSi Peak 2 Intensity,extrapeak Peak Width,hcp FeNiSi Peak Width,extrapeak Peak Shape,hcp FeNiSi Peak Shape,extrapeak a,hcp FeNiSi a,hcp FeNiSi c,Background 0,Background 1,Background 2
extrapeak Peak 0 Intensity,10.259360104257834,0.08411460598896262,0.06113305562456734,0.23683986224684153,-0.03989078055210232,0.001958781835661234,-0.43442401886616355,-0.013219532314787574,-2.0825342406949116e-05,0.0005383324890925348,-0.0027925106977271246,54.00633506024036,-3.985250702601563,0.073257992857456
hcp FeNiSi Peak 0 Intensity,0.08411460598896264,0.2411310442052809,0.04004432787204666,0.5003125997011553,-0.0005426939990636274,-0.010203328099578907,-0.004116397164869186,-0.06094893453049798,8.682312480872711e-06,4.919218083292142e-06,-0.00010710876202856287,-1.0991306890763035,0.10253545707850209,-0.0023306724092386918
hcp FeNiSi Peak 1 Intensity,0.06113305562456736,0.04004432787204666,0.022521931308993423,0.08575477815067907,-0.00033349331758547677,-0.0011152756202428941,-0.002822003430280084,-0.00886251058568038,4.0058095421102844e-07,-5.9038660669965375e-06,2.6431695317347696e-05,2.0569560923222125,-0.15334725163177734,0.0028195466865404677
hcp FeNiSi Peak 2 Intensity,0.23683986224684153,0.5003125997011553,0.08575477815067907,1.1289803520835853,-0.0017661950590753968,-0.02236473518664995,-0.012200486941905847,-0.13493439671757873,1.545499041071092e-05,1.3592330195999078e-05,-0.00030186827743516306,-1.5719597225406476,0.18172572764243305,-0.0046806937122497805
extrapeak Peak Width,-0.03989078055210232,-0.0005426939990636275,-0.00033349331758547677,-0.0017661950590753968,0.0001710032494491993,5.233287710203163e-06,0.0017170619662388077,0.0001428554045475502,1.1046633753917559e-07,-2.313194519666323e-06,1.1979631769130237e-05,-0.26644069971829426,0.019632684275897122,-0.0003603538960100113
hcp FeNiSi Peak Width,0.001958781835661234,-0.010203328099578907,-0.0011152756202428941,-0.02236473518664995,5.233287710203158e-06,0.0006626282783594998,-4.786997167856962e-05,0.0031213071506119576,-2.8278081246648055e-07,-2.0903872006786284e-07,3.2933590114025212e-06,0.06913345103244528,-0.005934742117342767,0.0001223740169791047
extrapeak Peak Shape,-0.43442401886616355,-0.004116397164869184,-0.0028220034302800837,-0.012200486941905847,0.001717061966238808,-4.786997167856962e-05,0.018467582746531413,0.0007991056781909187,9.551307726005406e-07,-2.3224658573332516e-05,0.00012042144518805713,-2.4222116382417265,0.1786611306561487,-0.003282720323136774
hcp FeNiSi Peak Shape,-0.013219532314787574,-0.06094893453049799,-0.008862510585680381,-0.13493439671757873,0.00014285540454755024,0.0031213071506119576,0.0007991056781909185,0.017148130175744538,-1.8551626427061562e-06,-1.6500014935975422e-06,3.040911655065863e-05,0.2780635438237259,-0.027138215160934797,0.0006257137787887269
extrapeak a,-2.0825342406949116e-05,8.682312480872711e-06,4.0058095421102844e-07,1.545499041071092e-05,1.1046633753917564e-07,-2.8278081246648055e-07,9.551307726005406e-07,-1.8551626427061562e-06,2.1201995068551768e-08,4.156903143949476e-09,-3.137858266550043e-08,-0.0007053544200876059,5.3974865700851386e-05,-1.0310350477066899e-06
hcp FeNiSi a,0.0005383324890925348,4.91921808329214e-06,-5.903866066996537e-06,1.3592330195999078e-05,-2.313194519666323e-06,-2.0903872006786284e-07,-2.3224658573332516e-05,-1.650001493597543e-06,4.156903143949476e-09,3.109585336880143e-07,-1.741884199756526e-06,-5.763949201037836e-05,1.5378437844094976e-05,-4.787266076859325e-07
hcp FeNiSi c,-0.002792510697727124,-0.00010710876202856288,2.6431695317347693e-05,-0.000301868277435163,1.1979631769130237e-05,3.2933590114025212e-06,0.0001204214451880571,3.040911655065863e-05,-3.137858266550043e-08,-1.741884199756526e-06,1.2139184947372899e-05,0.01421471647448691,-0.001187428030601717,2.4457773810518408e-05
Background 0,54.00633506024036,-1.0991306890763037,2.0569560923222125,-1.571959722540648,-0.26644069971829426,0.06913345103244528,-2.4222116382417265,0.2780635438237259,-0.0007053544200876059,-5.763949201037836e-05,0.01421471647448691,1331.9361360857624,-101.65337688453967,1.932925560982124
Background 1,-3.985250702601563,0.10253545707850209,-0.15334725163177734,0.18172572764243305,0.019632684275897122,-0.005934742117342767,0.1786611306561487,-0.027138215160934797,5.3974865700851386e-05,1.5378437844094976e-05,-0.001187428030601717,-101.65337688453964,7.771272234824969,-0.14802489264623997
Background 2,0.07325799285745598,-0.0023306724092386918,0.002819546686540467,-0.0046806937122497805,-0.0003603538960100113,0.0001223740169791047,-0.003282720323136774,0.0006257137787887269,-1.0310350477066899e-06,-4.787266076859325e-07,2.4457773810518408e-05,1.932925560982124,-0.14802489264623997,0.002824613504143403
