Parameters,Values,Std
extrapeak Peak 0 Intensity,11.404422578683958,3.2030235878397515
hcp FeNiSi Peak 0 Intensity,6.0986540378024445,0.49105095886810046
hcp FeNiSi Peak 1 Intensity,7.393605149180104e-12,0.1500730865578283
hcp FeNiSi Peak 2 Intensity,12.550456304708963,1.0625348709965172
extrapeak Peak Width,0.15527989076642737,0.013076821075827232
hcp FeNiSi Peak Width,0.5097652166236327,0.025741567130994566
extrapeak Peak Shape,0.3059881072708768,0.13589548464364595
hcp FeNiSi Peak Shape,0.7550092493790094,0.13095086932030858
extrapeak a,2.985300870230958,0.00014560904871796865
hcp FeNiSi a,2.3633191904223416,0.0005576365605732952
hcp FeNiSi c,3.793921359861913,0.0034841333136625095
Background 0,3107.780460468194,36.49570024106624
Background 1,-108.6663733738026,2.7877001694631667
Background 2,1.2657652070806822,0.05314709309212878
