Parameters,Values,Std
bcc FeNi Peak 0 Intensity,25.89347131545301,0.5934722329496926
extrapeak Peak 0 Intensity,0.684573063645891,0.5604739519063818
bcc FeNi Peak Width,0.08466530203296602,0.0008933458460223869
extrapeak Peak Width,0.18226148078714705,0.019924998274295273
bcc FeNi Peak Shape,0.01708259247547407,0.001828213348598632
extrapeak Peak Shape,0.9999999999999991,0.9993462117893994
bcc FeNi a,2.8220028809049125,4.966961030490282e-05
extrapeak a,2.986683756657192,0.0002796516401212415
Background 0,13.941188198429822,29.086632945526418
Background 1,7.297669709854746,2.368531077640163
Background 2,-0.009934557464512477,0.04816822109663031
