,bcc FeNi Peak 0 Intensity,extrapeak Peak 0 Intensity,bcc FeNi Peak Width,extrapeak Peak Width,bcc FeNi Peak Shape,extrapeak Peak Shape,bcc FeNi a,extrapeak a,Background 0,Background 1,Background 2
bcc FeNi Peak 0 Intensity,0.3522092912822943,0.007262221709143425,-0.0004273267314854816,-0.0003923718017675596,-0.0010603522765728574,-0.014028721388804894,-1.5391040086873817e-07,4.180974476022514e-06,-2.578009194371128,0.2095936593559371,-0.004245542470049967
extrapeak Peak 0 Intensity,0.007262221709143425,0.31413105076555725,-2.804782066692537e-05,-0.010025500964873195,-3.2978704781962054e-05,-0.5594577028873452,1.2059370295488902e-07,3.0349456964471115e-06,-2.850791358295369,0.23496306947859594,-0.004823066027931586
bcc FeNi Peak Width,-0.0004273267314854816,-2.804782066692537e-05,7.980668006054543e-07,1.3073505105100174e-06,1.290020858552969e-06,5.270591007868484e-05,3.4081401930882644e-10,-1.2559192871162438e-08,0.00749121120727055,-0.0006093702740003577,1.2353934665315017e-05
extrapeak Peak Width,-0.0003923718017675596,-0.010025500964873197,1.3073505105100174e-06,0.0003970055562306697,1.659032453590966e-06,0.01821965079109283,3.008530680894787e-09,4.1828282406071644e-08,0.045935843842361705,-0.004040411663853548,8.757403228518251e-05
bcc FeNi Peak Shape,-0.0010603522765728574,-3.2978704781962054e-05,1.2900208585529687e-06,1.659032453590966e-06,3.342364047994223e-06,6.28382331162154e-05,5.124077957706177e-10,-1.6895203650501552e-08,0.010296987805603241,-0.0008373391082690058,1.696714570013804e-05
extrapeak Peak Shape,-0.014028721388804897,-0.5594577028873452,5.270591007868484e-05,0.018219650791092827,6.28382331162154e-05,0.9986928510178231,-1.6684297079445592e-07,-4.474931627004696e-06,4.771844495867191,-0.3949948289743593,0.008139010195723852
bcc FeNi a,-1.5391040086873817e-07,1.2059370295488902e-07,3.4081401930882644e-10,3.008530680894789e-09,5.124077957706177e-10,-1.6684297079445584e-07,2.4670701878409085e-09,-3.2602482183185106e-11,4.646825932695467e-05,-3.888795684230002e-06,8.116123319704122e-08
extrapeak a,4.180974476022514e-06,3.0349456964471115e-06,-1.2559192871162438e-08,4.182828240607166e-08,-1.6895203650501552e-08,-4.474931627004695e-06,-3.2602482183185106e-11,7.820503982250039e-08,-0.0013691854836461721,0.00011074001250954352,-2.2362734820563504e-06
Background 0,-2.578009194371128,-2.8507913582953686,0.007491211207270549,0.045935843842361705,0.010296987805603241,4.77184449586719,4.646825932695466e-05,-0.001369185483646172,846.0322161077829,-68.88027017655584,1.4000756414263495
Background 1,0.2095936593559371,0.23496306947859594,-0.0006093702740003578,-0.004040411663853548,-0.0008373391082690058,-0.39499482897435934,-3.888795684230002e-06,0.00011074001250954352,-68.88027017655585,5.609939465747272,-0.11406854518595846
Background 2,-0.0042455424700499666,-0.004823066027931586,1.2353934665315015e-05,8.757403228518251e-05,1.696714570013804e-05,0.008139010195723852,8.116123319704122e-08,-2.23627348205635e-06,1.4000756414263495,-0.11406854518595846,0.0023201775236138616
