PHOENIX module phox; 01/23/18 at 16:23:51 -08:00
energy (meV),data without elastic peak,error of data without elastic peak
-4.01805E+01, 1.98445E+01, 5.30007E+00
-3.99327E+01, 2.76946E+01, 5.99949E+00
-3.96850E+01, 2.93593E+01, 4.86992E+00
-3.94373E+01, 1.69896E+01, 4.63557E+00
-3.91896E+01, 2.21821E+01, 5.11031E+00
-3.89419E+01, 1.88036E+01, 5.07813E+00
-3.86942E+01, 2.84469E+01, 5.78097E+00
-3.84464E+01, 2.75772E+01, 5.35738E+00
-3.81987E+01, 2.92097E+01, 5.55850E+00
-3.79510E+01, 2.59811E+01, 5.54646E+00
-3.77033E+01, 2.31361E+01, 4.99396E+00
-3.74556E+01, 2.60217E+01, 5.93062E+00
-3.72079E+01, 3.28281E+01, 6.29827E+00
-3.69601E+01, 3.65153E+01, 6.32666E+00
-3.67124E+01, 3.55030E+01, 6.33262E+00
-3.64647E+01, 4.03208E+01, 6.67221E+00
-3.62170E+01, 4.00393E+01, 6.02213E+00
-3.59693E+01, 2.72161E+01, 5.50947E+00
-3.57216E+01, 3.38315E+01, 7.03178E+00
-3.54739E+01, 4.46738E+01, 6.74941E+00
-3.52261E+01, 4.78446E+01, 7.06680E+00
-3.49784E+01, 3.95958E+01, 6.18564E+00
-3.47307E+01, 5.04337E+01, 8.29861E+00
-3.44830E+01, 4.89553E+01, 5.93583E+00
-3.42353E+01, 3.37309E+01, 6.60271E+00
-3.39876E+01, 4.87524E+01, 7.61654E+00
-3.37398E+01, 5.90264E+01, 8.14384E+00
-3.34921E+01, 5.39983E+01, 7.03654E+00
-3.32444E+01, 4.29270E+01, 6.42458E+00
-3.29967E+01, 4.34725E+01, 7.28434E+00
-3.27490E+01, 5.04468E+01, 7.31831E+00
-3.25013E+01, 4.81971E+01, 7.19001E+00
-3.22535E+01, 5.21799E+01, 7.70731E+00
-3.20058E+01, 5.12666E+01, 7.41430E+00
-3.17581E+01, 5.54049E+01, 7.65909E+00
-3.15104E+01, 4.76921E+01, 6.55056E+00
-3.12627E+01, 4.67315E+01, 7.27264E+00
-3.10150E+01, 4.91147E+01, 7.73083E+00
-3.07672E+01, 5.38920E+01, 7.45282E+00
-3.05195E+01, 5.07254E+01, 6.95670E+00
-3.02718E+01, 4.99189E+01, 7.68936E+00
-3.00241E+01, 5.45400E+01, 7.82508E+00
-2.97764E+01, 6.21479E+01, 8.04754E+00
-2.95287E+01, 6.19476E+01, 8.23139E+00
-2.92809E+01, 5.65911E+01, 7.35507E+00
-2.90332E+01, 5.74850E+01, 7.88481E+00
-2.87855E+01, 6.13533E+01, 8.82198E+00
-2.85378E+01, 7.17998E+01, 8.81605E+00
-2.82901E+01, 8.31516E+01, 9.33535E+00
-2.80424E+01, 7.98284E+01, 8.65829E+00
-2.77946E+01, 6.89347E+01, 8.70131E+00
-2.75469E+01, 7.22509E+01, 8.81245E+00
-2.72992E+01, 7.72053E+01, 9.09583E+00
-2.70515E+01, 8.36261E+01, 9.27635E+00
-2.68038E+01, 8.00055E+01, 9.48256E+00
-2.65561E+01, 9.67579E+01, 1.05792E+01
-2.63083E+01, 1.03861E+02, 1.00795E+01
-2.60606E+01, 9.37707E+01, 9.46423E+00
-2.58129E+01, 9.06037E+01, 9.82552E+00
-2.55652E+01, 9.72412E+01, 1.04741E+01
-2.53175E+01, 1.13500E+02, 1.12399E+01
-2.50698E+01, 1.16486E+02, 1.07084E+01
-2.48220E+01, 1.14047E+02, 1.03864E+01
-2.45743E+01, 9.64032E+01, 9.72068E+00
-2.43266E+01, 9.30605E+01, 1.00210E+01
-2.40789E+01, 9.72956E+01, 9.77086E+00
-2.38312E+01, 9.35979E+01, 1.04531E+01
-2.35835E+01, 1.06210E+02, 1.01824E+01
-2.33357E+01, 1.00833E+02, 9.81000E+00
-2.30880E+01, 7.88672E+01, 8.92972E+00
-2.28403E+01, 8.22839E+01, 9.61081E+00
-2.25926E+01, 8.45635E+01, 8.77258E+00
-2.23449E+01, 7.51337E+01, 8.94606E+00
