PHOENIX module phox; 01/23/18 at 16:23:51 -08:00
energy (meV),data without elastic peak,error of data without elastic peak
 5.22178E+01, 7.05478E+00, 3.86976E+00
 5.24655E+01, 1.34478E+01, 4.34732E+00
 5.27133E+01, 1.43523E+01, 4.31259E+00
 5.29610E+01, 1.87755E+01, 4.39563E+00
 5.32087E+01, 1.02413E+01, 3.58580E+00
 5.34564E+01, 1.02049E+01, 3.51095E+00
 5.37041E+01, 1.03895E+01, 3.84594E+00
 5.39518E+01, 9.09840E+00, 3.18154E+00
 5.41996E+01, 4.72635E+00, 2.64831E+00
 5.44473E+01, 5.75749E+00, 3.48240E+00
 5.46950E+01, 1.25175E+01, 4.30029E+00
 5.49427E+01, 1.29548E+01, 3.20088E+00
 5.51904E+01, 5.80083E+00, 3.94841E+00
 5.54381E+01, 1.00289E+01, 2.73391E+00
 5.56859E+01, 9.40206E+00, 3.73840E+00
 5.59336E+01, 5.97361E+00, 3.46067E+00
 5.61813E+01, 9.11228E+00, 3.67148E+00
 5.64290E+01, 1.02279E+01, 3.72638E+00
 5.66767E+01, 7.68167E+00, 2.80402E+00
 5.69244E+01, 9.40814E+00, 3.37544E+00
 5.71722E+01, 5.16173E+00, 2.63086E+00
 5.74199E+01, 7.39479E+00, 4.43578E+00
 5.76676E+01, 1.47118E+01, 3.81630E+00
 5.79153E+01, 8.32647E+00, 3.40025E+00
 5.81630E+01, 1.05414E+01, 3.74133E+00
 5.84107E+01, 9.16784E+00, 3.57069E+00
 5.86585E+01, 8.33822E+00, 3.30290E+00
 5.89062E+01, 9.92123E+00, 3.22215E+00
 5.91539E+01, 3.84521E+00, 2.88139E+00
 5.94016E+01, 8.69399E+00, 3.59404E+00
 5.96493E+01, 6.66862E+00, 2.57245E+00
 5.98970E+01, 5.45425E+00, 3.83723E+00
 6.01448E+01, 9.20884E+00, 3.17447E+00
 6.03925E+01, 6.72827E+00, 3.71851E+00
 6.06402E+01, 9.16349E+00, 2.82143E+00
 6.08879E+01, 4.03792E+00, 2.49939E+00
 6.11356E+01, 9.71570E+00, 3.96861E+00
 6.13833E+01, 1.21832E+01, 4.14732E+00
 6.16311E+01, 8.58624E+00, 2.62713E+00
 6.18788E+01, 4.03532E+00, 3.07485E+00
 6.21265E+01, 3.27591E+00, 2.30104E+00
 6.23742E+01, 3.41970E+00, 3.67765E+00
 6.26219E+01, 1.02616E+01, 3.02739E+00
 6.28696E+01, 4.71336E+00, 2.70601E+00
 6.31174E+01, 4.37054E+00, 2.79301E+00
 6.33651E+01, 4.54778E+00, 3.02952E+00
 6.36128E+01, 1.15458E+01, 4.21655E+00
 6.38605E+01, 1.19660E+01, 4.02587E+00
 6.41082E+01, 1.04082E+01, 2.71237E+00
 6.43559E+01, 2.31512E+00, 3.20349E+00
 6.46037E+01, 8.81450E+00, 3.57589E+00
 6.48514E+01, 9.25804E+00, 3.26420E+00
 6.50991E+01, 8.29962E+00, 3.72063E+00
 6.53468E+01, 7.53804E+00, 3.09595E+00
 6.55945E+01, 4.24975E+00, 1.90162E+00
 6.58422E+01, 2.01553E+00, 3.12715E+00
 6.60900E+01, 8.70004E+00, 3.16308E+00
 6.63377E+01, 4.64896E+00, 2.82215E+00
 6.65854E+01, 5.00480E+00, 3.30362E+00
 6.68331E+01, 6.60333E+00, 3.22256E+00
 6.70808E+01, 9.97541E+00, 3.24203E+00
 6.73285E+01, 5.86251E+00, 3.67375E+00
 6.75763E+01, 8.06364E+00, 3.22925E+00
 6.78240E+01, 9.73773E+00, 3.29882E+00
 6.80717E+01, 4.59472E+00, 2.16119E+00
 6.83194E+01, 3.04961E+00, 3.07970E+00
 6.85671E+01, 6.09152E+00, 3.12629E+00
 6.88148E+01, 5.90075E+00, 2.88339E+00
 6.90625E+01, 2.05933E+00, 2.57047E+00
 6.93103E+01, 6.27625E+00, 3.56366E+00
 6.95580E+01, 8.80686E+00, 3.15698E+00
 6.98057E+01, 7.90530E+00, 3.36084E+00
 7.00534E+01, 7.02417E+00, 3.13993E+00
 7.03011E+01, 3.84375E+00, 2.38445E+00
 7.05488E+01, 3.91178E+00, 2.93208E+00
 7.07966E+01, 4.14339E+00, 2.59404E+00
 7.10443E+01, 1.88649E+00, 2.08029E+00
 7.12920E+01, 5.71936E-02, 2.75278E+00
 7.15397E+01, 4.46830E+00, 3.16012E+00
 7.17874E+01, 7.72243E+00, 2.89127E+00
 7.20351E+01, 2.89265E+00, 2.47749E+00
 7.22829E+01, 4.10495E+00, 2.78744E+00
 7.25306E+01, 3.80341E+00, 2.47486E+00
 7.27783E+01, 9.31415E-01, 2.07693E+00
 7.30260E+01, 3.46719E+00, 3.17077E+00
 7.32737E+01, 4.49083E+00, 2.09507E+00
 7.35214E+01, 3.37488E+00, 2.78454E+00
 7.37692E+01, 7.03314E+00, 3.45447E+00
 7.40169E+01, 3.11965E+00, 2.34023E+00
 7.42646E+01, 1.14810E+00, 2.21904E+00
 7.45123E+01, 2.69517E+00, 2.65265E+00
 7.47600E+01, 4.86063E+00, 3.01017E+00
 7.50077E+01, 3.95347E+00, 2.42178E+00
 7.52555E+01, 9.73643E-01, 2.27979E+00
 7.55032E+01, 3.95679E+00, 3.21674E+00
 7.57509E+01, 5.93995E+00, 3.00254E+00
 7.59986E+01, 3.35838E+00, 1.95176E+00
 7.62463E+01, 4.38486E+00, 3.25971E+00
 7.64940E+01, 4.81511E+00, 2.89210E+00
 7.67418E+01,-5.66467E-02, 1.31671E+00
 7.69895E+01,-7.19858E-01, 2.56041E+00
 7.72372E+01,-1.04132E+00, 2.02740E+00
 7.74849E+01, 9.33913E-01, 3.86332E+00
 7.77326E+01, 4.27419E+00, 3.41031E+00
 7.79803E+01,-4.47979E-01, 1.17469E+00
 7.82281E+01,-2.11918E+00, 3.23656E+00
 7.84758E+01, 3.16692E+00, 3.43648E+00
 7.87235E+01, 1.22666E+00, 2.45162E+00
 7.89712E+01,-2.03220E+00, 2.40347E+00
 7.92189E+01, 8.27834E-01, 2.32767E+00
 7.94666E+01, 3.26917E-01, 4.74655E+00
 7.97144E+01, 1.53746E+00, 1.61826E+00
 7.99621E+01,-2.49877E+00, 2.95044E+00
 8.02098E+01,-3.32305E-01, 1.51455E+00
 8.04575E+01, 2.60781E+00, 4.98026E+00
 8.07052E+01,-6.30336E-01, 3.19936E+00
 8.09529E+01,-5.17191E-01, 6.79558E-01
 8.12007E+01,-2.93594E+00, 1.42865E+00
 8.14484E+01, 4.30160E+00, 5.62227E+00
 8.16961E+01,-3.45795E+00, 5.23195E-01
 8.19438E+01,-3.00020E+00, 3.79930E+00
 8.21915E+01, 1.33120E+00, 2.02245E+00
 8.24392E+01,-2.30930E+00, 6.02786E+00
 8.26870E+01, 2.81877E+00, 5.92720E+00
 8.29347E+01, 7.63814E+00, 6.03291E+00
 8.31824E+01,-3.52545E+00, 0.00000E+00
 8.34301E+01,-3.52729E+00, 0.00000E+00
 8.36778E+01,-3.52711E+00, 0.00000E+00
