Fit results
,Deviator,background
value,2.085E+00, 8.40774E-01
error,0.000E+00, 1.33015E-01

Iteration history
Deviator,Quality,background,,
6.691E+01, 2.903E+01, 3.000E+00,  
4.167E+01, 1.948E+01, 2.600E+00, L
2.475E+01, 1.304E+01, 2.240E+00, L
1.701E+01, 9.743E+00, 1.916E+00, L
8.756E+00, 6.101E+00, 1.624E+00, L
5.223E+00, 4.009E+00, 1.362E+00, L
3.517E+00, 1.977E+00, 1.126E+00, L
2.163E+00, 1.487E-01, 9.132E-01, L
2.085E+00, 4.363E-04, 8.444E-01,  
2.085E+00, 1.483E-06, 8.405E-01,  
2.085E+00,, 8.408E-01,  
