Emin,Emax,M,N,chi2,AICc,Prob,vD,dvD
0.0,0.75,1,3,0.001991574267612986,6.001991574267613,0.04973751572179164,4732.580750437282,74.81222492268725
0.0,1.0,1,4,0.002027411689896506,4.002027411689896,0.1351981625807153,4787.623558319167,52.643356783215495
0.0,1.25,1,5,0.002836372020518084,3.3361697053538517,0.18860793194835634,4719.8045563593705,37.396286326149486
0.0,1.5,1,6,0.011159354018465288,3.0111593540184654,0.22188863280558524,4599.071651822661,42.92769734344127
0.0,1.75,1,7,0.018060143051021108,2.818060143051021,0.2443801995530305,4532.061658356693,37.94121210348923
0.0,2.0,1,8,0.021200987199649086,2.6878676538663155,0.26081763641298034,4497.419519842075,32.47377752780516
0.0,2.25,1,9,0.021708985507130546,2.5931375569357016,0.2734685161236584,4475.878654301376,26.098152441106684
0.0,2.5,1,10,0.019352741891572697,2.5193527418915727,0.28374584004005365,4473.889726021785,21.32897492233386
0.0,2.75,1,11,0.018773795098433,2.4632182395428774,0.2918226221238609,4480.835500592857,19.35299881569635
0.0,3.0,1,12,0.022008507927052768,2.422008507927053,0.2978979639496414,4491.866596461805,19.74338442422884
0.0,3.25,1,13,0.02679439220103901,2.3904307558374027,0.3026387654548667,4505.108321179266,20.381941113728633
0.0,3.5,1,14,0.025967841402676543,2.35930117473601,0.3073861244338326,4510.590816493729,18.814218010873372
0.0,3.75,1,15,0.024459739875199393,2.332152047567507,0.3115872063411258,4513.151285857506,17.33158986978232
0.0,4.0,1,16,0.031772458450790145,2.317486744165076,0.31388036398811675,4525.369203132306,18.837052205196397
0.0,4.25,1,17,0.053186286016856495,2.319852952683523,0.3135092303807623,4541.843335666142,23.56754914480013
0.0,4.5,1,18,0.06057383525814106,2.310573835258141,0.31496715430870414,4552.926346893999,24.309647173076197
0.0,4.75,1,19,0.057208840916807974,2.2925029585638668,0.31782591624757706,4552.872101490454,22.70182025172864
0.0,5.0,1,20,0.05514188701868446,2.277364109240907,0.320240803700088,4549.295156803067,21.38734907049432
