Folder,Index,Prob Amp,dvD,dvP,dvS,dvphi,vD,vP,vS,vphi
2009Oct_106GPa,Fe_Murphy_P7,12.32,23.0,23.0,26.0,19.0,5180.0,9115.0,4625.0,7387.0
2009Oct_121GPa,Fe_Murphy_P8,4.43,145.0,91.0,136.0,15.0,5242.0,9345.0,4676.0,7626.0
2009Oct_133GPa,Fe_Murphy_P9,4.43,145.0,90.0,134.0,17.0,5296.0,9520.0,4722.0,7804.0
2009Oct_30GPa,Fe_Murphy_P1,4.16,65.0,45.0,56.0,25.0,4355.0,7266.0,3904.0,5698.0
2009Oct_53GPa,Fe_Murphy_P3,14.78,19.0,16.0,18.0,13.0,4566.0,7891.0,4078.0,6332.0
2009Oct_69GPa,Fe_Murphy_P4,12.42,22.0,16.0,21.0,8.0,4780.0,8311.0,4269.0,6692.0
2009Oct_77GPa,Fe_Murphy_P5,5.57,74.0,48.0,69.0,10.0,4869.0,8488.0,4347.0,6845.0
2009Oct_90GPa,Fe_Murphy_P6,12.81,21.0,16.0,21.0,10.0,5091.0,8833.0,4547.0,7103.0
2010Aug_151GPa,Fe_Murphy_P10,4.36,164.0,101.0,150.0,21.0,5439.0,9809.0,4853.0,8050.0
2011Feb_171GPa,Fe_Murphy_P11,8.38,77.0,48.0,67.0,24.0,5599.0,10118.0,4994.0,8313.0
2015Mar_Ambient,Fe_Ambient,5.01,40.0,91.0,37.0,114.0,3427.0,5779.0,3067.0,4566.0
