E,DOS
0.249542,0.004622107406453236
0.499083,0.01853847094304313
0.748625,0.04376852549570838
0.998167,0.08552361449437132
1.24771,0.1437998945524649
1.49725,0.20500378521009532
1.74679,0.26893012232677105
1.99633,0.3461849445914361
2.24587,0.4139258976318226
2.49542,0.49522257113022045
2.74496,0.6140443792579325
2.9945,0.6747625482821854
3.24404,0.7615689142624047
3.49358,0.9793921130214459
3.74312,1.123612381015685
3.9926699999999995,1.3332911617750025
4.24221,1.6774264752409682
4.49175,1.9093076363345143
4.74129,2.0918504234192192
4.99083,2.3012025001290204
5.2403699999999995,2.5570552300684284
5.48992,2.84466641742489
5.73946,3.059938990221768
5.989,3.050546352008569
6.23854,3.1604903992676734
6.48808,3.885718424400416
6.73762,4.616769279222999
6.98717,4.806879356426373
7.23671,5.3000084871860045
7.48625,6.216760127931084
7.73579,6.497075741224134
7.98533,6.302486185043864
8.234869999999999,6.475718953508681
8.48442,6.789301830636535
8.73396,6.9291420195184985
8.9835,7.596888368251114
9.233039999999999,8.154952457723105
9.48258,7.8954322595062525
9.73212,8.728273377287048
9.98167,9.846176462314697
10.2312,10.349340403947203
10.4807,11.279907402544183
10.7303,12.262348381985733
10.9798,13.593622350530813
11.2294,14.338879013693019
11.4789,14.01753725193162
11.7285,14.085110514956908
11.978,15.163068151990043
12.2275,16.31823369609037
12.4771,16.790170816944414
12.7266,16.832678233082106
12.9762,17.65217002544998
13.2257,17.360441494252214
13.4752,16.385122106779747
13.7248,18.75978272501015
13.9743,22.129891604728066
14.2239,22.957132767274043
14.4734,22.734992110804424
14.723,23.374338243188486
14.9725,24.81214404028501
15.222,27.714148027784784
15.4716,29.22346656300147
15.7211,28.80722895249559
15.9707,29.87391853681204
16.2202,29.90021685316622
16.4697,29.134923145443775
16.7193,31.345435714028568
16.9688,36.906158110401044
17.2184,40.72830555475235
17.4679,40.90006291262085
17.7175,40.86638207652999
17.967,41.41557974125434
18.2165,42.25660541252726
18.4661,45.59631412724597
18.7156,50.504995184370756
18.9652,50.61835009449209
19.2147,51.687063929731224
19.4642,58.75854098682913
19.7138,63.04389084270678
19.9633,64.40813390317612
20.2129,68.99571231652283
20.4624,73.4364084916999
20.712,77.87953825465209
20.9615,82.79700227522154
21.211,89.02361411014921
21.4606,95.68855967946342
21.7101,98.73900066843639
21.9597,98.93085856811068
22.2092,103.01763152216195
22.4587,106.96410657866747
22.7083,113.27696974091228
22.9578,118.74598383195011
23.2074,113.87295598586172
23.4569,112.07969810643229
23.7065,119.68565611875115
23.956,122.31322028790473
24.2055,114.24000828606958
24.4551,110.04853706844985
24.7046,124.06298905327763
24.9542,133.64346095126714
25.2037,121.91131813688699
25.4532,111.84592283017881
25.7028,115.8179555434632
25.9523,119.42976540591889
26.2019,120.62819390519869
26.4514,120.45741730854623
26.701,112.52113594531613
26.9505,105.6275129709409
27.2,103.32759246408041
27.4496,101.31554802938994
27.6991,100.14830064615866
27.9487,101.45484793688694
28.1982,103.01576845312617
28.4477,104.10116339178131
28.6973,104.08714606382387
28.9468,96.55595860071897
29.1964,88.25664382669916
29.4459,92.99772603408195
29.6955,102.1952785270368
29.945,99.98812370513727
30.1945,90.45463399900149
30.4441,89.90687461762556
30.6936,93.88585754636098
30.9432,92.93071408128395
31.1927,92.69004340061885
31.4422,96.79386205120989
31.6918,104.41918272071389
31.9413,109.34217973188167
32.1909,102.53590657121725
32.4404,94.88584976463903
32.69,92.07480302979191
32.9395,89.00573673476727
33.189,86.4093411249076
33.4386,88.21930118700767
33.6881,93.5948634899007
33.9377,95.41820023988915
34.1872,89.93880884500136
34.4367,88.57207262156311
34.6863,95.23302518663398
34.9358,90.33043090947922
35.1854,84.82706694047647
35.4349,90.93204658470984
35.6845,89.9845697820681
35.934,84.62637238970996
36.1835,86.67585532786198
36.4331,86.18930675240841
36.6826,81.47710439470299
36.9322,85.41678197451574
37.1817,91.39432984976949
37.4312,94.08281772459367
37.6808,102.37993031489484
37.9303,102.78495847126017
38.1799,85.77509977583527
38.4294,77.625006535456
38.679,81.37237043058583
38.9285,81.97400180466971
39.178,83.97221848852566
39.4276,86.99897718072826
39.6771,89.89870713947003
39.9267,90.67595874989502
40.1762,93.68663142580749
40.4257,96.43103762742896
40.6753,93.42392461588217
40.9248,98.92543464891841
41.1744,105.65195322276494
41.4239,98.27744186645734
41.6735,91.52691045596202
41.923,102.004568068471
42.1725,119.93343248887275
42.4221,117.93498746474624
42.6716,104.29469852099542
42.9212,107.9789007544938
43.1707,115.93595413586885
43.4202,107.92536703440473
43.6698,84.10518326888675
43.9193,75.45353065234444
44.1689,85.41774928084648
44.4184,89.46464583606276
44.668,83.3790611188905
44.9175,74.1709094524366
45.167,67.79326410503693
45.4166,60.931707925310576
45.6661,55.40712590802693
45.9157,49.988334024104766
46.1652,43.230382838788564
46.4147,39.341782420945165
46.6643,36.40566996514822
46.9138,30.05594675402898
47.1634,27.331668116056047
47.4129,32.46749240749586
47.6625,32.13073209230837
47.912,24.54581714649995
48.1615,23.193399723355938
48.4111,25.828789983522714
48.6606,23.801983649510838
48.9102,23.34932619610698
49.1597,24.970042756604624
49.4092,17.25857970628073
49.6588,11.690891581589431
49.9083,22.936423128783098
50.1579,26.33702810493326
50.4074,21.394116498220953
50.657,23.424303369894055
50.9065,20.29235153096844
51.156,14.09026474214269
51.4056,11.45833590682098
51.6551,12.615655720262103
51.9047,18.249411854391614
52.1542,19.667465937930775
52.4037,10.943278214976024
52.6533,3.4991253382154546
52.9028,1.596422413714787
53.1524,0.4231283417634133
53.4019,0.6268779243094659
53.6515,6.0673431368156745
53.901,10.600947228461077
54.1505,5.341423293953542
54.4001,0.5577164060063785
54.6496,3.749302831478071
54.8992,5.46885747138222
55.1487,5.166946653217853
55.3982,10.053013748598108
55.6478,5.9053560973523656
55.8973,0.9559248783411928
56.1469,0.4264040060861167
56.3964,-1.8838548703622033
56.646,2.0601352994413835
56.8955,3.085003433754105
57.145,-4.525002936605804
57.3946,-8.81256574019003
57.6441,-6.729366106680765
57.8937,-3.266620896243227
58.1432,-0.014257163186165482
58.3927,6.222609722192257
58.6423,12.01760965298247
58.8918,8.870913438004594
59.1414,9.480951570425551
59.3909,9.866590251303446
59.6405,-2.2227906433769316
59.89,-12.009833283127552
60.1395,-10.14562475974731
60.3891,-7.422797835088687
60.6386,-6.287627316869543
60.8882,-1.3807293109645833
61.1377,0.3043649633498755
61.3872,-0.8897059878921308
61.6368,-2.43261691007437
61.8863,-5.16454290593081
62.1359,-1.2370880281644907
62.3854,6.830042354281923
62.635,7.345370672693014
62.8845,2.8400236924983493
63.134,-0.4479895979118854
63.3836,-9.915221720571605
63.6331,-11.262433853510732
63.8827,-0.5223089765642449
64.1322,7.809648094712987
64.3817,6.8917623742998115
64.6313,3.9414560002709873
64.8808,-0.1740910388279399
65.1304,-5.133882731310309
65.3799,-8.479452084157494
65.6295,-4.941095120159155
65.879,-1.8117628287332832
66.1285,-0.7874558344419129
66.3781,0.144929472403944
66.6276,-1.8417013713718882
66.8772,0.762795359171666
67.1267,7.5397844946747625
67.3762,5.813491164801661
67.6258,0.7393772561797716
67.8753,-3.641145911874215
68.1249,-7.268442925301902
68.3744,-5.473895328599249
68.624,-0.9102209122501853
68.8735,-1.8450722492521334
69.123,-6.009524082515836
69.3726,-3.511164499759044
69.6221,3.9160104693095152
69.8717,2.6938402181281784
70.1212,-1.723681475719421
70.3707,-0.44122135952077135
70.6203,0.2263152155993029
70.8698,-1.3083353092570713
71.1194,-0.9865515150153422
71.3689,3.1516071560272008
71.6185,9.797796444690725
71.868,10.405603204209765
72.1175,7.39101907467631
72.3671,6.4137123733232295
72.6166,5.942553236597401
72.8662,0.6172349424479507
73.1157,-1.5353212306708446
73.3652,-1.440101196030512
73.6148,-1.4984596620335375
73.8643,0.32400773917635256
74.1139,0.6501453053041256
74.3634,4.697194411367161
74.613,4.657084865632498
74.8625,-1.2124135041503943
75.112,-1.3289472230258241
75.3616,0.14066338549912644
75.6111,-1.2117192168061184
75.8607,8.825653445190012
76.1102,17.303701899598902
76.3597,8.06821262841144
76.6093,9.027449954085245
76.8588,10.552414458112434
77.1084,-1.529823109983328
77.3579,-10.656570752826376
77.6075,-9.324008843804082
77.857,-0.6546653137470869
78.1065,1.583060727859918
78.3561,-1.7916728655513299
78.6056,0.32452368408606946
78.8552,-0.05455765917170123
79.1047,-8.469075972998404
