,bcc FeNi Peak 0 Intensity,extrapeak Peak 0 Intensity,bcc FeNi Peak Width,extrapeak Peak Width,bcc FeNi Peak Shape,extrapeak Peak Shape,bcc FeNi a,extrapeak a,Background 0,Background 1,Background 2
bcc FeNi Peak 0 Intensity,9.930404554270446,-0.6106558303239529,-0.009232621305416695,0.005171355688728787,-1.197024115958055,0.24368867309830702,-1.4589552037396891e-07,1.5037016391079332e-05,-109.80554249698282,9.012235620420684,-0.1842357580720184
extrapeak Peak 0 Intensity,-0.6106558303239533,5.747182932691063,0.0006638256533375301,-0.0770466771206247,0.07428173220140183,-2.4684960683702055,2.855640260357322e-06,1.6952478225788382e-07,-19.44753395818768,1.6691957685714778,-0.0354622163024339
bcc FeNi Peak Width,-0.009232621305416694,0.0006638256533375302,1.0087460627345449e-05,-3.5706828692290326e-06,0.001121872760226399,-0.0002545725946081565,5.849601158937865e-10,-4.0149276349319325e-08,0.15676818823567998,-0.012876577685801907,0.00026349650251946007
extrapeak Peak Width,0.005171355688728782,-0.0770466771206247,-3.570682869229032e-06,0.0012572325838147178,-0.000607469025777263,0.03390139273642562,-3.111472108975787e-08,4.101221781779262e-07,0.12581573587336434,-0.013140201041721677,0.0003203419826188475
bcc FeNi Peak Shape,-1.1970241159580548,0.07428173220140183,0.001121872760226399,-0.0006074690257772634,0.14437550982592642,-0.02953357324375986,2.0470354957581548e-08,-2.0768662244097766e-06,13.764970840633742,-1.1298549447603838,0.02310015237056961
extrapeak Peak Shape,0.24368867309830702,-2.4684960683702055,-0.0002545725946081564,0.03390139273642562,-0.02953357324375986,1.06413238525891,-1.185577592139403e-06,1.915816814837035e-06,7.777249256691493,-0.6786889361921056,0.014615418381292246
bcc FeNi a,-1.4589552037396907e-07,2.8556402603573214e-06,5.849601158937865e-10,-3.111472108975786e-08,2.0470354957581548e-08,-1.1855775921394027e-06,1.7229416479578362e-09,6.951177103722677e-11,-2.6736275688010316e-06,-1.3035945711191636e-08,4.934576744337273e-09
extrapeak a,1.5037016391079332e-05,1.6952478225787914e-07,-4.0149276349319325e-08,4.1012217817792613e-07,-2.0768662244097766e-06,1.915816814837035e-06,6.951177103722677e-11,2.2131480076706476e-07,-0.010186848739190402,0.0008245032027203925,-1.6662601684676963e-05
Background 0,-109.8055424969828,-19.44753395818768,0.15676818823567998,0.12581573587336434,13.76497084063374,7.777249256691493,-2.6736275688010316e-06,-0.010186848739190402,16230.784225040177,-1324.701027037248,26.984587506463683
Background 1,9.012235620420684,1.6691957685714778,-0.012876577685801907,-0.013140201041721677,-1.1298549447603838,-0.6786889361921056,-1.3035945711191626e-08,0.0008245032027203925,-1324.7010270372482,108.1562371152539,-2.203925980480614
Background 2,-0.1842357580720184,-0.0354622163024339,0.00026349650251946007,0.00032034198261884754,0.02310015237056961,0.014615418381292246,4.934576744337273e-09,-1.6662601684676963e-05,26.984587506463683,-2.203925980480614,0.04492450011100754
