,bcc FeNi Peak 0 Intensity,extrapeak Peak 0 Intensity,bcc FeNi Peak Width,extrapeak Peak Width,bcc FeNi Peak Shape,extrapeak Peak Shape,bcc FeNi a,extrapeak a,Background 0,Background 1,Background 2
bcc FeNi Peak 0 Intensity,0.8943377205340161,-0.04835261386399363,-0.004037727847077385,0.001487233107112381,-0.27822365789805353,0.04986960995020193,-2.4148279062748224e-07,-3.969587409273647e-06,-7.061271029994665,0.5775134113924972,-0.011742154796616252
extrapeak Peak 0 Intensity,-0.04835261386399363,0.6705930484949315,0.00028724146300474813,-0.024565723603427847,0.01541338779607332,-0.7257473467145024,2.2977955990123896e-06,2.0791351216275126e-05,-9.469961500347019,0.768303220420066,-0.015549762804640167
bcc FeNi Peak Width,-0.004037727847077385,0.00028724146300474797,2.193392472810326e-05,-4.816603830813595e-06,0.001274370271691116,-0.0002771285768404073,2.6597018224063115e-09,-4.454415894623996e-08,0.06944698996409433,-0.005690931716603663,0.00011608532270799501
extrapeak Peak Width,0.001487233107112382,-0.024565723603427847,-4.816603830813595e-06,0.001148132352362265,-0.0004427858883496482,0.027503864755854705,-6.414786056177586e-08,-2.0961010273545023e-07,0.26968299777963917,-0.022626732198242,0.0004718272691502596
bcc FeNi Peak Shape,-0.2782236578980536,0.015413387796073305,0.0012743702716911161,-0.0004427858883496479,0.0866831064730482,-0.015746010986932915,8.635184069224941e-08,7.448978692881923e-07,2.4798943042264456,-0.2029044972547458,0.0041283782601266115
extrapeak Peak Shape,0.04986960995020193,-0.7257473467145023,-0.00027712857684040717,0.0275038647558547,-0.015746010986932915,0.7897187496720736,-2.3776202970902198e-06,-1.982903573851911e-05,9.889241868034748,-0.8059425276058655,0.01637890802413312
bcc FeNi a,-2.4148279062748224e-07,2.2977955990123896e-06,2.6597018224063115e-09,-6.414786056177583e-08,8.635184069224944e-08,-2.3776202970902198e-06,3.5192012454174016e-09,1.4906704086608197e-10,2.0813247804243338e-05,-1.967170675954067e-06,4.5407853445749826e-08
extrapeak a,-3.969587409273647e-06,2.0791351216275126e-05,-4.454415894623996e-08,-2.0961010273545016e-07,7.448978692881923e-07,-1.982903573851911e-05,1.4906704086608197e-10,2.0956417748952646e-07,-0.005327151260367325,0.0004309984620638453,-8.706077298283943e-06
Background 0,-7.061271029994665,-9.469961500347019,0.06944698996409432,0.2696829977796391,2.479894304226445,9.889241868034746,2.0813247804243338e-05,-0.005327151260367325,2553.7249402289235,-208.06622410341825,4.231049477546301
Background 1,0.5775134113924972,0.768303220420066,-0.005690931716603663,-0.022626732198241992,-0.2029044972547458,-0.8059425276058655,-1.9671706759540674e-06,0.0004309984620638453,-208.06622410341825,16.95822405822506,-0.34496203160645483
Background 2,-0.011742154796616255,-0.015549762804640167,0.00011608532270799501,0.00047182726915025956,0.0041283782601266115,0.01637890802413312,4.5407853445749826e-08,-8.706077298283943e-06,4.231049477546302,-0.34496203160645483,0.007019413554726709
