Parameters,Values,Std
bcc FeNi Peak 0 Intensity,3.8390197795488437,0.9456943060704215
extrapeak Peak 0 Intensity,1.0618120615965883,0.8188974590844275
bcc FeNi Peak Width,0.15973609339174094,0.004683366815454802
extrapeak Peak Width,0.22916733293278194,0.03388410176413512
bcc FeNi Peak Shape,0.9999999999999665,0.29441994917642417
extrapeak Peak Shape,0.8712910279911246,0.8886612119767991
bcc FeNi a,2.84583401040063,5.932285601197402e-05
extrapeak a,2.984139133294887,0.0004577818011777297
Background 0,704.1424369404908,50.53439363669978
Background 1,-33.41657440091096,4.118036432357667
Background 2,0.6583441279567102,0.08378194050466192
