Folder,Index,Prob Amp,dvD,dvP,dvS,dvphi,vD,vP,vS,vphi
2011Aug_Ambient,FeNi_Ambient,12.05,12.0,35.0,11.0,45.0,3268.0,5457.0,2926.0,4285.0
2012Apr_DAC11_P1,FeNi_DAC11_P1,24.33,7.0,13.0,7.0,16.0,3295.0,5683.0,2943.0,4555.0
2012Apr_DAC11_P2,FeNi_DAC11_P2,5.66,45.0,33.0,42.0,21.0,3433.0,5989.0,3064.0,4831.0
2012Apr_DAC11_P3,FeNi_DAC11_P3,5.75,34.0,31.0,32.0,27.0,3805.0,6559.0,3400.0,5255.0
2012Apr_DAC11_P4,FeNi_DAC11_P4,12.61,13.0,20.0,12.0,23.0,3909.0,6769.0,3491.0,5438.0
2012Apr_DAC11_P5,FeNi_DAC11_P5,6.22,35.0,24.0,31.0,14.0,4206.0,7413.0,3750.0,6017.0
2012Apr_DAC11_P6,FeNi_DAC11_P6,8.33,25.0,18.0,23.0,11.0,4311.0,7638.0,3844.0,6216.0
2012Apr_DAC11_P7,FeNi_DAC11_P7,2.6,151.0,91.0,138.0,10.0,4437.0,8016.0,3951.0,6590.0
2012Apr_DAC11_P8,FeNi_DAC11_P8,4.92,73.0,44.0,67.0,11.0,4540.0,8297.0,4041.0,6861.0
2012Apr_DAC11_P9,FeNi_DAC11_P9,3.59,125.0,75.0,115.0,14.0,4580.0,8460.0,4077.0,7029.0
2012Oct_DAC11_P14,FeNi_DAC11_P14,3.41,151.0,92.0,139.0,20.0,4882.0,8952.0,4349.0,7410.0
2013Feb_DAC14_P1,FeNi_DAC14_P1,9.99,19.0,26.0,18.0,29.0,3258.0,5543.0,2913.0,4406.0
2013Feb_DAC14_P2,FeNi_DAC14_P2,12.17,10.0,12.0,9.0,13.0,3381.0,5776.0,3023.0,4602.0
2015Mar_Ambient,FeNi_Ambient,14.82,10.0,35.0,9.0,45.0,3253.0,5447.0,2912.0,4285.0
