Folder,Index,Phase,P,dP,V,dV,rho,drho,KS,dKS,vphi,dvphi
2009Oct_106GPa,Fe_Murphy_P7,hcp,106,3,5.0,0.02,11.38,0.05,621,1.7,7387.0,19.0
2009Oct_121GPa,Fe_Murphy_P8,hcp,121,3,4.89,0.02,11.64,0.02,677,2.3,7626.0,15.0
2009Oct_133GPa,Fe_Murphy_P9,hcp,133,4,4.81,0.02,11.84,0.02,721,2.8,7804.0,17.0
2009Oct_30GPa,Fe_Murphy_P1,hcp,30,2,5.92,0.02,9.61,0.03,312,2.6,5698.0,25.0
2009Oct_36GPa,Fe_Murphy_P2,hcp,36,2,5.81,0.01,9.8,0.01,340,2.4,5890.0,21.0
2009Oct_53GPa,Fe_Murphy_P3,hcp,53,2,5.56,0.01,10.25,0.01,411,1.6,6332.0,13.0
2009Oct_69GPa,Fe_Murphy_P4,hcp,69,3,5.36,0.01,10.63,0.01,476,1.1,6692.0,8.0
2009Oct_77GPa,Fe_Murphy_P5,hcp,77,3,5.27,0.02,10.8,0.02,506,1.1,6845.0,10.0
2009Oct_90GPa,Fe_Murphy_P6,hcp,90,3,5.15,0.02,11.06,0.02,558,1.2,7103.0,10.0
2010Aug_151GPa,Fe_Murphy_P10,hcp,151,5,4.7,0.02,12.13,0.03,786,3.7,8050.0,21.0
2011Feb_171GPa,Fe_Murphy_P11,hcp,171,5,4.58,0.02,12.43,0.03,859,4.6,8313.0,24.0
2015Mar_Ambient,Fe_Ambient,bcc,0.0,0.0,23.456,0.027,8.062,0.009,168.1,8.4,4566.0,114.0
