Parameters,Values,Std
extrapeak Peak 0 Intensity,14.752715177511824,3.4611205581571878
hcp FeNiSi Peak 0 Intensity,24.564874362241074,0.7424036670584125
hcp FeNiSi Peak 1 Intensity,9.008460506870903e-17,0.42137494113855234
hcp FeNiSi Peak 2 Intensity,61.25491807668761,1.4421775710032865
extrapeak Peak Width,0.2460896194874467,0.02156389590128414
hcp FeNiSi Peak Width,0.21982158079266959,0.003228804103584474
extrapeak Peak Shape,0.43380071450957536,0.1737042902806127
hcp FeNiSi Peak Shape,0.03225393827033825,0.005086713715081869
extrapeak a,2.9840218395078058,0.00022731446691142865
hcp FeNiSi a,2.3447545819994295,0.00040632871171892394
hcp FeNiSi c,3.7375659838174964,0.0023896111035065196
Background 0,4134.063447181759,45.59389077786922
Background 1,-141.7063400176466,3.4408186930541578
Background 2,1.7760326975325291,0.06484426669552543
