,hcp FeNi Peak 0 Intensity,hcp FeNi Peak 1 Intensity,hcp FeNi Peak 2 Intensity,extrapeak Peak 0 Intensity,hcp FeNi Peak Width,extrapeak Peak Width,hcp FeNi Peak Shape,extrapeak Peak Shape,hcp FeNi a,hcp FeNi c,extrapeak a,Background 0,Background 1,Background 2
hcp FeNi Peak 0 Intensity,0.18990209675219777,0.13811824552239285,0.4647022726581356,0.09552227048000941,-0.0043088759968042045,-0.0004251353135244759,-0.09584922633762584,-0.00033650834481551914,-2.1592266661507413e-06,-2.177468703117377e-06,-6.15245822843848e-06,-0.8576974380862463,0.06768378753848538,-0.0012961133386495223
hcp FeNi Peak 1 Intensity,0.13811824552239285,0.1099396286628621,0.3607829306723349,0.036732685534347914,-0.0032679981756217427,-0.00010681266725700813,-0.07410326441819871,-8.385407608926517e-05,3.7035366213574394e-06,-1.3180399272538604e-05,9.353265200550171e-06,-0.2741446076868801,0.022174218451742972,-0.00042298198430379923
hcp FeNi Peak 2 Intensity,0.4647022726581356,0.3607829306723349,1.2174542379294802,0.139465361238937,-0.011245500340055531,-0.00039896042579482053,-0.2505531195318678,-0.0003287096899563337,1.2882526409827454e-05,-4.6307364522456107e-05,3.2576674449071056e-05,-1.8547658838794974,0.14922130524063604,-0.0028949431062277047
extrapeak Peak 0 Intensity,0.09552227048000941,0.03673268553434791,0.13946536123893705,2.6775577360907827,-0.002172699474844649,-0.004138795272742042,-0.031774232752547496,-0.007773698175720378,4.2560855349866096e-05,-9.615294275025434e-05,-5.7791724462549795e-05,-2.0293213068897034,0.1633556757144554,-0.003225277232303549
hcp FeNi Peak Width,-0.0043088759968042045,-0.0032679981756217427,-0.01124550034005553,-0.002172699474844649,0.00013094390739744308,6.211366177573214e-06,0.002396975226742643,4.985257943165769e-06,-1.5894831412780653e-07,5.789522248631213e-07,-1.9042991546290147e-07,0.04736931790890928,-0.003776269961693309,7.34735482994106e-05
extrapeak Peak Width,-0.0004251353135244759,-0.0001068126672570081,-0.00039896042579482064,-0.004138795272742042,6.211366177573214e-06,1.2510673215473313e-05,9.065979354498893e-05,1.3364319421883393e-05,9.506939721747953e-08,-1.9040496873291175e-07,4.108357910892215e-07,0.007074892654779805,-0.0005561959164986869,1.0784701884783979e-05
hcp FeNi Peak Shape,-0.09584922633762584,-0.07410326441819871,-0.25055311953186776,-0.031774232752547496,0.002396975226742643,9.065979354498893e-05,0.051908156944134004,7.506597267960903e-05,-2.7834207794838684e-06,1.0054773995653785e-05,-6.469286534001101e-06,0.504534160076125,-0.04040977795096796,0.0007841536578108761
extrapeak Peak Shape,-0.00033650834481551914,-8.385407608926517e-05,-0.0003287096899563337,-0.007773698175720378,4.98525794316577e-06,1.3364319421883393e-05,7.506597267960902e-05,2.450643906232855e-05,-1.3219198497127838e-08,4.100259848277293e-08,3.057249053056383e-07,0.006327221705516178,-0.0005066770885479281,9.978209927156096e-06
hcp FeNi a,-2.1592266661507405e-06,3.7035366213574394e-06,1.2882526409827454e-05,4.2560855349866096e-05,-1.5894831412780653e-07,9.506939721747953e-08,-2.7834207794838684e-06,-1.3219198497127838e-08,4.033767965293044e-08,-8.677580804280686e-08,1.3677236290732138e-08,-3.119108799629471e-06,4.84161872020933e-07,-1.160610321272281e-08
hcp FeNi c,-2.177468703117374e-06,-1.3180399272538604e-05,-4.6307364522456107e-05,-9.615294275025432e-05,5.789522248631213e-07,-1.9040496873291178e-07,1.0054773995653785e-05,4.100259848277295e-08,-8.677580804280686e-08,4.931125240565788e-07,-3.0207399538823054e-08,0.00024041091885638032,-2.0408131934804636e-05,4.1939825913255165e-07
extrapeak a,-6.152458228438478e-06,9.353265200550171e-06,3.2576674449071056e-05,-5.7791724462549795e-05,-1.904299154629015e-07,4.108357910892215e-07,-6.469286534001103e-06,3.057249053056383e-07,1.3677236290732136e-08,-3.0207399538823054e-08,6.260708574832945e-08,9.989842939919678e-05,-6.387585602545487e-06,1.0142071729562727e-07
Background 0,-0.8576974380862463,-0.2741446076868801,-1.8547658838794974,-2.029321306889703,0.04736931790890928,0.007074892654779805,0.504534160076125,0.006327221705516177,-3.119108799629471e-06,0.00024041091885638032,9.989842939919678e-05,163.839366776979,-12.929677912761184,0.252500306944605
Background 1,0.06768378753848538,0.022174218451742972,0.14922130524063604,0.1633556757144554,-0.003776269961693309,-0.0005561959164986869,-0.04040977795096796,-0.0005066770885479281,4.84161872020933e-07,-2.040813193480464e-05,-6.387585602545487e-06,-12.929677912761184,1.0214214215761088,-0.019966079285821454
Background 2,-0.001296113338649522,-0.00042298198430379923,-0.002894943106227705,-0.0032252772323035487,7.347354829941059e-05,1.0784701884783979e-05,0.0007841536578108761,9.978209927156096e-06,-1.160610321272281e-08,4.1939825913255165e-07,1.0142071729562727e-07,0.252500306944605,-0.019966079285821454,0.0003906465469180007
