# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 1.000e-04, 1.000e-04 m
# PONI: 1.797e-01, 1.289e-01 m
# Distance Sample to Detector: 0.31915368838 m
# Rotations: 0.000819 0.003304 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 319.156 mm
# Center: x=1286.121, y=1807.483 pix
# Tilt: 0.195 deg  TiltPlanRot: 103.923 deg
# 
# Wavelength: 8.60255e-11
# Polarization factor: 0.99
# Normalization factor: None
#
# 2th_deg	 I
1.639968182E+00  9.777097321E+01
1.647254110E+00  9.667701721E+01
1.654540039E+00  9.695796204E+01
1.661825968E+00  9.646888733E+01
1.669111897E+00  9.710205841E+01
1.676397825E+00  9.710874939E+01
1.683683754E+00  9.760073090E+01
1.690969683E+00  9.792824554E+01
1.698255612E+00  9.776626587E+01
1.705541540E+00  9.743118286E+01
1.712827469E+00  9.687200928E+01
1.720113398E+00  9.677407837E+01
1.727399327E+00  9.647531891E+01
1.734685255E+00  9.655835724E+01
1.741971184E+00  9.659445953E+01
1.749257113E+00  9.643877411E+01
1.756543042E+00  9.605124664E+01
1.763828971E+00  9.592511749E+01
1.771114899E+00  9.523618317E+01
1.778400828E+00  9.536470032E+01
1.785686757E+00  9.540832520E+01
1.792972686E+00  9.546359253E+01
1.800258614E+00  9.592188263E+01
1.807544543E+00  9.588742828E+01
1.814830472E+00  9.606720734E+01
1.822116401E+00  9.659128571E+01
1.829402329E+00  9.725631714E+01
1.836688258E+00  9.829578400E+01
1.843974187E+00  9.853230286E+01
1.851260116E+00  9.930503845E+01
1.858546044E+00  9.984605408E+01
1.865831973E+00  1.011660233E+02
1.873117902E+00  1.021234894E+02
1.880403831E+00  1.031253586E+02
1.887689759E+00  1.041147079E+02
1.894975688E+00  1.050253448E+02
1.902261617E+00  1.069531403E+02
1.909547546E+00  1.088992081E+02
1.916833474E+00  1.108780212E+02
1.924119403E+00  1.127974091E+02
1.931405332E+00  1.139422302E+02
1.938691261E+00  1.154441528E+02
1.945977190E+00  1.168903656E+02
1.953263118E+00  1.192754059E+02
1.960549047E+00  1.219918213E+02
1.967834976E+00  1.245513840E+02
1.975120905E+00  1.282323303E+02
1.982406833E+00  1.309317627E+02
1.989692762E+00  1.341687775E+02
1.996978691E+00  1.366914673E+02
2.004264620E+00  1.388062439E+02
2.011550548E+00  1.416080322E+02
2.018836477E+00  1.440457458E+02
2.026122406E+00  1.469968872E+02
2.033408335E+00  1.503591309E+02
2.040694263E+00  1.525588531E+02
2.047980192E+00  1.563061829E+02
2.055266121E+00  1.597053986E+02
2.062552050E+00  1.631204071E+02
2.069837978E+00  1.668877716E+02
2.077123907E+00  1.697710114E+02
2.084409836E+00  1.739442596E+02
2.091695765E+00  1.768824005E+02
2.098981693E+00  1.811562958E+02
2.106267622E+00  1.841876373E+02
2.113553551E+00  1.869971924E+02
2.120839480E+00  1.902239075E+02
2.128125408E+00  1.933247681E+02
2.135411337E+00  1.970244293E+02
2.142697266E+00  2.018083191E+02
2.149983195E+00  2.044236755E+02
2.157269124E+00  2.097104950E+02
2.164555052E+00  2.121062317E+02
2.171840981E+00  2.166188965E+02
2.179126910E+00  2.186466675E+02
2.186412839E+00  2.207069397E+02
2.193698767E+00  2.241541748E+02
2.200984696E+00  2.260382996E+02
2.208270625E+00  2.305821228E+02
2.215556554E+00  2.333495789E+02
2.222842482E+00  2.355702362E+02
2.230128411E+00  2.387376099E+02
2.237414340E+00  2.396505890E+02
2.244700269E+00  2.430906677E+02
2.251986197E+00  2.459852753E+02
2.259272126E+00  2.494308014E+02
2.266558055E+00  2.550174408E+02
2.273843984E+00  2.574946594E+02
2.281129912E+00  2.631175842E+02
