2theta,Intensity,Model,Residual,Background,bcc FeNi,extrapeak
23.0023113,539.8293457000001,540.9986554277607,-1.1693097277606057,540.3105936234028,0.20287812573969638,0.48518367861810624
23.00959723,539.8844604,540.8137484363724,-0.9292880363724407,540.1109063113668,0.20461959809188313,0.4982225269137817
23.01688316,540.0610352000001,540.6299396139689,-0.5689044139687667,539.911765854119,0.20638358113499433,0.5117901787148256
23.02416909,539.6900024,540.4472581102511,-0.7572557102511155,539.7131722516588,0.2081704643669245,0.5259153942254935
23.03145502,539.4234619,540.2657350491384,-0.8422731491383502,539.5151255039855,0.20998064574307135,0.5406288994098115
23.03874095,539.2351074,540.0854036910017,-0.8502962910017686,539.3176256110992,0.21181453189759028,0.5559635480049013
23.04602688,538.9851685,539.9062996105482,-0.9211311105482309,539.1206725729999,0.21367253837141317,0.5719544991769675
23.0533128,538.935791,539.7284611352862,-0.7926701352862437,538.9242666588825,0.21555508724643985,0.5886393891572873
23.06059873,538.5564575,539.5519285854997,-0.9954710854997302,538.7284073296069,0.2174626177566921,0.6060586381361938
23.06788466,538.2346802000001,539.3767459749688,-1.142065774968728,538.5330948551191,0.21939557103613902,0.624255548813604
23.07517059,537.5698242000001,539.2029602929402,-1.6331360929401626,538.3383292354188,0.2213544006772103,0.6432766568442434
23.08245652,537.5484619,539.0306220360026,-1.4821601360025625,538.1441104705059,0.22333957042962113,0.6631719950670976
23.08974245,537.4839477999999,538.8597855249509,-1.3758377249509977,537.95043856038,0.22535155447441818,0.6839954100964152
23.09702838,537.9157104,538.6905092551876,-0.7747988551876688,537.7573135050402,0.22739083770670224,0.7058049124407249
23.10431431,537.9020386,538.5228562847288,-0.6208176847288769,537.5647353044892,0.2294579160273118,0.7286630642123678
23.11160023,538.1246947999999,538.3568948910024,-0.23220009100248262,537.3727042219139,0.23155329374823858,0.7526373753403496
23.11888616,538.1931762999999,538.1926981397088,0.00047816029109526426,537.1812197301865,0.23367749544568353,0.7778009140765573
23.12617209,538.1351929,538.0303457828112,0.1048471171887968,536.9902820932462,0.2358310490262028,0.8042326405388145
23.13345802,537.6241455,537.8699239364058,-0.24577843640577157,536.7998913110928,0.23801449752174775,0.8320181277912506
23.14074395,537.2217407,537.711525969223,-0.48978526922292076,536.6100473837273,0.24022839657504083,0.8612501889206631
23.14802988,537.1782837000001,537.5552532392188,-0.37696953921874865,536.4207503111475,0.24247331479247555,0.8920296132788841
23.15531581,537.5261230000001,537.4012159174978,0.12490708250231819,536.2320000933564,0.24474983410860354,0.9244659900327101
23.16260174,537.4208984,537.2495339113285,0.17136448867154286,536.0437967303524,0.24705855016261077,0.9586786308134764
23.16988766,537.0968017999999,537.1003381028634,-0.0035363028634947113,535.8561404793204,0.24940006945071427,0.9947975540922449
23.17717359,536.6325684,536.9537706974487,-0.3212022974487354,535.6690308251405,0.25177502262794,1.0329648496803567
23.18445952,536.6349487,536.8099877629774,-0.17503906297736194,535.482468025748,0.2541840456421643,1.0733356915872667
23.19174545,536.6417236000001,536.6691598848657,-0.027436284865643756,535.296452081142,0.2566277929723759,1.116080010751324
23.19903138,536.7662353999999,536.5314740417322,0.2347613582677468,535.1109829913225,0.2591069348813062,1.1613841155282918
23.20631731,536.7876587000001,536.3971354940996,0.390523205900422,534.9260607562915,0.2616221578741843,1.2094525799339593
23.21360324,536.6465454,536.2663699252386,0.3801754747614723,534.7416853760478,0.26417416517313635,1.2605103840175915
23.22088917,536.602356,536.13942587211,0.4629301278899902,534.5578568505912,0.26676367720780053,1.3148053443110086
23.22817509,536.2768555,536.0165776562777,0.26027784372229235,534.3745754311017,0.26939142848963105,1.3726107966864067
23.23546102,536.251709,535.8981278661331,0.3535811338668964,534.1918406144691,0.27205818261568815,1.4342290690482746
23.24274695,536.2844848999999,535.7844119664675,0.500072933532465,534.0096526526236,0.2747647111737814,1.4999946026700743
23.25003288,536.4743041999999,535.6758017318499,0.7985024681499908,533.8280115455646,0.2775118086774753,1.5702783776078935
23.25731881,536.0996704,535.5727101310545,0.5269602689455724,533.6469172932934,0.28030028956785635,1.6454925481931577
23.26460474,535.7410888999999,535.4755967355445,0.26549216445539514,533.4663698958102,0.28313098881599424,1.7260958509182625
23.27189067,535.2520752,535.3849739365093,-0.1328987365092189,533.2863693531131,0.28600476254677354,1.8125998208494007
23.2791766,535.4304199,535.3014141027172,0.12900579728272987,533.1069156652038,0.28892248868491593,1.9055759488284432
23.28646252,535.3287964,535.2255579323568,0.10323846764322298,532.9280090772577,0.2918850635267845,2.005663791572349
23.29374845,535.1806641,535.1581235763458,0.022540523654129174,532.7496490981725,0.29489341875958947,2.113581059413705
23.30103438,534.9213867,535.0999182803064,-0.17853158030641225,532.5718359738735,0.29794849778461,2.230133808648252
23.30832031,534.7870483,535.0518507026586,-0.26480240265857447,532.3945697043628,0.30105127266322984,2.3562297256325833
23.31560624,534.3077393,535.014945782112,-0.7072064821120421,532.2178502896386,0.3042027408533772,2.492892751620055
23.32289217,533.8657837000001,534.9903618292929,-1.1245781292927859,532.0416777297028,0.3074039260094557,2.6412801735806632
23.3301781,533.5459595,534.9794103160593,-1.4334508160593487,531.8660520245535,0.3106558788118337,2.8027024126939666
23.33746403,533.6264037999999,534.9835787672282,-1.357174967228275,531.6909731741912,0.3139596778270939,2.9786459152099
23.34474995,533.9019775,535.0045571521548,-1.102579652154759,531.5164414177871,0.3173164257563791,3.1707993086113597
23.35203588,533.7862549,535.0442684529712,-1.2580135529711924,531.3424562762493,0.32072726886228964,3.381084907859626
