Ref Folder,Ref Index,Vi,dVi,Folder,Index,V,dV,V/Vi,xi
2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,0.823,0.7638
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,1.104,1.162
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,1.038,1.056
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,1.0,1.0
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,0.983,0.9758
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,0.961,0.9442
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,0.933,0.9068
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,0.912,0.8793
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,0.897,0.8597
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,0.877,0.8342
2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,0.854,0.8065
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,1.123,1.1909
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,1.055,1.0822
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,1.017,1.0248
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,1.0,1.0
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,0.977,0.9677
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,0.949,0.9293
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,0.928,0.9012
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,0.913,0.8811
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,0.892,0.8549
2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,0.869,0.8266
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,1.15,1.2307
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,1.08,1.1184
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,1.041,1.0591
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,1.023,1.0334
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,1.0,1.0
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,0.971,0.9603
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,0.95,0.9313
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,0.934,0.9105
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,0.913,0.8834
2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,0.889,0.8542
2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,1.184,1.2815
2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,1.112,1.1646
2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,1.072,1.1028
2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,1.054,1.0761
2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,1.03,1.0413
2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,1.0,1.0
2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,0.978,0.9697
2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,0.961,0.9481
2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,0.94,0.9199
2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,0.916,0.8895
2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,1.211,1.3215
2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,1.137,1.2009
2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,1.096,1.1373
2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,1.078,1.1097
2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,1.053,1.0738
2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,1.023,1.0312
2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,1.0,1.0
2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,0.983,0.9777
2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,0.961,0.9487
2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,0.937,0.9172
2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,1.231,1.3516
2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,1.157,1.2283
2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,1.115,1.1632
2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,1.096,1.135
2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,1.071,1.0983
2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,1.04,1.0547
2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,1.017,1.0228
2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,1.0,1.0
2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,0.977,0.9703
2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,0.952,0.9381
2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,1.259,1.393
2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,1.183,1.2659
2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,1.14,1.1988
2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,1.121,1.1697
2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,1.095,1.1319
2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,1.064,1.087
2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,1.04,1.0541
2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,1.023,1.0306
2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,1.0,1.0
2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,0.974,0.9669
2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,2009Oct_30GPa,Fe_Murphy_P1,19.66,0.07,1.293,1.4408
2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,2009Oct_53GPa,Fe_Murphy_P3,18.47,0.03,1.214,1.3093
2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,2009Oct_69GPa,Fe_Murphy_P4,17.8,0.03,1.17,1.2399
2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,2009Oct_77GPa,Fe_Murphy_P5,17.5,0.07,1.151,1.2098
2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,2009Oct_90GPa,Fe_Murphy_P6,17.1,0.07,1.124,1.1707
2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,2009Oct_106GPa,Fe_Murphy_P7,16.61,0.07,1.092,1.1243
2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,2009Oct_121GPa,Fe_Murphy_P8,16.24,0.07,1.068,1.0902
2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,2009Oct_133GPa,Fe_Murphy_P9,15.97,0.07,1.05,1.066
2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,2010Aug_151GPa,Fe_Murphy_P10,15.61,0.07,1.026,1.0343
2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,2011Feb_171GPa,Fe_Murphy_P11,15.21,0.07,1.0,1.0
