Date,Index,T,Asymmetry,Background,Normalization,Norm Fixed
Oct 2009,Fe_Murphy_P7,300.0,0.98,4.41,-9.0,True
Oct 2009,Fe_Murphy_P8,300.0,1.01,5.95,-12.0,True
Oct 2009,Fe_Murphy_P9,300.0,0.96,2.11,-7.0,True
Oct 2009,Fe_Murphy_P1,300.0,0.98,3.81,0.0,True
Oct 2009,Fe_Murphy_P3,300.0,1.02,2.21,-18.0,True
Oct 2009,Fe_Murphy_P4,300.0,0.96,2.95,-4.0,True
Oct 2009,Fe_Murphy_P5,300.0,0.99,3.22,-8.0,True
Oct 2009,Fe_Murphy_P6,300.0,1.03,7.31,-8.0,True
Aug 2010,Fe_Murphy_P10,300.0,0.99,4.73,7.0,True
Feb 2011,Fe_Murphy_P11,300.0,0.93,2.39,3.0,True
Mar 2015,Fe_Ambient,300.0,1.0,0.462,6.0,True
